geneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
ABCB4	1342.76760924125	29.7287780840874	20.0088990889898	10.8910049593773	14.9644786249103	22.4109496680096	32.1369678633756	17.7487164277457	21.0625484486116	21.3321007958465	31.5287242902572	9.81072404651828	20.5298669512442	28.1737746222647	51.2293931452973	390.636404636033	390.971880983725	12.1735189445098	16.9635505431102	90.0127791783629	44.3208203321559	29.8022832263464
ABCB9	37.7027641179536	61.1352066176034	1809.29828661472	61.193120012844	115.897031390607	90.9220048861199	153.635559339787	48.294104412393	123.888484857045	45.1637085840733	50.3795528316027	35.3013331580261	67.2229075659101	199.31532507064	54.6186368348855	129.931731109268	422.882690921766	58.4281884193045	191.83351107378	62.3128386754992	87.8318657259268	67.3323259073557
ACAP1	520.242686363947	889.909793907232	106.9333658618	2666.653524472	5816.04099078291	2790.31681311708	1361.8837526084	3038.95190087277	5365.69773167771	641.582307441779	1181.24522875834	834.473841358808	631.797431601346	173.521524141846	57.5806995732854	74.1662862445298	209.360571540078	65.9946721284597	373.860154232608	194.222925461355	2053.61456345625	1191.59236648619
ACHE	36.5294248371356	46.0665544303778	61.2624869190957	33.9220716243641	88.3331749807302	55.8119997761537	53.7000148761873	40.6150929089425	66.2892277673514	77.1029528665775	38.3744299072731	28.9394096861933	54.2010967690008	48.5177915510638	2552.51700075018	156.295898311638	57.0085974105724	482.624721245008	50.0468553527283	54.0948825991181	119.172287916106	45.5154334163382
ACP5	1464.02680052404	5354.60880343633	3101.66403713956	773.795952386311	2419.39565032049	1687.89176071218	992.984709290516	1953.04605171122	2578.45069689414	1131.55773988488	785.335884700736	515.16991710242	1697.77025497448	48344.9135422838	1975.12768552115	24557.7438098111	47150.7381597479	9968.9780093523	945.404888013312	853.278384866234	2537.56011671092	614.048778558314
ADAM28	4696.65570176803	3176.7928378776	899.345339782171	57.317970766226	130.160847977177	64.2492949551668	60.7648618535916	66.6096237463618	201.040867992521	55.827200924368	446.125058036062	203.258247441353	193.006372571577	194.760811045197	510.551869488219	1160.28077525838	127.184490223884	132.973292125438	494.605380474483	308.399902090655	1610.01907647748	257.272910276785
ADAMDEC1	896.526603309063	881.215418311093	354.35262089809	112.708100437449	263.054353147019	143.527774254672	122.064023314098	188.5642522977	421.374713608241	531.057333947162	157.328844613367	104.204868799349	351.850661808976	15818.0622543132	15846.0378100381	16100.5236911702	562.195764038067	4458.99206600797	2619.85832835737	4141.99535103141	516.526955219386	370.868814527263
ADAMTS3	353.251615958565	293.441610223866	205.851410035682	107.085183091439	257.457269079769	173.642447172032	213.39356633521	97.1409321389127	205.112656214025	149.512376583285	72.4348176054509	109.416115674637	181.374819269085	161.43287763759	60.119912630229	107.288458199712	166.085809561206	110.504320939394	2332.7917393701	1071.8933921568	297.042282359492	248.61840281627
ADRB2	1175.15011581531	1411.3703720928	802.476272498519	2272.66051881253	250.673858474609	1801.03134497477	570.636309978934	266.571820499148	583.664930533674	5448.42947979345	4510.66604564301	5082.15774332661	2200.72359080088	506.750192686763	1464.18182647481	1168.3325712166	599.002950585332	207.161017780113	16607.2582894881	7619.98556356401	5806.11393506953	1470.75975223296
AIF1	58.1706060707497	56.2295999273333	60.8355948394064	1876.47529128785	2334.78557848987	106.426743794492	157.843810851314	52.334587398621	78.9656765721039	2489.94839006147	243.639179503114	49.8865453432789	28649.7503390778	6524.10517949142	2995.25112176899	37349.2301734961	11205.7713410147	67.2712851016656	6641.65290952268	4413.42589855057	150.905042531765	12516.4537814932
AIM2	792.443399307397	12559.1684779972	3958.88774229954	743.916712240843	185.455995982736	757.37466458412	13231.8829201881	3060.5777808798	848.747242185443	933.691778900903	200.994068177933	289.573189283407	1774.49629403983	644.722162289367	5513.54413902822	477.017592807196	603.532524523124	2266.30751862236	335.366446597769	163.925097009057	346.497278620433	1587.81674926155
ALOX15	29.5599730909524	38.0545436548123	25.1253100417797	24.6931908657751	60.2904277407446	36.3397101190313	20.9328018535703	36.0797308360705	60.1819134544505	33.1075989840264	69.535112588695	21.0486729455191	32.4402079850836	23.4607582930789	10.0612335763663	1384.34887209835	9915.52471754131	75.8124312244664	39.9673355496148	28.1140375483917	1047.53937946005	60.1139085973213
ALOX5	4348.56630259629	6711.74065838584	527.04383438734	198.769874116206	243.451145786016	399.445824298127	236.063441754532	96.0156544393338	384.552013696546	1011.49173684138	361.851864949093	262.664511026725	6551.3609472041	2794.0051190838	154.85519072866	798.991270741814	404.091327048045	182.660740767294	2300.34671075778	1559.22496115943	4307.36732515279	5832.29344931144
AMPD1	637.285866263273	602.53615665856	8342.60804416597	166.998424432465	223.083246479415	258.16251752783	273.514256693554	148.011664099604	213.135309184557	261.258513069931	136.2745389882	130.638878451785	325.143680965739	271.217657984455	115.996338067302	192.862270431454	304.256643475016	151.522333092362	201.670894243167	199.059945735253	349.418711982187	347.419293383761
ANGPT4	55.8699901616199	58.9708127219173	638.774172141951	112.880820625764	71.6736100985338	134.576092640137	397.893929598681	278.289167035166	79.2293054281977	67.0239826915716	21.615636343824	56.3590114068676	55.999819878085	139.365705422539	39.4441979508486	37.9907164336345	61.0289671790133	30.0296342394882	119.876897179498	82.6666174670678	43.6774491619388	69.410572380702
ANKRD55	687.224865287107	605.729429354946	324.537668698049	357.952803602907	6021.50318659026	1320.5524124822	318.713761922145	2955.37114226467	333.1053405137	403.729949514277	192.140796239453	190.455817864947	417.408864564715	437.94903218821	178.841733635164	156.194285468218	368.429589999558	333.708768362288	549.77047420758	275.210075079372	3150.10250601604	830.164871773555
APOBEC3A	247.499097422886	247.920760515478	275.784148395354	162.572197302113	348.409097734755	159.576095094329	230.849587747577	195.806386540888	97.8500677142449	1656.53860962652	583.683034708776	284.671816884299	7994.15147829802	302.028181609148	8367.55647933738	478.673714695609	368.043043097062	6589.43968864569	258.044768838985	88.0105899372578	3354.12215875643	11164.3609162108
APOBEC3G	3101.19852651304	3141.30334959798	5633.87422593183	5281.83841844246	1093.7647529078	7082.58451850944	6155.63235442559	1059.03603601327	2634.39199840728	12404.5138365087	14550.8305318816	19151.8232466594	2865.5460786999	987.749301263969	1927.75695592654	830.928585952158	693.864439557572	3481.4100373032	2250.08634219652	863.339690472339	903.211148637869	928.524409155465
APOL3	537.933733738273	1467.58595721665	2090.29304980141	3054.44257592419	3089.1257117771	4886.88199236979	4472.52897886841	963.229788758454	2671.34349447204	2687.66453626313	2702.18180023611	2159.13624561773	3312.67358228277	845.416200375567	20466.1216647235	1407.48456044976	748.953691337569	2152.419408249	949.630477774577	259.154286655121	317.887141194314	212.766962257393
APOL6	41.8304671934008	32.1146465322595	21.6863873459305	21.3434953587465	38.8655472004735	25.5364988718721	229.790349872327	19.6898148070817	35.9445517636198	22.2619028950693	29.6218008811073	797.47383198693	39.1257237098089	46.4502041774628	1798.83863779419	25.0423771953394	31.1570061465314	398.609279922164	82.9879167982801	21.6245879739267	17.5511537593088	38.1276383693465
