geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
A2M	261.424239255464	2583.03347262322	616.559048930519	861.418171306801	2617.03252488959	336.900277649572	5581.49662497278	1468.15251211192	3731.40273040165	2087.47704900446	5.60475911305808
ABCB1	661.054759663983	854.728103148206	173.401846022953	1714.33757624626	2629.89838311251	197.502352834067	97.4806248437487	1063.97067734712	1390.18555612764	2345.03993380742	122.856319758233
ABLIM1	5982.43229112203	10075.2267775401	3522.50509475652	3145.69770937262	7260.63265713502	0	136.493036234163	2711.82897173726	6419.18227400019	5533.05498250854	663.155098257032
ACVR2A	590.295932238837	1730.16701522105	1026.62166492317	51.3073673287485	908.212628190733	528.473607216438	2185.09826692151	121.920898637193	1246.05009803648	220.724147838321	679.296804502639
ADAM28	10878.5597267245	482.864365377764	389.206131530644	60.8553641118081	479.155750180902	1053.65331261777	2697.8040145485	534.4320859989	830.137768382004	788.102351883615	5288.6506990816
ADAP2	431.175711945345	0	48.2629392509213	5.35107512017623	29.6304613618784	378.008172302159	4834.61560173872	0	139.824514611193	0	142.360881471675
ADRB2	831.851929310886	865.897977624414	245.968622539517	340.790039026125	2325.01653067844	1350.23623205038	2183.08212163001	341.919924102939	3138.36685341799	212.554888176708	1517.32038708708
AFAP1L2	1074.27934051379	93.5476987382463	662.92594413944	2698.30586010926	678.771489881977	0	92.5410688795878	1580.18230454029	223.794196307996	3665.22312251917	124.649842674412
AFF3	6333.61218585521	1630.80167352644	1294.65334540596	193.163319534205	0	4603.29366465418	16.3307768611037	392.10427349929	596.22222651234	921.122561090649	37.2156005107056
AGPAT4	506.465892850919	695.790097580489	245.968622539517	344.56726852272	810.938942535619	904.900706647344	1441.54388341841	568.165964016364	1562.62329532643	201.148752045398	511.826602204464
AHNAK2	332.35734950678	0	0	0	0	2082.27297144069	526.213921080009	43.2085165964433	0	0	0
AIM1	2349.68106242811	4856.10292853165	3454.93697980523	2079.78453004183	4283.35610200364	896.46831800066	3120.69048943943	2662.78990832298	2902.38955597095	3613.89550992827	478.64642825516
AKAP5	406.427550629161	224.561018115442	721.186206520909	1442.481975533	180.122015120892	0	83.5692223324382	926.640476405651	335.878726787209	1019.92436190375	119.493464290398
ALDH3B1	125.309352016452	161.963179905023	0	39.9756788389636	46.7849389924396	466.416497019743	4544.29067976355	97.1410746614014	265.591604831181	157.682125166622	3.13866510331252
ANK3	907.4906758688	4266.19393275689	858.563215745853	119.192575225886	2696.37198393093	216.87049550692	108.367809417818	150.761282003976	2623.49025604943	733.691999797772	0
ANKRD28	1599.21921293876	1874.44456053874	1758.49466513535	2033.40854566697	1855.99751727924	1015.83931978029	2527.84296647554	1097.70455536458	2482.1662828365	1714.61970709042	9345.15115474852
ANKRD36BP2	571.299104186273	568.034658258854	365.419397185547	111.32334710798	184.995446265938	157.843774980128	28.5284558746442	197.509773454103	330.630621681159	132.557798282791	8582.90391537262
ANPEP	71.9788072083377	59.1072524366034	0	0	0	111.729149568571	6189.16281582916	0	0	6.9361638636344	63.4458731598175
ANXA1	286.520966223988	15489.1253127274	3085.38075925532	5989.32198205921	15791.8662824064	1419.40817016771	9137.9769191687	3954.77661301037	11868.9645619828	6467.89573435171	502.410606894526
AOAH	216.459270103524	2532.07092032552	847.18695149385	1939.7122695431	7666.88187738603	171.809918676199	5135.52528649425	1526.45798029025	7083.62986689119	4393.98273912502	415.648935824387
AP3M2	778.347101676601	3269.51534147353	2017.73559596887	1518.55118067276	2624.05026573845	249.677757585428	1798.70402180663	2431.96272448126	1389.24839450156	1415.28570213091	368.793149639222
APBA2	103.872564397504	1079.5218269819	0	170.290096471491	2599.87804725903	0	22.8832490584602	93.9134505301008	1594.48679061316	322.454551171626	54.0298778498799
APP	472.829307400049	1677.34281717731	325.602472303537	312.250971718519	450.694912293834	8857.03846868876	4249.73185267623	567.228911849212	645.704360369384	57.6472285555393	237.193405664618
AQP3	269.441249259298	6009.15976248193	4691.33006282973	383.493716945963	2865.57751328692	1434.82363066243	2751.13105750853	991.192959031663	1340.7034222706	1197.02774588855	6373.05949227608
AQP9	0	0	9.99732313054798	0	204.099296354518	0	3512.3267123122	0	146.384645993756	0	36.767219781661
ARHGAP24	8651.39949109415	75.8620641509162	566.400065637597	73.2362830173139	290.261558998927	3064.77800485205	965.834401890338	296.733186264731	609.529921602681	244.923652873668	194.148855676332
ARHGAP26	873.85409041793	1659.88988830824	1956.71745134449	1843.4978404215	5113.78876911945	740.337371964389	2809.29684916814	1316.14182721841	2701.64953566453	2400.220970767	953.481620313441
ARHGEF10L	0	0	0	42.2839857535494	0	0	4784.91762030339	0	19.492961822472	0	41.0268367075851
ASF1B	258.287148384398	194.541980460632	708.948104067997	5951.65461013483	40.7418843725828	78.1313510544373	2835.60754522214	6152.99688024098	226.605681186237	382.413834348377	729.067065426595
ASPM	339.328662553592	0	282.682929898253	3228.69183525614	2.92405868702747	49.8037954444811	1120.87597480625	3872.31602230101	379.175593912123	405.226106610997	287.860428046663
ATXN7	1881.20882568232	7298.8148530475	3346.0006312103	1710.4554237081	5192.93329091499	817.941698728409	1171.07799256446	1820.06765933114	4499.50039913714	4089.56221399884	540.298778498799
AURKB	687.54574924187	0	0	5716.20730484708	0	0	2641.35194638666	6433.80017966414	140.94910856249	781.012051045234	463.17729310312
AUTS2	1856.6349471923	1560.98995805014	139.617788547308	104.083657239506	2619.76164633081	1302.67228984017	226.917152557682	118.068573061125	2004.58871818594	128.858510888852	0
