Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0732116121832758	0.0153562175856809	0.0621347231124085	0.245863285087475	0	0.023908712160819	0.0266734823259242	0.0907547796744851	0.0784086267963119	0	0	0.0760665808777968	0.00716988174306503	0.0657415999892085	0.1356938207739	0.0685831789404802	0.00511909099974423	0.000560889764917992	0.0242625967975456	0	0	0.000490921186961551	0	0.534269279321336	0.848127300274955
TCGA.WE.A8ZN.06A	0.00811352031864651	0.0152602259802024	0.0133857930646234	0.321478619912985	0	0	0.0207463651710365	0.0396176213881042	0.0677725434592754	0	0	0.0763377433683487	0.0226020339725612	0.151970588262744	0.121411616227776	0.108775267024165	0.00741369045302319	0	0.0251143713965089	0	0	0	0	0.729300041358284	0.730082686977788
TCGA.ER.A2NF.01A	0.026372420269209	0.0204377256707584	0.194942419685231	0.234991583548904	0	0.0546372909023138	0.00266560419599934	0.0580483266216732	0.0765107837722933	0	0	0.0354477767036664	0.00617350480962049	0.0803542415328918	0.090188942978213	0.0907977727349481	0.00167702278428804	0	0.0266340241098547	0	0	0.000120559680135422	0	0.5974119073354	0.808027053700465
TCGA.HR.A2OH.06A	0.000299289537942843	0	0.0201905553953824	0.402943548647427	0	0	0.0756561340126166	0.0635358458771378	0.0500524366617243	0	0	0.0168696985868964	0.0323377585918248	0.113355780516298	0.132024352191639	0.0748934234822382	0.00930182747020976	0	0.00853934902866174	0	0	0	0	0.629699155173673	0.788480190902649
TCGA.WE.A8K6.06A	0.0179487923446791	0.0204191568293331	0.00144190370440582	0.0471344008692729	0	0.00279184703358823	0.017254857044311	0.0302105529816653	0.0342413530884212	0.0340553958691054	0.04659151426633	0	0	0.416595285407358	0.0942109340323522	0.21899847723392	0	0	0.0118615756197298	0	0.00624395367552883	0	0	0.764738559750423	0.652062196780449
TCGA.RP.A695.06A	0.0384020994953605	0.0105578286529243	0.0216930859611055	0.283123022564707	0	0.0586657789330947	0.00381125751812698	0.0520915946706045	0.0383701760873763	0	0	0.0652930990142901	0.00168973749180686	0.178934407488493	0.0687841105873565	0.156733456089434	0.00697651164500496	0	0.0114554327858365	0	0	0.00341840101447906	0	0.366925590781019	0.936951113228823
TCGA.D9.A3Z1.06A	0.0113541376693339	0.0271037776479311	0.0478735022122308	0.2827874787934	0	0	0.0676692479114039	0.071937760892965	0.0248580217207532	0.0479464689227812	0	0.0129376547108963	0	0.103633049276796	0.0827418093458283	0.182285596772277	0.0179862592567652	0	0.0186268019106935	0	0.000258432955944181	0	0	0.420604254717058	0.906906764165193
TCGA.GF.A6C8.06A	0.0379457258472378	0.00917756219057726	0	0.230725951818239	0	0	0.0813187194416046	0.0174120729868744	0.0258597933874622	0	0.096656765420355	0	0.0224007355138246	0.130475114720219	0.190503079910577	0.113803225250449	0.010329814827847	0	0.0290094770429824	0	0	0.00438196164175019	0	0.694054644513928	0.758554592673665
TCGA.D3.A1Q6.06A	0.034326789630427	0	0.0103755069834646	0.0959875610370852	0	0.23377972103729	0.0327125610758853	0.036737842834463	0	0.0188654632206158	0.0134935547650927	0	0.00237413189473297	0.175805192449445	0.068181290050303	0.138389873520835	0.0321725405247391	0.0263363847724853	0.0102882264855015	0.0171018039671915	0	0.0530715557504428	0	0.131013406136441	1.04798512956803
TCGA.ER.A195.06A	0.0285477967007476	0	0.00136612990730016	0.264933102818232	0	0	0.0405631479498804	0.0212704906353021	0.0597347946770079	0	0.0233957408986671	0.0314084257359161	0.0181820075970469	0.14634962722211	0.136365550881341	0.17896913783117	0.00854327454085005	0	0.0403707726044284	0	0	0	0	0.680487007762628	0.764362792555693
