GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
ARRB1	NA	0	NA	NA	NA	3758.45995889276	0	NA	NA	NA	NA	NA	NA	3276.52213793013	NA	6102.59859980993	NA	NA	NA	NA	NA	NA
ASGR1	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	1361.29288761284	NA	268.421335764203	0	NA	0	0	NA	NA	0	NA
ASGR2	NA	0	NA	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	0	0	NA
ATHL1	2950.02357091295	9168.44370979484	NA	NA	NA	NA	NA	NA	0	NA	NA	9098.0341206199	NA	1049.23106338336	NA	4070.99884186157	NA	NA	NA	NA	NA	NA
ATP8B4	NA	145.368573468523	NA	NA	NA	209.454584644438	NA	0	NA	227.543097416024	0	0	448.145663478123	NA	153.198533186631	118.880596993884	0	NA	0	316.193552188364	0	NA
ATXN8OS	0	NA	NA	0	0	0	0	0	0	1.79543411614668	4.80167518707702	3.99411945626995	0	0.797385277514433	0.208743602152051	NA	0	0	NA	0.080412839022737	NA	0
AZU1	NA	0	NA	0	0	NA	0	0	NA	0	NA	308.58866306628	279.802356137555	26.655539746741	0	NA	114.745483562594	0	0	NA	0	NA
BACH2	657.489048985974	NA	NA	NA	5570.01877797331	2140.60863113683	0	NA	NA	NA	NA	NA	NA	163.117628127293	0	NA	0	NA	1745.14496234678	NA	NA	0
BANK1	3249.51666992182	5588.8848885956	NA	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX2	0	NA	NA	0	0	NA	0	NA	NA	NA	0	NA	0	722.990091644333	NA	0	3825.00831695697	14526.8054371915	NA	0	0	NA
BCL11B	505.508553163298	NA	NA	NA	NA	699.311856710831	NA	0	NA	0	0	NA	0	NA	NA	0	NA	NA	NA	NA	0	NA
BCL2A1	1	NA	NA	1	NA	NA	1	NA	1	NA	1	NA	NA	23538.1434723581	NA	NA	1	NA	45923.4122330744	NA	1	NA
BCL7A	1288.32453629351	0	NA	0	NA	3116.2956243882	0	4445.7179236167	0	NA	5180.61903234831	NA	NA	1763.32141687346	0	2643.0545678029	NA	12921.1735552074	5029.35916877867	NA	15909.3399989597	NA
BEND5	1150.37364800767	0	NA	0	NA	1171.16264123655	0	NA	0	NA	2109.13459301138	NA	NA	NA	0	NA	0	NA	4035.86943158486	0	NA	0
BFSP1	NA	NA	NA	0	NA	3983.87257574807	0	NA	NA	NA	3423.08437083728	NA	NA	1321.3027611278	NA	NA	9260.53282157486	0	4023.15210879434	NA	NA	NA
BHLHE41	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	12329.4867573383	1	NA	NA	NA	25885.2877523648	NA	NA	1
BIRC3	5922.53134369466	5893.73087618309	NA	NA	0	NA	3555.89177959596	NA	NA	0	NA	0	NA	NA	2525.46898485662	0	NA	NA	0	NA	0	18085.2759507119
BLK	2755.3269345634	4347.38399231972	NA	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1
BMP2K	NA	NA	NA	0	4498.34049342168	1949.95602981794	NA	632.238133158732	0	NA	NA	0	NA	379.978778783869	864.607776448533	848.032438422582	NA	NA	977.346671221455	NA	NA	NA
BPI	NA	NA	NA	0	NA	0	NA	NA	0	NA	NA	NA	1767.86624209635	NA	0	NA	0	0	0	NA	0	NA
