GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
ABCB4	1	1	1	1	1	0.23900067757686	1	1	1	1	0.886083501768281	1	0.821940230746214	0.0426379420082093	1	0.0575659311869443	1	1	1	1	1	1
ABCB9	1	1	1	1	1	1	1	1	1	1	1	1	1	1.35665004823866e-09	1	0.289697975222503	1	1	0.189844379095726	0.0383891861100678	1	0.182116199969017
ACAP1	2.97239789424773e-07	0.000208188334336806	1	0.000435719374874089	1	1	1	1	0.162061204492697	1	1	1	1	1	1	1	1	1	1	1	1	1
ACHE	0.0738041155869587	1	1	1	1	1	1	1	1	1	1	1	1	0.0540598176054564	1	0.0194693665875182	1	1	1	0.0763006732900641	1	1
ACP5	1	1	1	1	1	1	1	1	1	1	1	1	1	5.57088307315934e-12	1	0.00158573903074556	0.807418000399877	1	0.418620378694632	1	1	1
ADAM28	1.67967368780531e-05	4.72009174807483e-05	1	0.363767383334701	1	0.195405722787905	1	1	1	1	1	1	0.197790952420633	0.550435157467821	1	1	1	1	1	1	1	1
ADAMDEC1	0.202244215166763	0.663155416400582	1	0.173582272259659	1	1	1	1	1	1	1	1	1	0.0649182949636511	1	1	1	1	1	1	1	1
ADAMTS3	1	1	1	1	1	1	1	1	1	0.0644950034089063	1	1	1	0.633660993903198	1	0.350302600366285	1	1	0.319175779978647	1	1	1
ADRB2	1	1	1	1	1	0.0937513397725258	1	1	1	1	1	1	1	1	1	0.499768139844102	1	1	0.810705141277457	1	1	1
AIF1	1	1	1	0.00149799700877833	1	0.307128721554046	1	1	1	1	1	1	0.000129274841577275	0.168117934465593	0.579567825040304	0.12626710198168	1	1	1	1	1	1
AIM2	1	0.623461984434305	1	1	1	0.756219507153336	1	1	1	1	1	1	1	0.000644420396742742	1	1	1	1	1	1	1	0.616972559610638
ALOX15	1	1	1	1	1	0.595260256625119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALOX5	0.422958520938741	0.0775570586195994	1	0.18997240890849	1	0.0677499533237886	1	1	0.53558545025414	1	1	1	0.012306497218624	0.0122035398222151	0.815081982408872	0.106427093007907	1	1	1	1	1	1
AMPD1	0.649196661149153	0.220301626157673	9.67543266141981e-05	0.341161347675188	1	1	1	1	0.244730368893452	0.706598407913063	1	1	1	1	1	1	1	1	1	1	1	1
ANGPT4	1	1	1	1	1	0.715253816002727	1	1	1	1	1	1	1	0.0796480255288037	1	1	0.0242117849570726	1	0.737393292747603	1	1	1
ANKRD55	0.0019025949454825	0.00322504429190414	1	1	1	0.369555788744058	1	1	1	1	0.641693168272881	1	1	0.327276043571533	0.622904373326402	1	1	1	1	1	1	1
APOBEC3A	1	1	1	1	1	1	0.995696372241471	1	1	0.0256832480744343	1	1	1	1	1	1	1	1	1	1	1	1
APOBEC3G	1	1	1	1	1	1	0.800424229381872	1	1	1	1	1	1	4.26791358689318e-05	1	1	1	1	1	1	1	1
APOL3	1	1	1	4.02005408712213e-07	1	0.576811724405058	1	1	1	1	1	1	1	1	1.67343237602602e-05	1	1	1	1	1	1	1
APOL6	1	1	1	0.00326071946773907	1	0.121545503854428	1	1	1	1	1	1	1	1	1.22533374047563e-08	0.909626657996867	1	1	1	1	1	1
AQP9	1	1	1	1	1	1	1	1	1	1	1	1	0.283128513939853	6.67455740387901e-07	1	0.608964182016859	1	1	1	0.571703700079537	1	0.00526759870725931
ARHGAP22	1	1	1	1	1	0.335283799450582	1	1	1	1	1	1	1	0.199933382057126	1	0.114130887626395	1	1	1	1	1	1
ARRB1	1	1	1	1	1	0.329458113467468	1	1	1	1	1	1	0.959609753509411	1.04666405457432e-05	1	1.16319780553012e-05	0.807418000399877	1	0.245807339508407	1	1	1
ASGR1	1	1	1	1	0.910977603060722	1	1	1	1	1	1	1	1	0.000649505025553493	1	0.0924028993423197	1	1	1	1	1	1
ASGR2	0.202921312197328	1	1	1	1	1	1	1	1	1	1	0.459519512470847	1	0.11229217292174	1	0.0642493075593303	1	1	1	1	1	1
ATHL1	0.310619817655142	0.0750669761076679	1	1	0.261548330267975	1	1	1	1	1	0.0964465220610179	1	1	0.0611764788572761	1	2.68835779579549e-05	1	1	1	1	1	1
ATP8B4	1	0.835305328973953	1	0.482316470233869	1	0.0017391644982564	1	1	1	1	1	1	0.0035673672900939	0.14929362749863	0.386707576685948	0.000222414223996627	1	1	1	1	1	1
ATXN8OS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.583142266584374	1	0.367643530714586	1	1	1	1	1	1
AZU1	1	1	1	1	1	1	1	1	1	1	1	0.00680643753170789	0.000409669942461125	0.00445779553285261	1	0.262286610876553	0.987278672757133	1	1	1	1	1
BACH2	0.707530211452678	1	1	1	0.0259106904565202	0.00178305316886735	1	1	1	1	1	1	1	0.52505694541565	1	1	1	0.250406042504316	0.142609932457731	1	1	1
BANK1	4.45626394026541e-10	6.39570243927111e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX2	1	1	1	1	1	0.76235483898409	1	1	1	1	1	1	1	0.00334477748045976	1	1	0.615251176021889	0.244563348664137	1	1	1	1
BCL11B	0.423912521826816	0.52763428639653	1	0.079324342078531	1	0.129047092730045	1	1	1	1	1	1	1	0.911687531465642	1	1	1	2.45055318732301e-05	1	1	1	0.00112385471379133
BCL2A1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.64279262216622e-07	1	0.491878676727133	1	1	0.142609932457731	1	1	1
BCL7A	0.931199788900105	1	1	1	0.112986649429861	0.116367234060005	1	1	1	1	1	1	1	7.86403338765914e-05	1	0.00164405011641577	1	1	0.0827208378470521	1	1	1
BEND5	0.386449223138907	1	1	1	0.0230826604890089	0.297355429778673	1	1	1	1	1	1	1	0.0677811287508885	1	0.0590988175515029	1	1	0.00128551177591637	1	1	1
BFSP1	1	1	1	1	1	0.096361520310403	1	1	1	1	1	1	1	0.0222592771692132	1	0.33919141413111	0.507957257603172	1	0.357334300985018	1	1	1
BHLHE41	1	1	1	1	1	1	1	1	1	1	1	1	1	1.08669137500947e-08	1	0.344458681013543	1	1	0.0662875583082261	1	1	1
BIRC3	0.0169859731597826	0.687422276023659	1	1	1	0.216111768809104	1	1	1	1	1	1	1	0.323519503206412	1	1	1	1	1	1	1	0.651043938584877
BLK	2.09764419872977e-11	6.80277101575142e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BMP2K	1	1	1	1	0.00304700855060276	1.74525588982356e-05	1	1	1	1	1	1	1	0.0011788687320433	0.663084492240116	8.11330643638541e-05	1	1	0.228136237797956	1	1	1
BPI	1	1	1	1	1	1	1	1	1	1	1	1	0.00231936239173758	0.734798142390008	1	1	1	1	1	1	1	1
BRAF	1	1	1	1	0.185287147088799	0.00137883004538761	1	1	1	1	1	1	1	1.82417970561828e-06	1	0.000468787499874232	1	1	0.286820900932586	0.929304290063222	1	1
BRSK2	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00558748292036132	1	0.000171123071307477	1	1	1	1	1	1
BST1	1	1	1	1	1	1	1	1	1	1	1	1	0.411221523169175	0.265155334091467	1	0.000333013128603518	1	1	0.0294671900646543	1	1	1
BTNL8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.83421680285704	1	1	0.610978503108906	1	0.752272707762192
C11orf80	0.696946202698815	1	1	1	1	0.0615347632756676	1	1	1	1	0.577154743648838	1	1	1.10034560864464e-09	1	0.00672435436255144	0.481025360575798	1	0.207362594886684	1	1	1
C1orf54	1	0.451689526297131	1	0.466257817783902	1	0.00404376015601761	1	1	1	1	1	1	0.786598197783174	1.08080784661125e-06	1	5.32858274042153e-06	1	1	1	1	1	1
C3AR1	1	1	1	0.0741261019591358	1	0.0310315834176473	1	1	1	1	1	1	0.00187526204851135	0.000798828860655709	1	0.00105605073082958	1	1	1	1	1	1
C5AR1	1	1	1	1	1	0.125498715834058	1	1	1	1	1	1	0.0112720527667087	2.47154966455626e-05	1	2.68835779579549e-05	1	1	1	1	1	1
C5AR2	1	1	1	0.100677873096998	1	0.067965108962975	1	1	1	1	1	1	0.0951460934063075	1.46877927928535e-08	1	1.16319780553012e-05	1	1	1	1	1	1
CA8	1	1	1	1	1	1	1	1	1	1	1	1	1	0.149808422877696	1	0.566904859335063	0.957206722101666	1	1	1	1	1
CAMP	1	1	1	1	1	0.546141347702908	1	1	1	1	1	1	0.159184522047837	0.14929362749863	1	1	1	1	1	1	1	1
CASP5	1	1	1	0.0327809592400219	1	1	0.000376545417093642	1	1	1	1	1	0.34018822542661	1	1	1	1	1	1	1	1	1
CCDC102B	0.0800218409202058	1	1	1	1	0.000286370904413157	1	1	1	1	1	1	1	0.0170475360612327	1	0.0112005317300947	1	1	1	1	1	1
CCL1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.804686419113702	1	1	1	1	0.169175833527275	1	1	1
CCL13	1	0.981721118770348	1	1	1	0.796484139360304	1	1	1	1	1	1	0.513368995595217	0.970247653469283	1	0.0988350461899231	1	1	1	1	1	1
CCL14	0.122451587628482	1	1	1	1	0.534430815559061	1	1	0.128800776857326	1	1	1	1	0.80615667567461	1	1	1	1	0.161459299491618	1	1	1
CCL17	1	1	1	1	1	1	1	0.642562057537612	1	1	0.398150612124135	1	0.896056508977593	0.0893260295857214	1	0.180243415880345	1	8.46221631219547e-05	0.303406158390995	1	1	1
CCL18	1	1	1	1	1	1	1	1	1	1	1	0.723548184400045	1	0.192281893798921	1	0.00453288694634481	1	1	1	1	1	1
CCL19	4.63193137500245e-08	0.00228424179191107	1	1	1	1	1	1	0.000960728155942984	1	1	1	1	1	1	1	1	1	1	1	1	1
CCL20	1	1	1	1	1	0.587572802447226	1	1	1	1	1	1	1	0.0698603571649535	1	1	1	1	1	0.0135252454571222	1	0.0451389378831595
CCL22	1	0.286524800560377	1	1	1	1	1	1	0.0747669943182171	1	1	1	1	0.591063493932461	1	1	1	4.54461538843881e-19	1	1	1	1
