Mixture,B_cells,CD4T_memory,CD8T_B,CD8T_G,Dendritic_cells,Monocytes_Macrophages,NK1,NK2,NK3,Plasma_cells,Tregs,P-value,Correlation,RMSE
TCGA.D3.A8GB.06A,0.0116870490246399,0,0.287590788795196,0,0.0326180148437573,0.136603261418827,0.0384556838576698,0.23109922519294,0,0.250526352222783,0.0114196246441868,0,0.294637014933243,0.986476338440598
TCGA.WE.A8ZN.06A,0,0,0.269514406097136,0,0.0331294123705709,0.118200559117796,0.170169946552534,0.21187938427183,0,0.197106291590134,0,0,0.286315167904828,1.00369967059741
TCGA.ER.A2NF.01A,0,0.00920972416589163,0.10147844699363,0.0641319322244957,0.0569422590608264,0.120256651598436,0.123996695527705,0,0,0.492033148414071,0.0319511420149437,0,0.465940441625624,0.889530692841135
TCGA.HR.A2OH.06A,0,0,0.431559916753209,0,0.0105787199694579,0.210084322796279,0.0876706782065858,0.0734323047490704,0,0.186674057525398,0,0,0.407187366638822,0.935059070857076
TCGA.WE.A8K6.06A,0,0,0,0.0779245974310264,0.108623539946614,0.171994691081358,0.156549315723388,0.106266218389703,0,0.310068044005247,0.0685735934226629,0,0.274206197200469,0.985242669756271
TCGA.RP.A695.06A,0,0,0.0111395765534699,0.135918839151872,0.0245997919491149,0.0830515010041826,0.254974565103015,0.162783183481158,0,0.327532542757188,0,0,0.389503392688845,0.933050904092317
TCGA.D9.A3Z1.06A,0,0,0.148930484819472,0.0454050009635544,0.0233118984646278,0.161697476372994,0.186360654764839,0.177859760925042,0,0.249367259378742,0.00706746431072853,0,0.331536855995182,0.96337890202899
TCGA.GF.A6C8.06A,0,0,0.12873217855393,0,0.0366278877129533,0.129949720841333,0.343385032061253,0.13233244751842,0,0.228972733312111,0,0,0.433224381206772,0.91912073148864
TCGA.D3.A1Q6.06A,0,0,0,0.109044329968594,0.0117304111166288,0.149426538821664,0.267418706055351,0.130744858400002,0,0.316118786385356,0.0155163692524041,0,0.369451887535006,0.941130674604052
TCGA.ER.A195.06A,0,0,0.206151362180118,0,0.0529835900574387,0.209974861427684,0.194206379205288,0.160824073432711,0,0.17585973369676,0,0,0.344976781258934,0.960840193919323
TCGA.ER.A2NG.06A,0,0,0.19930945428372,0.0818348284158936,0.00596020210372243,0.168335773012253,0.157250720649195,0.262374401055963,0,0.120959371931527,0.00397524854772489,0,0.469118858298559,0.891442955149691
TCGA.EB.A4IQ.01A,0,0,0,0.211980758941093,0.030273507023088,0.0850993787953925,0.310124360906529,0.164298259201756,0,0.182135200422681,0.016088534709461,0,0.0278671530905617,1.14289955969211
TCGA.EB.A3Y6.01A,0,0,0,0,0.0640474927626764,0.16882324948253,0.380615274261856,0.229742031057963,0,0.156771952434975,0,0,0.287387062103772,1.00197802770537
