GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
ABCB4	0.704903667261797	0.359694606423524	1	1	1	0.0681577917292359	1	1	0.557007589298933	1	0.0746861279020795	0.680351403369549	0.16808909034022	0.0160792239092872	0.811928665603493	0.0143644818909261	0.752549213837625	1	0.978669301618866	1	1	0.99560128026013
ABCB9	0.694689498900136	0.889227286735594	1	1	0.471701191397304	1	0.779548572127208	1	1	0.81942090059617	0.140552162437283	1	0.549914762563958	5.34515028386713e-11	0.986009088371898	0.101638876860428	1	1	0.0242202960197174	0.00144049478837027	0.523257370786703	0.00683362851666107
ACAP1	2.17492528847395e-08	1.05461257543973e-05	1	5.06840548634024e-05	0.676191298466699	0.665875329451026	0.595554434251657	1	0.00662733474515355	1	1	0.726549013977207	1	1	1	1	1	0.934764989223925	1	1	1	1
ACHE	0.0141238645213317	0.57750709202234	1	1	1	0.952027454281587	1	1	1	0.997854648066881	1	0.325842344490851	1	0.0214366957030088	1	0.00390848447441736	1	1	0.779045388572281	0.00315825462982704	0.944823789437849	0.29434288140159
ACP5	1	1	1	0.452420020556588	1	1	0.90040891629608	1	0.69267120811675	1	0.317399717585272	0.119626182186238	1	1.14971320459198e-13	1	0.0002023081690257	0.0573231837298587	1	0.0903214700748268	1	0.0461593787431069	0.750290563084592
ADAM28	1.57567888161849e-06	1.23979895821853e-06	1	0.0982786176363921	1	0.0509594661679527	0.99977739696283	1	0.34838183786912	0.513675230794961	1	1	0.0237497578891567	0.323238657199677	0.316649501548483	0.682040954580104	1	1	1	1	1	1
ADAMDEC1	0.0470511870181587	0.151032019598171	1	0.0420114692710994	0.884877817353082	1	0.596951518543043	1	0.236007062134565	0.0624461233612484	1	1	1	0.0269173418141968	0.148905674213463	1	1	1	1	1	1	1
ADAMTS3	0.654759316490778	1	1	1	0.956572916850101	0.929483116018282	1	1	1	0.000847026311186387	1	1	1	0.381623225221251	1	0.128159487938885	1	1	0.0604817144049595	0.91241378802477	0.339597892873793	1
ADRB2	0.814844491556159	1	1	0.397044378850332	1	0.0196054023824306	1	1	1	0.362552397668309	1	0.121725837948208	0.587206709723675	0.828617054070638	1	0.194093817913188	1	0.996024355615017	0.225111371311564	0.541132380520905	0.559031656205507	1
AIF1	1	0.473326011325046	1	0.000205166569682586	1	0.0962298245769713	0.229529773664557	1	0.904301146716165	0.518964048629369	1	1	2.66796108320831e-06	0.0826395850468771	0.0543684638874582	0.0374300227262766	1	1	1	0.610223895742922	1	1
AIM2	1	0.136900017791104	1	1	1	0.323486018069345	0.174658565733844	1	1	1	1	1	1	0.000139040048077702	0.504619125725218	1	1	1	1	0.245717018752263	1	0.0347264104846513
ALOX15	1	1	1	1	1	0.2367639294644	1	1	1	1	0.733242689547047	0.727369545461057	0.799846994292164	1	1	1	0.310688441635619	1	0.6870288493664	1	1	1
ALOX5	0.121932962004632	0.0103312404540179	1	0.0470475759398137	1	0.0130923924809573	0.776717185061924	1	0.0430109748202382	1	1	1	0.000894701186387192	0.00370914343564511	0.0856371313600316	0.0309497174788472	1	1	1	0.389799556958665	1	0.9644139107909
AMPD1	0.218022893706751	0.0376124727586271	1.08916690372456e-06	0.0915310932787091	1	0.738307757270176	1	1	0.0123972231897246	0.0145827063546786	1	1	0.400256744437071	1	0.536270177053976	1	1	1	1	1	1	1
ANGPT4	0.465829139012379	1	1	1	1	0.297910595033031	1	1	1	0.804809247842924	1	1	1	0.0345191255106072	1	0.491264698788176	0.000317978414070372	1	0.200604179077678	1	1	0.879993503724194
ANKRD55	0.00024630215992175	0.000254131069906142	1	1	1	0.124803080626511	1	0.751164258839482	1	1	0.0349138872043406	1	1	0.176225561923133	0.0607711583733075	1	0.147192478961403	1	0.999168165105372	1	1	1
APOBEC3A	1	1	1	1	1	1	0.0821963234120539	0.914400057443625	1	0.000240931032593192	0.433347261336014	1	0.948148276557199	1	0.361380192734904	1	1	0.151911150089182	1	1	0.73174674128454	0.922878607997659
APOBEC3G	1	1	1	0.34478921679099	1	0.530069449994895	0.0570658925262873	1	1	0.960270122854331	1	0.821388041759812	0.580800429762027	6.88631460549369e-06	0.801072809873163	1	1	1	0.832368231421991	1	1	1
APOL3	1	1	1	2.86607983697262e-08	1	0.225097258304413	1	1	1	1	1	1	0.567957516065922	1	9.41894395511831e-08	1	1	1	1	1	1	1
APOL6	1	1	1	0.000458825441051463	1	0.0269087607032317	0.236881934105459	1	1	0.501858516194953	0.276902514616496	1	0.707651338375429	0.836058103967644	2.29893759939142e-11	0.389108589161887	1	0.579570085250315	1	0.875090030494504	1	1
