Mixture,B_cells,CD4T_memory,CD8T_B,CD8T_G,Dendritic_cells,Monocytes_Macrophages,NK1,NK2,NK3,Plasma_cells,Tregs,P-value,Correlation,RMSE
TCGA.D3.A8GB.06A,0.0622155009856722,0,0.0116246611033,0.0515363504499724,0.0508106204550773,0.123512481935941,0.0318967065347156,0.159798507377047,0.082465242738499,0.332222562755085,0.0939173656646912,0,0.440761724747675,0.90031620314737
TCGA.WE.A8ZN.06A,0,0,0.230147776614352,0,0.108064867039188,0.180960669129577,0.0619900123242978,0.0937538814396214,0,0.251968881693177,0.0731139117597865,0,0.34525953189169,0.949449988584409
TCGA.ER.A2NF.01A,0,0,0.0675663497229574,0.0889823918360226,0.0577524162228974,0.135119506660937,0.0211223548109525,0.0463361386882774,0.00107276258177593,0.522524704152587,0.059523375323593,0,0.501171806159773,0.870161496723349
TCGA.HR.A2OH.06A,0,0,0.191391476105243,0.125382233675754,0.0353010073200114,0.223777138594605,0,0,0.146068631776916,0.203448672939946,0.0746308395875241,0,0.392362261353352,0.929609977568982
TCGA.WE.A8K6.06A,0,0,0,0.0593316065252828,0.0593160878106937,0.315684814610493,0.0762895554046134,0.141497619888181,0,0.274021235322355,0.0738590804383815,0,0.323101146934618,0.962064101275481
TCGA.RP.A695.06A,0,0,0.042186922234854,0.10378346794301,0.0492490430016466,0.136666964734162,0.196518813012296,0.0342074587236988,0,0.414796314860107,0.0225910154902265,0,0.522382713267346,0.852291936602841
TCGA.D9.A3Z1.06A,0.00684911749537879,0,0.130105516117936,0.0891526193749083,0.0575978951078862,0.195182656853556,0.0980546310792004,0.081329899629247,0,0.314002162531908,0.0277255018099798,0,0.377334436799647,0.930742511871202
TCGA.GF.A6C8.06A,0,0,0.0158315337876706,0.0512630148177229,0.0881462116450864,0.159206530011795,0.290246199454151,0.077361618337626,0,0.272908626243914,0.0450362657020351,0,0.531116001390501,0.849615649030372
TCGA.D3.A1Q6.06A,0,0,0.00832831393354117,0.063832287348326,0.0267558378585216,0.186469736200995,0.238169307346029,0.0713830232538478,0,0.330111960756616,0.0749495333021234,0,0.372955783068733,0.934291568886174
TCGA.ER.A195.06A,0,0,0.196892193123152,0,0.0775916079573282,0.240670565652777,0.0169351124723196,0.166288604955353,0,0.203554684782481,0.0980672310565889,0,0.436317602224856,0.902206227846601
TCGA.ER.A2NG.06A,0,0,0.216532561608563,0.0715956436561697,0.0686065666762521,0.239991092427767,0,0.137828237345221,0.0202885870334504,0.204949184828006,0.0402081264245715,0,0.568140742799912,0.828338427914679
TCGA.EB.A4IQ.01A,0,0.0173958984455223,0.105329460544934,0,0.103539078404883,0.116155603471224,0.205773617878004,0.205185566189399,0,0.216977927507089,0.0296428475589449,0,0.0460600960200146,1.0905603941167
TCGA.EB.A3Y6.01A,0,0,0.105643776791422,0,0.115394828653813,0.1914878311353,0.181412875505283,0.15765741785333,0,0.168133055271441,0.0802702147894102,0,0.342130963513764,0.951530648444191
TCGA.FR.A726.01A,0,0,0.139102301354121,0,0.105861601162876,0.172878461823847,0.269696571947367,0.147544058658022,0,0.154469153615032,0.0104478514387344,0,0.310200618790604,0.980675573671002
TCGA.XV.AAZY.01A,0,0,0.182383059895312,0.0386792894934108,0.0911777759734578,0.164964925053658,0.0350372675483294,0.0611725791304372,0,0.307845618655215,0.11873948425018,0,0.429972619517701,0.902978383906785
TCGA.FS.A1ZS.06A,0,0,0,0.0604278678405386,0.0981848308564127,0.26570790266555,0.255255543267621,0.0933216920867827,0,0.202315788312963,0.0247863749701316,0,0.273752235953987,0.987268513282895
TCGA.ER.A2ND.06A,0,0,0.0742593897616773,0.0463403550616517,0.0649553402089525,0.170594868954465,0.203338129149743,0.070277316929872,0,0.330881475985114,0.039353123948524,0,0.44401379908903,0.896669171067205
TCGA.DA.A1I5.06A,0,0,0.0741915153361417,0.0681437712971732,0.0826211140789435,0.26993673148938,0.103674240454421,0.00745413676145354,0,0.283045956991967,0.11093253359052,0,0.419081798166141,0.911020208253182
TCGA.BF.AAP6.01A,0,0,0,0.113606598207276,0.106538028118948,0.138673593751954,0.438889469713386,0.00643205992863002,0,0.155779187316728,0.040081062963079,0,0.347491794799646,0.964125470550328
TCGA.EE.A180.06A,0,0,0.13525570490711,0.0406405446804637,0.108786578426128,0.173631494906981,0.253512854787928,0.106136989383465,0,0.131473164927664,0.0505626679802613,0,0.258735127695456,1.00748191454698
TCGA.EB.A5VV.06A,0.324624018215544,0.17284119530902,0.0751587256803137,0.0271136997453844,0.0549058479028004,0.0465967725092004,0,0,0.14575130678829,0.0884453660184503,0.0645630678309963,0,0.534013876901423,0.850965059171226
TCGA.BF.AAOU.01A,0,0,0.0348789519329165,0.0313862685534433,0.0282910435632056,0.10252923541793,0.142998000528493,0.0922879750706124,0,0.565244171462418,0.00238435347098126,0,0.484753718696731,0.881524875160949
TCGA.EB.A431.01A,0,0,0.049963255532265,0.0439868863995514,0.0738986250383906,0.0995131744118901,0.342249372555252,0.119376138239987,0,0.214880730096853,0.0561318177258112,0,0.374005675301767,0.942199682273072
TCGA.EB.A24D.01A,0,0,0.00465017697014728,0.0680002152824676,0.0443754666662611,0.0684127829288773,0.244120588183912,0.0530748613394341,0,0.493138045248601,0.0242278633803002,0,0.479366102591693,0.880778627572945
TCGA.RP.A690.06A,0,0,0,0.146191735223729,0.109982421633939,0.352729358349141,0.0303275348710041,0.122296173105501,0,0.13884506317278,0.0996277136439051,0,0.41415989609667,0.917182191375292
TCGA.FR.A7U8.06A,0,0,0,0.143561827298367,0.123924553629262,0.174243249422086,0.40173749359338,0,0,0.156532876056905,0,0,0.393993820802011,0.933984666925324
TCGA.ER.A19A.06A,0,0,0.0475507908260723,0.127902994073916,0.0635825403505795,0.385858101051275,0,0.0700178359990112,0.167790436709614,0.0426998843736543,0.0945974166158771,0,0.614711769378652,0.796886241337522
TCGA.DA.A1I0.06A,0.0164289652869658,0,0.00964140884141707,0.0579635304675431,0.0676913040730321,0.126034514208051,0.113733413754548,0.0680844959788,0,0.400476882437816,0.139945484951828,0,0.39860794717448,0.921248549668223
TCGA.EE.A2A2.06A,0.0472694265449798,0,0.0748054350609437,0.0285076696152569,0.0451555180284017,0.0992790525742983,0.365915560213312,0.0634199364334123,0,0.265260034019119,0.0103873675102768,0,0.373949696271418,0.943774492684488
TCGA.DA.A1HV.06A,0.0129198649898275,0,0.104351486431411,0.0867434987719393,0.050863164294883,0.233900988845709,0.0785077195904015,0,0.0184036128798447,0.370023740711976,0.0442859234840081,0,0.492313399895008,0.869774631964553
TCGA.ER.A19D.06A,0,0,0.0279486722403605,0.0405235277415267,0.100546039826508,0.250470092616217,0.244155028763817,0.0525160683703692,0,0.239296439891674,0.0445441305495268,0,0.393742712658756,0.926885339148291
TCGA.EE.A29S.06A,0,0,0.0743062631643624,0.0496257687530517,0.0906197670291973,0.201869366669006,0.265708409388869,0.0469416395867598,0,0.244996946164435,0.0259318392443177,0,0.489666006917666,0.875863273718704
TCGA.W3.AA1V.06B,0,0,0.20847626680448,0,0.0872414840176029,0.193490098737421,0.17106534076925,0.185729065659144,0,0.153997744012103,0,0,0.463043995288532,0.894887015990949
TCGA.EE.A29N.06A,0.0554925451356002,0,0.0908819398648469,0.0534350070807161,0.0592965243837959,0.173861651456232,0.169307192850017,0.036728948448666,0,0.253841396749415,0.10715479403071,0,0.450053589420895,0.893270685681872
TCGA.D3.A51R.06A,0,0.0413472491277303,0.182682315432816,0,0.0798372120186991,0.0618362609716263,0.546057007712212,0,0,0.0882399547369172,0,0,0.399484014614972,1.00453551697823
TCGA.YG.AA3P.06A,0,0,0.0176452530496964,0.0912242733835184,0.0955154041198316,0.126950754927844,0.417917729795482,0.0338878327919354,0,0.205130563341304,0.0117281885903876,0,0.305130265961168,0.984045942295378
TCGA.D3.A2JG.06A,0,0,0.145418572759562,0,0.0740700532889079,0.132389450796682,0.0396278365322657,0.109079378663248,0,0.418547096916043,0.0808676110432915,0,0.451689727369762,0.892718323887916
TCGA.W3.A825.06A,0,0,0.170264552296778,0,0.0928060184767036,0.208399247506417,0.0263776098796649,0.158099377975704,0,0.242344618648111,0.101708575216621,0,0.455558992752756,0.890189266379029
TCGA.EE.A29V.06A,0,0,0.0659365963410463,0.0647574528233063,0.0857947581553614,0.118270565740831,0.294368911952211,0.042004572029031,0,0.306362929614993,0.0225042133432195,0,0.371636471423181,0.938583829963744
TCGA.ER.A19S.06A,0,0,0.110604764746653,0.180764673297954,0.0333376440312726,0.130036241447904,0,0,0.265528967500267,0.264063926538853,0.0156637824370954,0,0.286954971726981,0.988491345404459
TCGA.EE.A2GE.06A,0,0,0.0906949322598558,0.0852347472551398,0.0418800324402177,0.214784618975739,0,0,0.125162856700159,0.38063538403199,0.0616074283368983,0,0.39588574667825,0.922716090612
