Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0599434351236457	0.0089133043601655	0.0674165861907061	0.268630212896458	0	0.0198448805322766	0.0359578294825718	0.0833913582628478	0.108295637821432	0	0	0.0453898163432937	0	0.0670295882614441	0.129462134341455	0.0565030691159189	0	0	0.0492221472677853	0	0	0	9999	0.24131663813731	0.999977927416546
TCGA.WE.A8ZN.06A	0.0139704611874328	0.00197930941553374	0.0050822426063343	0.302020393442684	0	0	0.125633166607707	0.0335491974278766	0.0164362274732332	0	0	0.0520920990249285	0	0.169180953927028	0.0961960673144302	0.105695047812929	0.0158908740849714	0	0.0622739596749113	0	0	0	9999	0.323486713466762	0.953936882323443
TCGA.ER.A2NF.01A	0.0127175514875505	0.00912341146255873	0.27903173977019	0.238065115997607	0	0.0534351333257103	0	0.0519583407412137	0.0695090991055583	0	0	0.027748486837011	0	0.0844750419189502	0.0553009065919887	0.0908152565164457	0.00249952292339662	0	0.0253203933218193	0	0	0	9999	0.453937342616811	0.894748839653607
TCGA.HR.A2OH.06A	0.012791108825324	0	0.00811512550092937	0.473911417376912	0	0	0.109858556564968	0.0824106899255306	0.0147611591632227	0	0	0	0.024248931892867	0.118052465974607	0.0782157608846245	0.0640356077928371	0.00674789500765575	0	0.00685128109052231	0	0	0	9999	0.226042315917942	1.0157342763885
TCGA.WE.A8K6.06A	0.00200361257823948	0.00340779009028442	0	0	0	0	0	0.0311696542921362	0.0493660838464265	0.0405748964960345	0.0362973712893851	0	0	0.650752257499534	0.0274162760145088	0.147997850164527	0	0	0.00430373868839016	0	0.00671046904053354	0	9999	0.296411371599722	1.02622112427125
TCGA.RP.A695.06A	0.0179916235609002	0	0.03886955933361	0.361000447570052	0	0	0	0.069339258292086	0.0452909210271232	0	0	0.0550937172830164	0.00238089880971512	0.132933052028581	0.0564195077099573	0.172596881280281	0.0174761770658962	0	0.030607956038782	0	0	0	9999	0.101696261473463	1.05966114679147
TCGA.D9.A3Z1.06A	0	0.0522622615826876	0.0317691760270113	0.295886339885212	0	0	0.090524092128788	0.0434857039245089	0.00731418759209673	0.0229645490318933	0	0.016124835228918	0	0.124074626336975	0.0527896046954363	0.196233685883306	0.018101532163814	0	0.0444781131710598	0	0.00399129234829286	0	9999	0.178511342578031	1.0128167895062
TCGA.GF.A6C8.06A	0.0584168640114982	0	0	0.158365897551624	0	0.027601555899026	0.110669011506275	0	0.0111219186698538	0	0.00282204136700375	0.0520252484205205	0.0297501730138959	0.163189695841631	0.200188711739554	0.14904896875273	0	0	0.0367999132263877	0	0	0	9999	0.283979094802567	0.977691941586274
TCGA.D3.A1Q6.06A	0.0291938929713119	0	0.0154248760018509	0.0510137324083269	0	0.364797515256191	0.0604074965780502	0.0168440434712183	0	0.000990801479685597	0.00847977982381573	0	0	0.131972055641864	0.0440101810850699	0.160758338065986	0.0309012436418671	0.0167538593916675	0	0.0123227595199301	0	0.0561294246631648	9999	0.0842426606911831	1.05521586542913
TCGA.ER.A195.06A	0.0170795747730321	0	0.000763593183615073	0.235376297058901	0	0.00808502331464104	0.0799016495463762	0.00548596070261386	0.0401134016727498	0	0	0.0259633639908222	0.0184131927029546	0.205149705676648	0.11741263759106	0.189762546507245	0.0257713182407238	0	0.0198329350643079	0	0.0108887999743088	0	9999	0.228744357194013	0.997792152684963
