,avg.expression
FYN,6.70354584291817
RUNX3,2.91314163654289
APBA2,0.765146237265856
DKK3,0.412260926717056
JMJD6,2.97705225106803
MGAT4A,2.07684850476503
FOSL2,3.35833716726914
CST7,6.54549129148866
TCF7,2.71920801840289
GZMH,3.64484390404206
RNF125,1.78549457771936
NKG7,7.77175484719027
CCSER2,2.17573118632928
CRTAM,2.42431810713112
AIM1,2.22066053236937
GZMK,4.61173184357542
NR4A3,2.13677292145909
TNFSF9,1.61775221820572
TUBA4A,5.58901084456129
CCL4,5.28307919815971
KLRD1,2.75951692408807
ANXA1,5.50011173184358
TMEM2,4.65093657574762
AOAH,3.9572625698324
STAT4,5.15165954650016
GABARAPL1,3.02025303976339
TBCD,2.80061123890897
PIK3R1,2.93405849490634
ARHGAP26,1.72120604666448
PARP8,4.63902070325337
PDE3B,1.71297075254683
CAMK4,2.38977325008216
ZFP36L2,6.20107131120605
CD8A,8.67171869865265
RNF166,3.91216562602695
PLXDC1,0.739480775550444
CCL5,10.075284258955
ATXN7,2.47792638843247
SYTL3,3.1160203746303
TC2N,3.14834702596122
IL7R,4.16302990469931
CD8B,5.30065724613868
CTSW,4.29896812356227
THEMIS,1.99832730857706
RALGAPA1,1.78723299375616
A2M,1.54349326322708
ZNF683,1.26158396319422
KLRC4,2.0801018731515
TSPYL2,3.79122576404864
NELL2,2.44500821557673
TPRG1,0.603884324679593
MVB12B,0.940791981597108
GZMM,2.53543871179757
KLRK1,8.10410450213605
ITGA1,1.25727242852448
CTD-2313F11.1,0.992228064410122
MTND4P12,1.34906999671377
CD8BP,1.19696023660861
KLRC4-KLRK1,2.99509037134407
RP11-291B21.2,1.70384488991127
