,avg.expression
TNFRSF17,3.86927586206897
SPAG4,3.55327586206897
TRAM2,2.15620689655172
FNDC3B,3.1051724137931
TPD52,4.27968965517241
COBLL1,3.07113793103448
FER1L4,3.36755172413793
BLNK,3.38213793103448
DERL3,7.49658620689655
XBP1,7.39568965517241
SLC17A9,3.89341379310345
CD79A,6.11010344827586
P2RX1,2.7081724137931
GAB1,2.40220689655172
POU2AF1,4.85034482758621
PRDX4,7.46220689655172
CHPF,2.11803448275862
CPNE5,2.88472413793103
RRBP1,3.48234482758621
SDF2L1,5.643
VIMP,6.22110344827586
IGJ,11.2385862068966
FKBP11,8.16144827586207
ITM2C,6.34179310344828
ST6GALNAC4,3.63020689655172
FCRL5,4.99937931034483
PPAPDC1B,5.64572413793103
PDK1,4.03655172413793
SYVN1,5.18310344827586
SEC11C,8.1268275862069
CLIC4,2.53006896551724
MZB1,9.56768965517241
INSR,1.14172413793103
MANEA,2.45772413793103
TRIB1,2.61358620689655
FKBP2,6.80941379310345
GNG7,2.01737931034483
PYCR1,2.05113793103448
CRELD2,4.54565517241379
SELM,3.97610344827586
UBE2J1,3.98296551724138
ANKRD28,4.4918275862069
IGKC,13.2206551724138
IGLC1,7.39320689655172
IGHA2,4.12734482758621
IGHG4,7.31444827586207
IGHG2,8.54406896551724
IGHA1,7.23544827586207
IGHG1,11.825
IGHG3,8.78493103448276
ANKRD36BP2,3.26103448275862
AC096579.7,8.50396551724138
TXNDC5,5.75506896551724
RP11-81H14.2,2.87072413793103
RP11-731F5.2,1.54931034482759
AL928768.3,2.37151724137931
IGHGP,6.85586206896552
IGLL5,5.76837931034483
RP11-689B22.2,2.55206896551724
RP11-498C9.13,1.97320689655172
