,avg.expression
MATK,1.05363110877562
OSBPL5,0.658150289017341
AGPAT4,0.645065685759327
TGFBR3,1.69874408828166
TXK,1.37924855491329
FOSL2,3.69356279558592
PXN,2.08005780346821
RNF125,1.7716605359958
KLF3,0.749784550709406
ZBTB16,0.745780346820809
KLRB1,2.72622700998424
GNLY,4.22205990541251
IL18RAP,1.13748292170258
C1orf21,0.795601681555439
PLEKHG3,0.516337362059905
RAP1GAP2,0.541250656857593
KLRC1,1.17452968996322
ANXA1,6.0450972149238
AOAH,3.53037309511298
FGFBP2,1.60932737782449
SORL1,2.19888071466106
STAT4,5.12097214923805
KLRG1,2.58465055176038
PLAC8,2.94154492905938
GZMA,5.66847083552286
NCAM1,0.700830267997898
KLRF1,1.20046768260641
PRSS23,0.598087230688387
FAM177A1,3.26749868628481
B3GNT7,0.963909616395165
AUTS2,0.86253809774041
SPON2,1.81230162900683
LMNA,2.86698896479243
DHRS3,1.58411455596427
SAMD3,2.72800840777719
SYTL3,3.1495796111403
KIR3DL1,0.441597477666842
CD300A,1.64003678402522
PTGDR,1.12181292695744
CX3CR1,0.906274303730951
IL7R,3.91387283236994
ADRB2,1.37077246452969
ITGAM,0.876826064109301
S1PR1,2.15178139779296
HOPX,2.29789805570152
NMUR1,0.446037834997373
A2M,1.65381502890173
S1PR5,1.25637940094587
MAFF,1.35269048870205
MYBL1,0.638649500788229
RASA3,1.81623751970573
GPR141,0.250394114555964
NCR1,0.854760903836048
C20orf112,2.3970310036784
SH2D1B,0.898407777193904
FCGR3A,1.49286389910667
TRGC1,1.85001576458224
TRGV9,0.78426169206516
TRDC,2.74874934314241
KIR2DS4,0.458460325801366
KIR3DL2,0.437477666841829
KIR2DL3,0.539842354177614
AE000661.37,0.519942196531792
RP11-53I6.2,1.50039411455596
