,avg.expression
CD79B,7.51723434201267
BTK,3.36828993666432
CD22,6.90335679099226
STAP1,3.67592540464462
ADAM28,5.96448979591837
MEF2C,4.73159746657284
COL19A1,1.74348346235046
BLNK,4.28964813511612
TCL1A,4.73349753694581
CD40,4.13262491203378
KIAA0226L,4.86080225193526
FCER2,5.24282195636875
CD79A,8.4192118226601
POU2AF1,3.41847290640394
RALGPS2,3.77215341308937
CR2,3.20150598170303
BCL11A,7.48382125263899
HVCN1,4.35591836734694
VPREB3,3.80897959183674
WDFY4,4.14836734693878
NAPSB,6.17000703729768
FCRLA,3.6609148486981
FCRL2,2.38885995777621
SWAP70,4.03332864180155
BLK,3.44387051372273
ARHGAP24,3.98410978184377
AFF3,3.20024630541872
BANK1,6.77558761435609
MS4A1,9.48959183673469
NCF1,5.78483462350457
CXCR5,4.10288529204785
FCRL1,5.82920478536242
SMIM14,4.52147079521464
EBF1,2.56645320197044
NCF1C,4.99097114707952
FAM129C,3.36073187895848
PKIG,2.78852216748768
TLR10,2.05524278676988
CD19,6.97964109781844
CLEC17A,3.07710767065447
CNR2,2.2420197044335
PAX5,4.87441942294159
TCF4,4.18030964109782
RP11-693J15.5,0.915629838142153
IGKC,8.21800140745954
IGLC3,3.41271639690359
IGHG2,2.27058409570725
IGHG1,3.39881069669247
IGHG3,2.49517945109078
IGHD,5.45103448275862
IGHM,9.43496833216045
AC096579.7,4.76926812104152
HLA-DOB,3.8937227304715
LINC00926,4.53097114707952
IGHGP,1.40566502463054
CTA-250D10.23,4.55762843068262
SPIB,3.87463054187192
RP1-257A7.5,4.83323011963406
