,avg.expression
TMEM176A,3.1110216256525
ALDH3B1,2.69642058165548
STAB1,4.1030947054437
MARCO,4.62900074571215
VCAN,4.64702460850112
MSR1,3.82428038777032
ARHGEF10L,2.53410887397465
CXCL2,4.07559284116331
FCN1,6.04268456375839
LPCAT2,3.0454884414616
SIGLEC1,1.91391498881432
LGALS2,2.80190156599553
AQP9,2.93212527964206
CD33,3.88988068605518
CPVL,6.17821029082774
TMEM176B,4.40699478001491
PLXDC2,5.50637583892617
PLBD1,4.07120059656972
CSTA,3.35297539149888
TREM1,5.75178225205071
IL1B,5.45476510067114
SIGLEC9,3.95741983594333
CLEC10A,2.71261744966443
RIN2,3.69517524235645
SLC37A2,2.99281133482476
GPNMB,4.27353467561521
TLR4,2.40322893363162
TLR2,4.71132736763609
GPR84,3.03038777032066
FCGR1A,4.98786726323639
HNMT,3.80131991051454
PID1,1.84070842654735
VSIG4,4.59047725577927
HK3,4.6969202087994
CLEC4E,2.76287099179717
ANPEP,4.59640566741238
C15orf48,5.32818046234154
CD300C,3.30184936614467
IL8,5.15718120805369
CD14,8.1955033557047
LILRA3,2.5679418344519
OSCAR,2.80221476510067
FPR1,5.27594332587621
OLR1,4.48961968680089
CD163,5.65750186428039
ADAP2,3.24238627889635
CD300E,3.61985085756898
FPR3,3.62703206562267
SERPINA1,8.58523489932886
C5AR1,4.27793437733035
FCGR1B,3.47616703952274
SIRPA,3.26604026845638
MAFB,3.06887397464579
RP11-290F20.3,3.92528709917972
NFAM1,2.9413870246085
LILRA2,2.89824011931394
LILRA6,5.28263236390753
FCGR1C,2.60967188665175
RP11-750H9.5,2.46251304996271
CLEC5A,3.39595824011931
