,avg.expression
CCDC109B,2.125432211101
CD4,4.12247497725205
DGKA,6.20273885350318
AP3M2,1.34691537761601
MGAT4A,2.78757051865332
TXK,1.5012465878071
SESN1,1.37556869881711
TCF7,4.98385805277525
FLT3LG,2.5887534121929
ABLIM1,3.19399454049136
CD40LG,2.31780709736124
ICAM2,2.2150864422202
CD5,3.6149135577798
KLRB1,2.46275705186533
RASGRF2,0.67761601455869
PASK,1.97114649681529
RCAN3,1.98883530482257
MAN1C1,0.603830755232029
ACVR2A,0.76189262966333
CCR7,3.72998180163785
TESPA1,2.96706096451319
SORL1,3.10169244767971
LEF1,2.72094631483167
FBLN7,1.36958143767061
ZC3H8,1.53181073703367
CSGALNACT1,1.04329390354868
CHMP7,2.58828935395814
ANK3,1.56703366696997
CAMK4,3.35065514103731
OXNAD1,3.31525022747953
LDLRAP1,1.80241128298453
THEM4,1.61414922656961
DHRS3,2.05893539581438
SERINC5,2.13561419472247
AQP3,1.90385805277525
TC2N,3.58008189262966
IL7R,6.72575978161965
S1PR1,2.71931756141947
MAL,1.85791628753412
CD28,3.08450409463148
GIMAP7,4.91545950864422
CCR4,1.16371246587807
TRABD2A,1.13772520473157
ESPN,1.42651501364877
SELL,4.22604185623294
FHIT,0.752829845313922
TMEM63A,2.05269335759782
GIMAP5,4.41606915377616
C20orf112,2.86242038216561
DPP4,0.924713375796178
TNFRSF25,3.75551410373066
LTB,4.93178343949045
CHRM3-AS2,1.3530118289354
LINC00402,0.666433121019108
PRKCQ-AS1,1.39466787989081
RP11-285F7.2,1.37104640582348
LINC00861,2.81232029117379
C14orf64,1.22113739763421
PVT1,2.53112829845314
RP11-119D9.1,0.609381255686988
