,avg.expression
UHRF1,4.06665226781857
POLQ,2.3032181425486
ASPM,3.17356371490281
GTSE1,2.97876889848812
UBE2T,5.31593952483801
NDC80,4.05019438444924
TPX2,4.4131101511879
BIRC5,5.11984881209503
CENPM,6.03539956803456
ASF1B,5.28079913606912
NCAPG,3.44479481641469
CDCA3,3.86518358531317
CDC20,3.87816414686825
STMN1,9.05738660907127
CENPF,4.06354211663067
NCAPH,4.01943844492441
ZWINT,5.77019438444924
HJURP,2.98738660907127
HIST1H3B,2.21814254859611
DLGAP5,3.44963282937365
PKMYT1,4.88060475161987
TOP2A,5.66019438444924
CDCA8,3.70684665226782
SMC2,4.56546436285097
TCF19,4.29386609071274
KIF23,3.66876889848812
CASC5,3.58732181425486
KIF11,3.90816414686825
FANCI,4.5236717062635
KIF2C,3.78287257019438
NUF2,3.85619870410367
DTL,3.30598272138229
CCNA2,4.96233261339093
CDCA5,4.49721382289417
NCAPG2,3.90598272138229
MKI67,4.83889848812095
MLF1IP,4.49654427645788
SPC25,3.404686825054
SKA1,2.78008639308855
CCNB2,4.28866090712743
SPC24,4.83719222462203
KIF15,2.95602591792657
MAD2L1,5.41088552915767
MELK,3.75090712742981
KIAA0101,6.81002159827214
PLK1,3.47684665226782
TK1,6.08241900647948
FEN1,5.17431965442765
CKAP2L,3.04948164146868
CDK1,6.08522678185745
ESCO2,2.86425485961123
RRM2,7.07041036717063
CKS1B,6.42725701943845
UBE2C,6.11647948164147
TYMS,7.41699784017279
AURKB,5.09989200863931
CDCA2,2.78226781857451
KIF18B,2.7010151187905
DHFRP1,2.88844492440605
DHFR,3.73470842332613
KIFC1,3.95328293736501
HIST1H3G,2.7267818574514
RP11-424C20.2,2.5055939524838
