,avg.expression
ZFAT,6.50407272727273
TRAF4,4.2776
NRP1,5.69447272727273
DERL3,6.36109090909091
CSF2RB,6.05585454545454
LGMN,6.03134545454545
TCL1A,6.24298181818182
MYBL2,4.16058181818182
PHEX,2.61527272727273
SMPD3,6.96232727272727
PTPRS,7.21621818181818
TSPAN13,7.99752727272727
SUSD1,4.05610909090909
PTGDS,6.13527272727273
PALD1,2.83694545454545
RASD1,3.94061818181818
GAB1,3.54047272727273
FAM213A,3.53661818181818
PFKFB2,5.03065454545455
PACSIN1,3.45298181818182
SOX4,5.64305454545454
EGLN3,6.48334545454545
CBFA2T3,2.82741818181818
NAPSB,10.5660727272727
SERPINF1,10.3652727272727
IGJ,11.9704363636364
CD36,4.57338181818182
SEMA7A,3.77294545454545
SLC15A4,6.31603636363636
APP,6.05476363636364
TNFRSF21,5.08523636363636
NEK8,3.02930909090909
DNASE1L3,5.97647272727273
PLD4,9.6112
MAP1A,3.6972
FAM129C,5.07887272727273
CHAF1A,4.19807272727273
RNASE6,8.12807272727273
CLIC3,8.51818181818182
P2RY6,4.48323636363636
TLR9,4.68007272727273
PPP1R14B,4.5228
P2RY14,4.51669090909091
GAPT,4.41116363636364
GNG7,3.03494545454545
GAS6,4.16745454545454
IL3RA,7.99152727272727
AHNAK2,1.81578181818182
LILRB4,7.97905454545454
C1orf186,5.16021818181818
TCF4,9.04723636363636
TLR7,3.50443636363636
MPEG1,8.15381818181818
TPM2,4.73781818181818
NOTCH4,3.51763636363636
AC023590.1,3.11792727272727
AC096579.7,9.42465454545455
LILRA4,10.2034909090909
RP11-38J22.6,7.81861818181818
LINC00996,4.32152727272727
SPIB,8.74712727272727
