Mixture	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0489206373079794	0	0.0632630522957986	0	0.0381604637171337	0.0629061612025414	0.261602142652643	0.066063805405617	0.0553712434165991	0.124859853066841	0.278852640934847	0	0.518133737873536	0.854683387803945
TCGA.WE.A8ZN.06A	0	0	0.0732065757378561	0.0997023923237011	0.0694401721424476	0.0866671376600433	0.282275988566571	0.201082530314231	0.0125295663164601	0	0.17509563693869	0	0.368429673409031	0.931192274646023
TCGA.ER.A2NF.01A	0	0	0.0333877057006417	0.0807178381448409	0.0327312932936143	0.0573149300359226	0.243480148782656	0	0	0.0867548987115023	0.465613185330822	0	0.562147597676727	0.835611520885356
TCGA.HR.A2OH.06A	0	0	0.051712573501192	0.185223518186338	0.0960389725731011	0.033576449430406	0.326923935098768	0	0	0.128400245704815	0.17812430550538	0	0.47006750897937	0.881833770625243
TCGA.WE.A8K6.06A	0	0.0128822369119948	0.04549046751322	0	0.00211033128113031	0.072718387115839	0.469513565722284	0.0552288242807399	0.0382865817628209	0.0408139752880262	0.262955630123945	0	0.447328875048111	0.896838313219807
TCGA.RP.A695.06A	0	0.0142597036703318	0.0236888251520117	0.215135276234372	0.00597402008425289	0.0748689314462962	0.242890732166868	0.098519220247738	0	0	0.32466329099813	0	0.634478112655346	0.776754541189282
TCGA.D9.A3Z1.06A	0.00212181214094305	0	0.0142250785975014	0.146584752805321	0.0481860978521946	0.040212537571997	0.32074927211497	0.152536394569467	0	0.0163597623231965	0.25902429202441	0	0.481643283619837	0.875830387899219
TCGA.GF.A6C8.06A	0	0	0.0205598667546818	0.077373545098974	0.00580684485589976	0.0792971608104145	0.279338075393165	0.305561270791065	0.0375810259634881	0	0.194482210332312	0	0.657287563165551	0.778045488443056
TCGA.D3.A1Q6.06A	0	0.01938802970913	0.0223631185072014	0.0762832096420938	0.0311246891093959	0.0729075632609106	0.319404279696073	0.220810089961673	0	0	0.237719020113523	0	0.545626405920762	0.839726953829342
TCGA.ER.A195.06A	0	0	0.0675536356321968	0.213460275740158	0.0187507121423764	0.0429670619693063	0.399533888485044	0.0663076467528674	0.0378593421059793	0	0.153567437172072	0	0.54138577438858	0.844720545885059
TCGA.ER.A2NG.06A	0	0	0.0358837400511654	0.16956394494128	0.118934130751515	0.044771537455495	0.379238961785513	0.0642480364851535	0.0558252920984822	0.0192825816363605	0.112251774795036	0	0.623604848342736	0.800357338981564
TCGA.EB.A4IQ.01A	0	0.0206113674679972	0.0456586834096339	0.176245272337169	0	0.0962615540899859	0.209838038521572	0.234885977585837	0.0440401841058379	0	0.172458922481967	0	0.0730150170315781	1.06485922860924
TCGA.EB.A3Y6.01A	0	0.032374993520952	0.0109562712148495	0.143961457057981	0	0.09961948532047	0.300074846888906	0.238328326503147	0.0558883788164898	0	0.118796240677205	0	0.454188558124616	0.890461719226173
TCGA.FR.A726.01A	0	0.0314203183602766	0.00214247176117476	0.178169941311826	0	0.034124136752362	0.3240552262264	0.350631051180268	0	0	0.0794568544076927	0	0.410954326108604	0.913920908428907
TCGA.XV.AAZY.01A	0	0	0.049827952220726	0.0559922165317342	0.0470331974963311	0.0839985975100647	0.272981572817439	0.212161800700174	0.0397229396358446	0	0.238281723087687	0	0.520027822232149	0.854892213847583
