Mixture	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0435720943910126	0	0.0746663119988282	0.0250073396542984	0.0778229202512953	0.0533821571688365	0.196768903523728	0.073003599421634	0.0954106343509622	0.103456881695035	0.25690915754437	0	0.44572385753763	0.898075860788291
TCGA.WE.A8ZN.06A	0	0	0.0637709009549544	0.201655501149442	0.0480299079856878	0.0843926688682297	0.190595921600555	0.162854522667594	0.103058218850685	0	0.145642357922852	0	0.16372262635524	1.033107220973
TCGA.ER.A2NF.01A	0	0	0.083519404221237	0.182510014276354	0	0.0708497034329588	0.165252168242846	0	0.090053760036798	0	0.407814949789805	0	0.491674972925517	0.884295785516159
TCGA.HR.A2OH.06A	0	0	0.0393863447839611	0.22440335119978	0.113145465550877	0.0409237888977424	0.237811603882157	0	0.00216643144962817	0.156481584931339	0.185681429304517	0	0.446460507290855	0.896292460664459
TCGA.WE.A8K6.06A	0	0.0118932646700105	0.066762190851465	0.0464411753055126	0.0144437969928834	0.0708078734328634	0.37799301084399	0.0682998202653971	0.134825082620078	0	0.2085337850178	0	0.393616022700991	0.922789987367182
TCGA.RP.A695.06A	0	0	0.0247388136614897	0.175276747120218	0.0567860171991278	0.0396838954923168	0.166959727470636	0.22272258476502	0.0634756595530134	0	0.250356554738178	0	0.5198568251755	0.853516312374446
TCGA.D9.A3Z1.06A	0	0	0.0249986817386368	0.189790875078565	0.0643376223551678	0.0454194218952223	0.235888136504659	0.15587474150495	0.0612079523142375	0	0.222482568608561	0	0.402899153860045	0.919812980954136
TCGA.GF.A6C8.06A	0	0	0.0432909523097466	0.184589220990846	0.0248403654019058	0.0762980901601484	0.196019207708519	0.233981985612327	0.0857199668421958	0	0.155260210974311	0	0.609343337218534	0.80270065774202
TCGA.D3.A1Q6.06A	0	0.00841124499110689	0.0423430668170566	0.126507632157346	0.0102255180445076	0.0186143697454667	0.257970911363816	0.283719259924476	0.0450874331119033	0	0.207120563844321	0	0.489304695738208	0.871398653174766
TCGA.ER.A195.06A	0	0	0.0487041736583081	0.256800916729328	0.0251736495238693	0.0694566489147633	0.250322060620216	0.0916759326873039	0.124794644931536	0	0.133071972934675	0	0.474769384973228	0.879290494206936
TCGA.ER.A2NG.06A	0	0	0.036219462479743	0.19189844826499	0.155738534880085	0.0429153573089665	0.275015122428549	0.135114015336498	0.045874309249759	0	0.117224750051409	0	0.57210983189883	0.824372423919158
TCGA.EB.A4IQ.01A	0	0.0475722737350905	0.0351376823530673	0.180769999164913	0.0112498439511838	0.0505273439379215	0.170050124307027	0.302188236557417	0.0543155897506869	0	0.148188906242693	0	0.428332088647707	0.905392935536529
TCGA.EB.A3Y6.01A	0	0	0.0862314039967346	0.20352056452768	0.050084394963749	0.0710732009814278	0.252939840162255	0.169437228303555	0.0592985555798746	0	0.107414811484724	0	0.457510818794449	0.888358800625356
TCGA.FR.A726.01A	0	0.0041721365745999	0.00180659356542539	0.178570224681671	0.0639021583507297	0.0714624724264419	0.216640587378387	0.372685317070631	0.000481105317231465	0	0.0902794046348837	0	0.47603332182224	0.87885331074121
TCGA.XV.AAZY.01A	0	0	0.0768434766478194	0.0920511052386273	0.0721656542185243	0.075514821014888	0.162223791531734	0.253823200554187	0.0858925600913387	0	0.181485390702881	0	0.407466542983393	0.915839976985804
TCGA.FS.A1ZS.06A	0	0.0347661390807448	0.00375695000007963	0.0868678332505176	0.0130009549620276	0.0763418630491337	0.354816827248395	0.289654376623579	0.0351216162546787	0	0.105673439530844	0	0.393917966671523	0.920531598591367
TCGA.ER.A2ND.06A	0	0	0.0387471530121153	0.243776810513938	0	0.0470235054822712	0.206996931592984	0.155750495165617	0.0958006605069781	0	0.211904443726096	0	0.573872500083529	0.821101335169484
