,avg.expression
CD38,4.83223609991942
CCL3,4.74382352941176
ETV1,1.43649879129734
TNFRSF9,3.81183319903304
TNIP3,1.79065269943594
RAB27A,5.03612812248187
ABCB1,1.55519742143433
SIRPG,5.52043513295729
LAG3,3.75033843674456
GZMH,5.98303787268332
GZMB,6.94397260273973
DGKH,1.55120870265915
NKG7,11.4730701047542
CRTAM,3.37123287671233
IFNG,4.97025785656728
FASLG,2.88926672038679
TNFSF4,1.26690169218372
KLRD1,5.0301893634166
HAVCR2,5.5853787268332
OASL,4.33893634165995
CHST12,3.79603142626914
MYO7A,2.37812248186946
SNAP47,3.98500402900886
GZMA,8.5192425463336
JAKMIP1,2.49688960515713
CD8A,10.2582352941176
CXCL13,4.30572522159549
PTMS,1.94284045124899
CCR5,3.49524979854956
VCAM1,3.60453666398066
EOMES,1.90846494762288
FABP5,4.37009669621273
AFAP1L2,1.77606768734891
HOPX,2.85154713940371
CD8B,7.45043110394843
CXCR6,4.52483078162772
CTSW,7.04304190169218
THEMIS,2.89510475423046
GOLIM4,2.68233682514102
AKAP5,1.05793311845286
PRF1,8.42122078968574
F2R,2.77078565672845
TIGIT,6.3047219983884
KLRC4,3.00267526188558
PDCD1,5.76126107977438
KIR2DL4,1.90149073327961
FAM3C,1.86905721192587
TOX,3.7701893634166
GPR56,2.96218372280419
KLRC2,1.55595890410959
KLRC3,1.3754230459307
KLRK1,8.93328364222401
ITGA1,1.73429089443997
AC069363.1,2.31304593070105
MIR155HG,3.4303787268332
AC092580.4,3.39287671232877
CD8BP,1.93695809830782
KLRC4-KLRK1,3.74182917002417
RP11-291B21.2,2.84479049153908
