,avg.expression
CD38,4.46303400174368
IKZF2,1.60312990409765
TNFRSF9,2.68687881429817
RAB27A,4.19779424585876
SIRPG,5.13308631211857
LAG3,2.92933740191805
DFNB31,1.80246730601569
GZMH,5.25410636442894
GZMB,5.9683347863993
SLA2,3.49062772449869
NDFIP2,2.04562336530078
NKG7,9.46588491717524
CRTAM,3.34366172624237
IFNG,4.00052310374891
GZMK,6.28569311246731
GNLY,3.52770706190061
FASLG,2.23617262423714
HAVCR2,5.30048823016565
OASL,3.80129904097646
CCDC64,2.20018308631212
CHST12,3.33351351351351
NAB1,3.06619006102877
CLSTN3,2.08293809938971
KLRG1,3.25578029642546
CD27,5.63366172624237
MCTP2,2.44667829119442
SNAP47,3.28460331299041
GZMA,7.98377506538797
JAKMIP1,2.14108108108108
CXCL13,3.1742545771578
CCR5,3.23663469921534
VCAM1,2.64588491717524
EOMES,1.55811682650392
CD200R1,1.91394071490846
TMEM155,0.929520488230166
SAMD3,3.23480383609416
AFAP1L2,1.49489102005231
CXCR6,4.02176983435048
GPR171,3.19714036617262
PRF1,7.42778552746295
F2R,2.66973844812554
TIGIT,5.44018308631212
RTKN2,1.06815170008718
CADM1,2.28175239755885
SH2D1A,4.88278116826504
PDCD1,4.80473408892764
NCR1,1.52973844812554
DTHD1,2.4498866608544
TRGC1,2.74225806451613
TRGV8,1.15821272885789
TRGV4,1.15149956408021
TRDV1,3.20238884045336
TRDC,4.25858761987794
PVRIG,4.17772449869224
AC069363.1,2.08808195292066
TRGC2,4.52824760244115
TRGV2,1.26296425457716
AC092580.4,2.93410636442895
CTD-2313F11.1,1.29761115954664
AE000661.37,0.870209241499564
