Cell Name,Cluster,sf_cluster,ruoyi_cluster
D2_P3_M15,CD8_B,6,CD8_B
D3_P2_M15,CD8_B,9,CD8_B
D3_P6_M15,CD8_B,9,CD8_B
D4_P6_M15,CD8_B,6,NA
D5_P1_M15,CD8_B,11,CD8_B
D5_P2_M15,CD8_G,5,CD8_G
D5_P3_M15,CD8_G,9,NA
D6_P6_M15,CD8_G,8,CD8_G
D7_P1_M15,CD8_G,5,NA
D7_P2_M15,CD8_B,11,CD8_B
D7_P5_M15,CD8_B,9,CD8_B
D8_P5_M15,CD8_G,9,NA
D9_P2_M15,CD8_G,9,CD8_G
E10_P1_M15,CD8_B,9,CD8_B
E10_P2_M15,CD8_B,9,CD8_B
E10_P6_M15,CD8_G,9,NA
E11_P1_M15,CD8_G,5,CD8_G
E11_P2_M15,CD8_B,11,CD8_B
E11_P5_M15,CD8_G,9,NA
E11_P6_M15,CD8_G,8,CD8_G
E12_P6_M14,CD8_G,5,CD8_G
E1_P2_M15,CD8_G,9,CD8_G
E1_P4_m15,CD8_G,9,CD8_G
E1_P5_M15,CD8_B,11,CD8_B
E2_P2_M15,CD8_G,9,CD8_G
E3_P1_M15,CD8_G,9,CD8_G
E3_P6_M15,CD8_B,6,NA
E4_P1_M15,CD8_B,9,CD8_B
E4_P2_M15,CD8_B,11,CD8_B
E5_P6_M15,CD8_G,10,CD8_G
E7_P1_M15,CD8_G,5,NA
E8_P2_M15,CD8_B,11,CD8_B
E9_P1_M15,CD8_B,9,CD8_B
F10_P1_M15,CD8_G,5,CD8_G
F10_P2_M15,CD8_G,5,CD8_G
F11_P2_M15,CD8_B,6,CD8_B
F11_P5_M15,CD8_G,8,CD8_G
F12_P1_M15,CD8_B,11,CD8_B
F12_P6_M14,CD8_B,9,CD8_B
F2_P1_M15,CD8_B,9,CD8_B
F2_P6_M15,CD8_G,9,CD8_G
F3_P1_M15,CD8_G,5,CD8_G
F5_P1_M15,CD8_G,9,CD8_G
F5_P5_M15,CD8_B,11,CD8_B
F6_P2_M15,CD8_G,8,NA
F6_P3_M15,CD8_B,11,CD8_B
F6_P5_M15,CD8_G,5,CD8_G
F7_P1_M15,CD8_G,9,CD8_G
F8_P5_M15,CD8_B,11,CD8_B
G10_P1_M15,CD8_G,5,CD8_G
G12_P1_M15,CD8_G,9,NA
G12_P2_M15,CD8_G,5,CD8_G
G1_P1_M15,CD8_B,11,CD8_B
G1_P4_M15,CD8_G,9,CD8_G
G1_P5_M15,CD8_G,10,CD8_G
G3_P5_M15,CD8_G,5,CD8_G
G4_P1_M15,CD8_B,9,CD8_B
G4_P2_M15,CD8_G,5,CD8_G
G5_P1_M15,CD8_B,11,CD8_B
G5_P6_M15,CD8_G,9,CD8_G
G6_P2_M15,CD8_B,11,CD8_B
G6_P5_M15,CD8_B,11,CD8_B
G6_P6_M15,CD8_G,5,CD8_G
G8_P2_M15,CD8_G,5,CD8_G
G8_P5_M15,CD8_G,9,CD8_G
G8_P6_M15,CD8_B,11,CD8_B
G9_P1_M15,CD8_G,9,CD8_G
G9_P5_M15,CD8_G,8,CD8_G
H10_P4_M15,CD8_B,11,CD8_B
H11_P3_M15,CD8_G,5,CD8_G
H12_P1_M15,CD8_G,5,CD8_G
H12_P2_M15,CD8_G,9,NA
H1_P2_M15,CD8_G,9,NA
H1_P4_M15,CD8_G,8,CD8_G
H1_P6_M15,CD8_B,6,NA
H4_P6_M15,CD8_B,11,CD8_B
H5_P1_M15,CD8_B,6,NA
H6_P1_M15,CD8_G,9,CD8_G
H6_P3_M15,CD8_G,9,NA
H6_P6_M15,CD8_G,5,CD8_G
H7_P2_M15,CD8_B,11,CD8_B
H7_P6_M15,CD8_B,9,NA
H8_P1_M15,CD8_B,9,CD8_B
H9_P1_M15,CD8_B,9,CD8_B
H9_P6_M15,CD8_G,5,CD8_G
A10_P1_M55_L001,CD8_B,11,CD8_B
A10_P3_M55_L001,CD8_G,10,CD8_G
A10_P4_M55_L001,CD8_G,8,CD8_G
A11_P1_M55_L001,CD8_B,9,CD8_B
A11_P2_M55_L001,CD8_B,6,CD8_B
A11_P3_M55_L001,CD8_B,9,CD8_B
A11_P4_M55_L001,CD8_B,8,CD8_B
A12_P2_M55_L001,CD8_G,9,CD8_G
A2_P1_M55_L001,CD8_B,8,CD8_B
A2_P4_M55_L001,CD8_B,11,CD8_B
A3_P1_M55_L001,CD8_B,10,CD8_B
A3_P4_M55_L001,CD8_B,6,NA
A4_P2_M55_L001,CD8_B,6,CD8_B
A4_P3_M55_L001,CD8_G,10,CD8_G
A4_P4_M55_L001,CD8_G,8,CD8_G
A5_P1_M55_L001,CD8_B,6,CD8_B
A5_P2_M55_L001,CD8_B,6,CD8_B
A5_P3_M55_L001,CD8_B,6,CD8_B
A5_P4_M55_L001,CD8_B,11,CD8_B
A6_P1_M55_L001,CD8_B,9,CD8_B
A6_P3_M55_L001,CD8_G,10,CD8_G
A6_P4_M55_L001,CD8_B,6,CD8_B
A7_P1_M55_L001,CD8_B,6,CD8_B
A7_P2_M55_L001,CD8_B,6,CD8_B
A7_P3_M55_L001,CD8_G,8,CD8_G
A7_P4_M55_L001,CD8_G,8,CD8_G
A8_P2_M55_L001,CD8_B,6,CD8_B
A8_P3_M55_L001,CD8_G,9,NA
A8_P4_M55_L001,CD8_B,6,CD8_B
A9_P1_M55_L001,CD8_G,10,NA
A9_P3_M55_L001,CD8_G,9,CD8_G
A9_P4_M55_L001,CD8_B,11,CD8_B
B10_P1_M55_L001,CD8_B,6,CD8_B
B10_P3_M55_L001,CD8_B,11,CD8_B
B11_P2_M55_L001,CD8_B,6,CD8_B
B12_P1_M55_L001,CD8_G,10,CD8_G
B12_P2_M55_L001,CD8_B,6,CD8_B
B1_P2_M55_L001,CD8_B,11,CD8_B
B1_P4_M55_L001,CD8_G,8,CD8_G
B2_P2_M55_L001,CD8_B,6,CD8_B
B3_P1_M55_L001,CD8_B,11,CD8_B
B3_P3_M55_L001,CD8_G,5,CD8_G
B4_P1_M55_L001,CD8_G,10,NA
B4_P2_M55_L001,CD8_B,6,CD8_B
B4_P3_M55_L001,CD8_B,8,NA
B4_P4_M55_L001,CD8_G,10,CD8_G
B5_P2_M55_L001,CD8_B,6,CD8_B
B5_P3_M55_L001,CD8_B,6,CD8_B
B5_P4_M55_L001,CD8_G,2,CD8_G
B6_P1_M55_L001,CD8_B,8,CD8_B
B6_P2_M55_L001,CD8_G,10,CD8_G
B6_P3_M55_L001,CD8_G,8,CD8_G
B7_P1_M55_L001,CD8_B,6,CD8_B
B7_P2_M55_L001,CD8_B,11,CD8_B
B7_P3_M55_L001,CD8_B,6,CD8_B
B7_P4_M55_L001,CD8_B,6,CD8_B
B8_P2_M55_L001,CD8_G,10,CD8_G
B8_P3_M55_L001,CD8_G,8,NA
B8_P4_M55_L001,CD8_B,6,NA
B9_P1_M55_L001,CD8_B,6,CD8_B
B9_P4_M55_L001,CD8_B,6,CD8_B
C10_P1_M55_L001,CD8_B,10,CD8_B
C10_P4_M55_L001,CD8_G,9,CD8_G
C11_P3_M55_L001,CD8_B,6,CD8_B
C12_P2_M55_L001,CD8_B,6,CD8_B
C12_P3_M55_L001,CD8_B,9,CD8_B
C1_P2_M55_L001,CD8_G,9,CD8_G
C1_P3_M55_L001,CD8_B,9,CD8_B
C1_P4_M55_L001,CD8_B,6,CD8_B
C2_P4_M55_L001,CD8_B,6,NA
C3_P3_M55_L001,CD8_B,9,CD8_B
C4_P2_M55_L001,CD8_B,6,CD8_B
C5_P1_M55_L001,CD8_B,9,CD8_B
C5_P3_M55_L001,CD8_B,8,CD8_B
C6_P2_M55_L001,CD8_B,6,CD8_B
C6_P3_M55_L001,CD8_G,9,CD8_G
C7_P1_M55_L001,CD8_B,6,CD8_B
C7_P2_M55_L001,CD8_B,11,CD8_B
C7_P3_M55_L001,CD8_G,8,CD8_G
C8_P4_M55_L001,CD8_B,11,CD8_B
C9_P4_M55_L001,CD8_B,6,CD8_B
D11_P1_M55_L001,CD8_B,11,CD8_B
D11_P2_M55_L001,CD8_B,9,CD8_B
D11_P3_M55_L001,CD8_B,11,CD8_B
D12_P4_M55_L001,CD8_G,9,CD8_G
D1_P1_M55_L001,CD8_G,6,NA
D1_P2_M55_L001,CD8_B,6,CD8_B
D1_P3_M55_L001,CD8_B,6,NA
D1_P4_M55_L001,CD8_B,6,CD8_B
D2_P1_M55_L001,CD8_B,6,CD8_B
D2_P2_M55_L001,CD8_B,11,CD8_B
D2_P3_M55_L001,CD8_B,9,CD8_B
D2_P4_M55_L001,CD8_B,6,CD8_B
D3_P2_M55_L001,CD8_B,6,CD8_B
D3_P3_M55_L001,CD8_G,8,CD8_G
D4_P3_M55_L001,CD8_B,6,CD8_B
D4_P4_M55_L001,CD8_B,9,CD8_B
D5_P2_M55_L001,CD8_B,6,CD8_B
D5_P3_M55_L001,CD8_G,5,CD8_G
D7_P1_M55_L001,CD8_B,9,CD8_B
D7_P3_M55_L001,CD8_B,8,CD8_B
D7_P4_M55_L001,CD8_B,6,CD8_B
D8_P1_M55_L001,CD8_B,6,CD8_B
D8_P3_M55_L001,CD8_B,6,CD8_B
D8_P4_M55_L001,CD8_B,11,CD8_B
D9_P4_M55_L001,CD8_B,9,CD8_B
E10_P1_M55_L001,CD8_G,9,NA
E10_P3_M55_L001,CD8_G,8,CD8_G
E11_P1_M55_L001,CD8_B,9,CD8_B
E12_P1_M55_L001,CD8_B,6,CD8_B
E12_P3_M55_L001,CD8_B,6,CD8_B
E12_P4_M55_L001,CD8_G,9,CD8_G
E1_P4_M55_L001,CD8_B,6,CD8_B
E2_P2_M55_L001,CD8_B,6,CD8_B
E2_P3_M55_L001,CD8_B,6,CD8_B
E3_P2_M55_L001,CD8_B,10,CD8_B
E3_P4_M55_L001,CD8_B,6,CD8_B
E4_P1_M55_L001,CD8_G,8,CD8_G
E4_P2_M55_L001,CD8_B,6,CD8_B
E5_P4_M55_L001,CD8_B,11,CD8_B
E6_P2_M55_L001,CD8_B,6,CD8_B
E7_P1_M55_L001,CD8_B,6,CD8_B
E7_P3_M55_L001,CD8_G,9,CD8_G
E8_P1_M55_L001,CD8_G,10,CD8_G
E8_P2_M55_L001,CD8_G,9,CD8_G
E9_P3_M55_L001,CD8_B,6,CD8_B
E9_P4_M55_L001,CD8_G,10,CD8_G
F10_P1_M55_L001,CD8_B,6,CD8_B
F10_P2_M55_L001,CD8_B,6,CD8_B
F10_P4_M55_L001,CD8_B,11,CD8_B
F11_P1_M55_L001,CD8_G,8,CD8_G
F11_P2_M55_L001,CD8_B,6,CD8_B
F12_P2_M55_L001,CD8_B,6,CD8_B
F12_P3_M55_L001,CD8_B,11,CD8_B
F1_P3_M55_L001,CD8_G,6,CD8_G
F1_P4_M55_L001,CD8_G,8,CD8_G
F3_P2_M55_L001,CD8_B,6,CD8_B
F5_P2_M55_L001,CD8_B,6,CD8_B
F7_P1_M55_L001,CD8_B,6,CD8_B
F8_P2_M55_L001,CD8_B,6,CD8_B
F8_P3_M55_L001,CD8_B,9,CD8_B
F9_P1_M55_L001,CD8_B,11,CD8_B
G10_P3_M55_L001,CD8_B,11,CD8_B
G10_P4_M55_L001,CD8_G,6,CD8_G
G12_P1_M55_L001,CD8_B,6,CD8_B
G1_P3_M55_L001,CD8_B,6,CD8_B
G2_P2_M55_L001,CD8_G,9,CD8_G
G3_P1_M55_L001,CD8_G,9,CD8_G
G3_P4_M55_L001,CD8_B,6,CD8_B
G4_P1_M55_L001,CD8_G,10,NA
G4_P2_M55_L001,CD8_B,6,CD8_B
G4_P3_M55_L001,CD8_B,8,NA
G5_P2_M55_L001,CD8_B,6,CD8_B
G5_P3_M55_L001,CD8_G,8,CD8_G
G6_P1_M55_L001,CD8_B,6,CD8_B
G6_P2_M55_L001,CD8_B,6,CD8_B
G6_P4_M55_L001,CD8_B,6,CD8_B
G7_P1_M55_L001,CD8_B,6,CD8_B
G7_P3_M55_L001,CD8_G,9,CD8_G
G8_P1_M55_L001,CD8_B,6,CD8_B
G8_P2_M55_L001,CD8_B,6,CD8_B
G8_P3_M55_L001,CD8_B,11,CD8_B
G8_P4_M55_L001,CD8_G,8,CD8_G
G9_P1_M55_L001,CD8_B,6,CD8_B
G9_P2_M55_L001,CD8_B,6,CD8_B
G9_P3_M55_L001,CD8_B,8,CD8_B
G9_P4_M55_L001,CD8_B,9,CD8_B
H10_P1_M55_L001,CD8_B,11,CD8_B
H10_P4_M55_L001,CD8_G,9,NA
H11_P1_M55_L001,CD8_G,6,CD8_G
H11_P3_M55_L001,CD8_B,6,CD8_B
H12_P3_M55_L001,CD8_B,6,CD8_B
H1_P1_M55_L001,CD8_G,9,CD8_G
H1_P2_M55_L001,CD8_B,11,CD8_B
H1_P4_M55_L001,CD8_B,6,NA
H2_P1_M55_L001,CD8_B,8,CD8_B
H2_P2_M55_L001,CD8_B,6,CD8_B
H2_P4_M55_L001,CD8_B,11,CD8_B
H3_P1_M55_L001,CD8_B,11,CD8_B
H3_P4_M55_L001,CD8_B,6,CD8_B
H4_P3_M55_L001,CD8_G,10,CD8_G
H5_P1_M55_L001,CD8_B,8,CD8_B
H5_P2_M55_L001,CD8_B,6,CD8_B
H5_P3_M55_L001,CD8_B,6,CD8_B
H6_P1_M55_L001,CD8_B,6,CD8_B
H6_P2_M55_L001,CD8_B,6,CD8_B
H7_P4_M55_L001,CD8_G,8,CD8_G
H8_P1_M55_L001,CD8_G,5,CD8_G
H8_P3_M55_L001,CD8_B,9,CD8_B
H8_P4_M55_L001,CD8_B,11,CD8_B
H9_P1_M55_L001,CD8_B,6,CD8_B
H9_P3_M55_L001,CD8_B,8,CD8_B
H9_P4_M55_L001,CD8_B,6,CD8_B
A10_P3_M34,CD8_B,11,CD8_B
A11_P4_M34,CD8_B,11,CD8_B
A12_P2_M34,CD8_B,9,CD8_B
A12_P3_M34,CD8_B,6,CD8_B
A12_P4_M34,CD8_B,6,CD8_B
A2_P2_M34,CD8_B,9,CD8_B
A2_P4_M34,CD8_G,9,CD8_G
A3_P1_M34,CD8_G,5,CD8_G
A3_P2_M34,CD8_G,8,CD8_G
A3_P4_M34,CD8_B,9,NA
A4_P2_M34,CD8_B,9,CD8_B
A4_P3_M34,CD8_B,6,CD8_B
A4_P4_M34,CD8_B,9,CD8_B
A5_P3_M34,CD8_G,9,CD8_G
A6_P2_M34,CD8_B,11,CD8_B
A7_P3_M34,CD8_B,6,CD8_B
A8_P1_M34,CD8_G,5,CD8_G
A8_P2_M34,CD8_G,8,CD8_G
A8_P4_M34,CD8_G,9,CD8_G
A9_P3_M34,CD8_G,8,CD8_G
A9_P4_M34,CD8_B,11,CD8_B
B10_P1_M34,CD8_B,6,CD8_B
B10_P4_M34,CD8_B,6,CD8_B
B11_P1_M34,CD8_B,9,CD8_B
B11_P2_M34,CD8_B,9,CD8_B
B12_P1_M34,CD8_B,9,CD8_B
B12_P2_M34,CD8_G,9,CD8_G
B12_P4_M34,CD8_B,9,CD8_B
B1_P2_M34,CD8_B,9,CD8_B
B1_P3_M34,CD8_B,6,CD8_B
B2_P1_M34,CD8_B,9,CD8_B
B2_P2_M34,CD8_G,8,CD8_G
B2_P3_M34,CD8_B,6,CD8_B
B2_P4_M34,CD8_B,9,CD8_B
B3_P3_M34,CD8_B,9,CD8_B
B3_P4_M34,CD8_G,9,CD8_G
B4_P1_M34,CD8_B,9,NA
B4_P2_M34,CD8_B,11,CD8_B
B4_P3_M34,CD8_B,6,CD8_B
B4_P4_M34,CD8_G,9,NA
B5_P1_M34,CD8_B,6,CD8_B
B5_P2_M34,CD8_G,8,CD8_G
B5_P3_M34,CD8_B,9,CD8_B
B5_P4_M34,CD8_B,6,CD8_B
B6_P2_M34,CD8_B,9,NA
B6_P3_M34,CD8_B,6,NA
B6_P4_M34,CD8_B,9,NA
B7_P1_M34,CD8_B,11,CD8_B
B7_P2_M34,CD8_B,6,CD8_B
B7_P3_M34,CD8_B,9,CD8_B
B8_P1_M34,CD8_B,9,NA
B8_P4_M34,CD8_G,5,CD8_G
B9_P1_M34,CD8_B,6,CD8_B
B9_P2_M34,CD8_B,9,CD8_B
B9_P3_M34,CD8_B,9,NA
B9_P4_M34,CD8_B,9,CD8_B
C10_P1_M34,CD8_B,6,CD8_B
C10_P2_M34,CD8_B,9,CD8_B
C10_P4_M34,CD8_B,6,CD8_B
C11_P3_M34,CD8_B,9,NA
C12_P1_M34,CD8_B,9,CD8_B
C12_P2_M34,CD8_B,9,NA
C12_P3_M34,CD8_B,9,CD8_B
C12_P4_M34,CD8_B,6,NA
C1_P1_M34,CD8_B,9,CD8_B
C1_P4_M34,CD8_G,9,NA
C2_P3_M34,CD8_B,9,NA
C3_P3_M34,CD8_G,9,CD8_G
C3_P4_M34,CD8_G,5,CD8_G
C4_P3_M34,CD8_B,9,NA
C4_P4_M34,CD8_B,8,CD8_B
C5_P2_M34,CD8_G,9,NA
C6_P1_M34,CD8_B,9,CD8_B
C6_P2_M34,CD8_G,9,CD8_G
C7_P3_M34,CD8_B,9,CD8_B
C8_P1_M34,CD8_G,5,CD8_G
C8_P2_M34,CD8_B,9,CD8_B
C8_P3_M34,CD8_B,11,CD8_B
C8_P4_M34,CD8_G,9,CD8_G
C9_P1_M34,CD8_B,6,CD8_B
C9_P2_M34,CD8_G,9,NA
C9_P3_M34,CD8_G,5,CD8_G
C9_P4_M34,CD8_B,6,CD8_B
D10_P1_M34,CD8_G,9,NA
D10_P2_M34,CD8_G,9,CD8_G
D10_P3_M34,CD8_B,11,CD8_B
D11_P1_M34,CD8_B,9,CD8_B
D12_P2_M34,CD8_B,9,CD8_B
D1_P1_M34,CD8_B,9,CD8_B
D1_P2_M34,CD8_G,9,CD8_G
D1_P3_M34,CD8_G,8,CD8_G
D2_P4_M34,CD8_B,9,CD8_B
D4_P3_M34,CD8_B,6,CD8_B
D4_P4_M34,CD8_B,9,CD8_B
D5_P1_M34,CD8_B,6,CD8_B
D5_P2_M34,CD8_G,7,CD8_G
D5_P4_M34,CD8_B,6,CD8_B
D7_P1_M34,CD8_G,9,NA
D7_P2_M34,CD8_B,9,CD8_B
D7_P3_M34,CD8_B,9,CD8_B
D8_P3_M34,CD8_G,8,CD8_G
D9_P2_M34,CD8_B,6,CD8_B
D9_P3_M34,CD8_B,11,CD8_B
D9_P4_M34,CD8_B,11,CD8_B
E10_P2_M34,CD8_B,9,CD8_B
E10_P3_M34,CD8_B,9,CD8_B
E10_P4_M34,CD8_B,9,CD8_B
E11_P3_M34,CD8_B,9,CD8_B
E12_P1_M34,CD8_B,9,NA
E12_P2_M34,CD8_B,11,CD8_B
E12_P4_M34,CD8_B,6,CD8_B
E1_P1_M34,CD8_B,6,NA
E1_P2_M34,CD8_B,6,CD8_B
E1_P3_M34,CD8_B,9,CD8_B
E1_P4_M34,CD8_B,9,CD8_B
E2_P2_M34,CD8_G,9,CD8_G
E2_P4_M34,CD8_B,9,CD8_B
E3_P2_M34,CD8_B,9,CD8_B
E4_P1_M34,CD8_B,9,NA
E4_P4_M34,CD8_B,6,CD8_B
E5_P1_M34,CD8_B,6,CD8_B
E7_P4_M34,CD8_B,9,CD8_B
E8_P1_M34,CD8_B,9,CD8_B
E8_P2_M34,CD8_B,9,NA
E8_P4_M34,CD8_B,9,CD8_B
E9_P1_M34,CD8_B,9,CD8_B
E9_P2_M34,CD8_G,9,CD8_G
E9_P3_M34,CD8_G,9,CD8_G
F10_P1_M34,CD8_B,6,CD8_B
F11_P2_M34,CD8_G,8,CD8_G
F12_P4_M34,CD8_B,9,CD8_B
