Cell Name,Cluster,sf_cluster,ruoyi_cluster
A2_P4_M11,CD8_G,5,CD8_G
A4_P3_M11,CD8_B,9,CD8_B
A4_P4_M11,CD8_B,9,CD8_B
A4_P6_M11,CD8_G,5,CD8_G
A6_P6_M11,CD8_B,9,CD8_B
A7_P2_M11,CD8_G,5,CD8_G
A9_P4_M11,CD8_B,9,CD8_B
B10_P1_M11,CD8_G,5,CD8_G
B10_P3_M11,CD8_G,10,CD8_G
B10_P6_M11,CD8_B,9,CD8_B
B11_P6_M11,CD8_G,5,CD8_G
B12_P3_M11,CD8_G,5,CD8_G
B1_P4_M11,CD8_G,9,NA
B2_P5_M11,CD8_B,9,CD8_B
B3_P5_M11,CD8_G,9,NA
B5_P1_M11,CD8_B,9,NA
B5_P6_M11,CD8_G,9,NA
B6_P1_M11,CD8_G,9,CD8_G
B7_P4_M11,CD8_G,9,NA
C10_P6_M11,CD8_G,5,CD8_G
C11_P4_M11,CD8_G,9,CD8_G
C11_P6_M11,CD8_G,5,CD8_G
C12_P4_M11,CD8_B,9,CD8_B
C1_P3_M11,CD8_G,9,NA
C1_P4_M11,CD8_B,11,CD8_B
C3_P1_M11,CD8_B,9,CD8_B
C4_P1_M11,CD8_G,5,CD8_G
C4_P3_M11,CD8_B,9,CD8_B
C4_P6_M11,CD8_B,9,CD8_B
C6_P4_M11,CD8_B,11,CD8_B
C7_P3_M11,CD8_G,5,CD8_G
C7_P6_M11,CD8_G,5,CD8_G
C8_P5_M11,CD8_B,9,CD8_B
C9_P1_M11,CD8_G,9,NA
C9_P4_M11,CD8_G,5,CD8_G
D10_P1_M11,CD8_G,8,CD8_G
D10_P6_M11,CD8_G,8,NA
D11_P6_M11,CD8_G,5,CD8_G
D12_P6_M11,CD8_B,9,CD8_B
D1_P1_M11,CD8_G,5,CD8_G
D1_P4_M11,CD8_B,9,CD8_B
D2_P4_M11,CD8_G,9,NA
D2_P6_M11,CD8_G,5,CD8_G
D3_P1_M11,CD8_G,5,CD8_G
D3_P6_M11,CD8_G,5,CD8_G
D4_P1_M11,CD8_G,9,CD8_G
D4_P3_M11,CD8_B,9,CD8_B
D4_P4_M11,CD8_G,5,CD8_G
D4_P6_M11,CD8_G,5,CD8_G
D5_P4_M11,CD8_G,5,CD8_G
D6_P1_M11,CD8_G,9,NA
D6_P3_M11,CD8_G,5,CD8_G
D6_P5_M11,CD8_B,11,CD8_B
D6_P6_M11,CD8_G,5,CD8_G
D7_P3_M11,CD8_B,9,CD8_B
D7_P5_M11,CD8_G,5,CD8_G
D9_P3_M11,CD8_G,9,CD8_G
D9_P5_M11,CD8_B,9,CD8_B
E10_P2_M11,CD8_G,9,CD8_G
E12_P6_M11,CD8_G,5,CD8_G
E4_P3_M11,CD8_G,5,CD8_G
E6_P1_M11,CD8_G,5,CD8_G
E7_P1_M11,CD8_G,5,CD8_G
E7_P5_M11,CD8_G,9,NA
E8_P2_M11,CD8_G,5,CD8_G
E8_P5_M11,CD8_G,5,CD8_G
E9_P5_M11,CD8_G,5,NA
F10_P2_M11,CD8_G,5,CD8_G
F10_P3_M11,CD8_G,5,NA
F10_P4_M11,CD8_G,8,CD8_G
F10_P6_M11,CD8_G,9,NA
F11_P6_M11,CD8_B,9,CD8_B
F12_P6_M11,CD8_G,5,CD8_G
F2_P1_M11,CD8_G,5,CD8_G
F3_P1_M11,CD8_B,9,CD8_B
F4_P3_M11,CD8_G,5,CD8_G
F4_P5_M11,CD8_G,5,CD8_G
F5_P1_M11,CD8_B,11,CD8_B
F5_P5_M11,CD8_G,9,NA
F6_P4_M11,CD8_B,9,CD8_B
F6_P5_M11,CD8_G,5,CD8_G
F7_P1_M11,CD8_G,5,CD8_G
F7_P2_M11,CD8_G,9,CD8_G
F8_P5_M11,CD8_B,9,CD8_B
F9_P1_M11,CD8_G,5,CD8_G
F9_P4_M11,CD8_G,5,CD8_G
F9_P6_M11,CD8_B,9,CD8_B
G10_P3_M11,CD8_G,5,CD8_G
G10_P6_M11,CD8_G,5,CD8_G
G12_P4_M11,CD8_G,9,NA
G12_P5_M11,CD8_B,9,NA
G12_P6_M11,CD8_G,5,NA
G1_P1_M11,CD8_G,5,CD8_G
G1_P2_M11,CD8_G,5,CD8_G
G1_P4_M11,CD8_G,9,NA
G2_P3_M11,CD8_G,5,CD8_G
G2_P6_M11,CD8_G,5,CD8_G
G3_P3_M11,CD8_G,9,NA
G3_P4_M11,CD8_B,9,CD8_B
G3_P6_M11,CD8_G,9,NA
G4_P4_M11,CD8_G,5,CD8_G
G4_P6_M11,CD8_B,9,CD8_B
G5_P4_M11,CD8_G,9,NA
G6_P1_M11,CD8_G,5,CD8_G
G6_P3_M11,CD8_G,9,NA
G6_P4_M11,CD8_G,5,CD8_G
G6_P6_M11,CD8_G,5,CD8_G
G7_P4_M11,CD8_G,5,CD8_G
G9_P1_M11,CD8_G,9,NA
H2_P4_M11,CD8_G,5,CD8_G
H3_P1_M11,CD8_G,5,CD8_G
H3_P4_M11,CD8_G,5,CD8_G
H3_P5_M11,CD8_G,5,CD8_G
H3_P6_M11,CD8_G,5,CD8_G
H4_P2_M11,CD8_G,5,CD8_G
H6_P3_M11,CD8_B,9,CD8_B
H6_P4_M11,CD8_G,5,CD8_G
H7_P3_M11,CD8_G,5,CD8_G
H7_P4_M11,CD8_G,5,CD8_G
H8_P1_M11,CD8_G,9,CD8_G
H8_P5_M11,CD8_G,5,CD8_G
H9_P1_M11,CD8_G,8,CD8_G
H9_P3_M11,CD8_G,9,CD8_G
H9_P4_M11,CD8_G,9,NA
H9_P5_M11,CD8_G,9,CD8_G
H9_P6_M11,CD8_B,9,CD8_B
A10_P1_M15,CD8_B,9,CD8_B
A11_P5_M15,CD8_B,11,CD8_B
A12_P1_M15,CD8_B,6,CD8_B
A2_P1_M15,CD8_G,5,CD8_G
A3_P2_M15,CD8_B,6,CD8_B
A3_P6_M15,CD8_G,9,CD8_G
A4_P1_M15,CD8_G,9,NA
A4_P3_M15,CD8_G,9,NA
A4_P6_M15,CD8_G,5,CD8_G
A5_P1_M15,CD8_G,5,CD8_G
A5_P5_M15,CD8_G,9,CD8_G
A6_P1_M15,CD8_G,8,NA
A8_P2_M15,CD8_B,11,CD8_B
A9_P1_M15,CD8_G,10,CD8_G
B10_P4_M15,CD8_G,9,NA
B11_P2_M15,CD8_B,9,CD8_B
B11_P6_M15,CD8_G,9,NA
B1_P1_M15,CD8_G,5,CD8_G
B1_P2_M15,CD8_B,9,CD8_B
B1_P4_M15,CD8_B,9,CD8_B
B2_P2_M15,CD8_B,9,CD8_B
B2_P6_M15,CD8_G,8,CD8_G
B3_P1_M15,CD8_B,9,CD8_B
B4_P3_M15,CD8_G,5,NA
B5_P5_M15,CD8_B,11,CD8_B
B6_P1_M15,CD8_G,9,NA
B7_P1_M15,CD8_B,11,CD8_B
B9_P2_M15,CD8_G,5,NA
B9_P6_M15,CD8_G,9,CD8_G
C11_P5_M15,CD8_G,9,CD8_G
C12_P2_M15,CD8_G,8,CD8_G
C12_P5_M15,CD8_G,9,CD8_G
C12_P6_M15,CD8_G,5,CD8_G
C1_P1_M15,CD8_G,9,NA
C2_P1_M15,CD8_G,5,NA
C2_P2_M15,CD8_B,11,CD8_B
C2_P6_M15,CD8_G,9,CD8_G
C3_P2_M15,CD8_G,9,NA
C4_P2_M15,CD8_G,5,CD8_G
C4_P6_M15,CD8_B,9,CD8_B
C5_P6_M15,CD8_B,6,CD8_B
C6_P2_M15,CD8_B,6,CD8_B
C6_P5_M15,CD8_G,5,CD8_G
C6_P6_M15,CD8_G,9,CD8_G
C7_P1_M15,CD8_G,9,NA
C8_P1_M15,CD8_B,6,CD8_B
C8_P6_M15,CD8_G,9,CD8_G
C9_P1_M15,CD8_G,5,CD8_G
D10_P1_M15,CD8_G,5,NA
D10_P2_M15,CD8_G,5,CD8_G
D10_P4_M15,CD8_G,9,CD8_G
D11_P3_M15,CD8_G,8,CD8_G
D11_P5_M15,CD8_G,9,CD8_G
D12_P1_M15,CD8_B,9,CD8_B
D12_P2_M15,CD8_B,11,CD8_B
D12_P5_M15,CD8_G,9,NA
D1_P1_M15,CD8_G,5,CD8_G
D1_P6_M15,CD8_G,9,CD8_G
