cell	type
B6_P3_MMD1-84A_L001	NK2 cells
B6_P4_MMD1-84A_L001	CD8_G cells
B7_P1_MMD1-84A_L001	Monocytes/Macrophages
B7_P2_MMD1-84A_L001	CD8_B cells
B7_P3_MMD1-84A_L001	unclustered
B7_P4_MMD1-84A_L001	CD8_B cells
B8_P1_MMD1-84A_L001	Monocytes/Macrophages
B8_P3_MMD1-84A_L001	CD8_G cells
B8_P4_MMD1-84A_L001	CD8_G cells
B9_P4_MMD1-84A_L001	NK2 cells
C10_P1_MMD1-84A_L001	CD8_G cells
C10_P2_MMD1-84A_L001	CD8_G cells
C10_P3_MMD1-84A_L001	Monocytes/Macrophages
C10_P4_MMD1-84A_L001	unclustered
C11_P1_MMD1-84A_L001	unclustered
C11_P2_MMD1-84A_L001	CD8_B cells
C11_P3_MMD1-84A_L001	CD8_B cells
C11_P4_MMD1-84A_L001	CD8_G cells
C12_P1_MMD1-84A_L001	Monocytes/Macrophages
C12_P2_MMD1-84A_L001	Monocytes/Macrophages
C12_P4_MMD1-84A_L001	CD8_B cells
C1_P1_MMD1-84A_L001	Plasma cells
C1_P2_MMD1-84A_L001	Monocytes/Macrophages
C1_P3_MMD1-84A_L001	NK2 cells
C2_P1_MMD1-84A_L001	CD8_B cells
C2_P2_MMD1-84A_L001	NK3 cells
C2_P3_MMD1-84A_L001	CD8_G cells
C2_P4_MMD1-84A_L001	CD8_G cells
C3_P1_MMD1-84A_L001	CD8_G cells
C3_P2_MMD1-84A_L001	NK2 cells
C3_P4_MMD1-84A_L001	CD8_G cells
C4_P1_MMD1-84A_L001	CD8_B cells
C4_P3_MMD1-84A_L001	NK1 cells
C5_P1_MMD1-84A_L001	CD4 T.mem cells
C5_P3_MMD1-84A_L001	CD8_G cells
C5_P4_MMD1-84A_L001	CD8_B cells
C6_P2_MMD1-84A_L001	NK2 cells
C6_P4_MMD1-84A_L001	CD4 T.reg cells
C7_P1_MMD1-84A_L001	unclustered
C7_P3_MMD1-84A_L001	CD8_G cells
C7_P4_MMD1-84A_L001	NK2 cells
C8_P1_MMD1-84A_L001	CD8_B cells
C8_P2_MMD1-84A_L001	CD8_G cells
C8_P3_MMD1-84A_L001	NK2 cells
C9_P1_MMD1-84A_L001	Monocytes/Macrophages
C9_P3_MMD1-84A_L001	CD8_G cells
C9_P4_MMD1-84A_L001	CD8_G cells
D10_P1_MMD1-84A_L001	Dendritic cells
D10_P3_MMD1-84A_L001	NK1 cells
D10_P4_MMD1-84A_L001	Monocytes/Macrophages
D11_P1_MMD1-84A_L001	NK2 cells
D11_P2_MMD1-84A_L001	NK3 cells
D11_P3_MMD1-84A_L001	Monocytes/Macrophages
D11_P4_MMD1-84A_L001	NK2 cells
D12_P1_MMD1-84A_L001	Monocytes/Macrophages
D12_P2_MMD1-84A_L001	CD4 T.reg cells
D12_P3_MMD1-84A_L001	CD8_G cells
D12_P4_MMD1-84A_L001	CD8_B cells
D1_P1_MMD1-84A_L001	unclustered
D1_P2_MMD1-84A_L001	CD8_B cells
D1_P3_MMD1-84A_L001	CD4 T.reg cells
D1_P4_MMD1-84A_L001	NK2 cells
D2_P1_MMD1-84A_L001	CD8_B cells
D2_P4_MMD1-84A_L001	Monocytes/Macrophages
D3_P1_MMD1-84A_L001	unclustered
D3_P2_MMD1-84A_L001	unclustered
D4_P1_MMD1-84A_L001	CD8_B cells
D4_P2_MMD1-84A_L001	Monocytes/Macrophages
D4_P4_MMD1-84A_L001	CD8_B cells
D5_P1_MMD1-84A_L001	unclustered
D5_P2_MMD1-84A_L001	unclustered
D5_P3_MMD1-84A_L001	CD8_G cells
D6_P1_MMD1-84A_L001	Monocytes/Macrophages
D6_P2_MMD1-84A_L001	NK2 cells
D6_P3_MMD1-84A_L001	NK2 cells
D6_P4_MMD1-84A_L001	Monocytes/Macrophages
D7_P1_MMD1-84A_L001	CD8_G cells
D7_P2_MMD1-84A_L001	CD8_B cells
D7_P3_MMD1-84A_L001	Monocytes/Macrophages
D7_P4_MMD1-84A_L001	CD8_G cells
D8_P1_MMD1-84A_L001	CD4 T.reg cells
D8_P2_MMD1-84A_L001	Monocytes/Macrophages
D8_P3_MMD1-84A_L001	Monocytes/Macrophages
D8_P4_MMD1-84A_L001	Monocytes/Macrophages
D9_P1_MMD1-84A_L001	CD8_G cells
D9_P2_MMD1-84A_L001	CD8_G cells
D9_P4_MMD1-84A_L001	CD8_G cells
E10_P1_MMD1-84A_L001	CD8_B cells
E10_P2_MMD1-84A_L001	NK2 cells
E10_P4_MMD1-84A_L001	CD8_G cells
E11_P1_MMD1-84A_L001	Monocytes/Macrophages
E11_P2_MMD1-84A_L001	Monocytes/Macrophages
E11_P3_MMD1-84A_L001	NK2 cells
E12_P1_MMD1-84A_L001	unclustered
E12_P2_MMD1-84A_L001	CD8_G cells
E12_P4_MMD1-84A_L001	NK2 cells
E1_P1_MMD1-84A_L001	Plasma cells
E1_P2_MMD1-84A_L001	CD8_B cells
E2_P1_MMD1-84A_L001	Monocytes/Macrophages
E2_P2_MMD1-84A_L001	Monocytes/Macrophages
E2_P3_MMD1-84A_L001	NK2 cells
E3_P1_MMD1-84A_L001	CD8_G cells
E3_P2_MMD1-84A_L001	NK3 cells
E3_P4_MMD1-84A_L001	NK2 cells
E4_P2_MMD1-84A_L001	Monocytes/Macrophages
E4_P3_MMD1-84A_L001	CD4 T.reg cells
E5_P1_MMD1-84A_L001	NK2 cells
E5_P2_MMD1-84A_L001	CD8_G cells
E6_P2_MMD1-84A_L001	CD8_G cells
E6_P4_MMD1-84A_L001	CD8_G cells
E7_P2_MMD1-84A_L001	CD8_G cells
E7_P4_MMD1-84A_L001	Monocytes/Macrophages
E8_P1_MMD1-84A_L001	CD8_B cells
E9_P1_MMD1-84A_L001	unclustered
E9_P2_MMD1-84A_L001	CD8_B cells
E9_P3_MMD1-84A_L001	NK3 cells
F10_P1_MMD1-84A_L001	NK2 cells
F10_P2_MMD1-84A_L001	CD4 T.reg cells
F10_P3_MMD1-84A_L001	unclustered
F10_P4_MMD1-84A_L001	CD4 T.reg cells
F11_P2_MMD1-84A_L001	CD8_B cells
F11_P3_MMD1-84A_L001	CD8_G cells
F11_P4_MMD1-84A_L001	CD8_G cells
F12_P1_MMD1-84A_L001	unclustered
F12_P4_MMD1-84A_L001	CD8_G cells
F1_P1_MMD1-84A_L001	CD4 T.reg cells
F1_P2_MMD1-84A_L001	CD8_B cells
F2_P1_MMD1-84A_L001	unclustered
F2_P3_MMD1-84A_L001	CD8_G cells
F2_P4_MMD1-84A_L001	unclustered
F3_P1_MMD1-84A_L001	unclustered
F3_P2_MMD1-84A_L001	unclustered
F3_P4_MMD1-84A_L001	CD8_G cells
F4_P2_MMD1-84A_L001	CD4 T.reg cells
F4_P3_MMD1-84A_L001	NK2 cells
F4_P4_MMD1-84A_L001	Monocytes/Macrophages
F5_P1_MMD1-84A_L001	CD8_B cells
F5_P2_MMD1-84A_L001	CD8_G cells
F5_P4_MMD1-84A_L001	CD4 T.reg cells
F6_P1_MMD1-84A_L001	CD8_G cells
F6_P2_MMD1-84A_L001	CD8_G cells
F6_P3_MMD1-84A_L001	NK2 cells
F7_P1_MMD1-84A_L001	Monocytes/Macrophages
F7_P2_MMD1-84A_L001	CD8_G cells
F7_P3_MMD1-84A_L001	Dendritic cells
F7_P4_MMD1-84A_L001	unclustered
F8_P1_MMD1-84A_L001	CD8_G cells
F8_P2_MMD1-84A_L001	Monocytes/Macrophages
F8_P3_MMD1-84A_L001	CD8_G cells
F8_P4_MMD1-84A_L001	CD8_B cells
F9_P1_MMD1-84A_L001	Monocytes/Macrophages
F9_P2_MMD1-84A_L001	NK2 cells
F9_P3_MMD1-84A_L001	NK2 cells
F9_P4_MMD1-84A_L001	unclustered
G10_P3_MMD1-84A_L001	Monocytes/Macrophages
G10_P4_MMD1-84A_L001	Monocytes/Macrophages
G11_P1_MMD1-84A_L001	unclustered
G11_P2_MMD1-84A_L001	CD8_G cells
G11_P3_MMD1-84A_L001	CD8_G cells
G11_P4_MMD1-84A_L001	CD8_B cells
G12_P1_MMD1-84A_L001	CD8_G cells
G12_P2_MMD1-84A_L001	unclustered
G12_P3_MMD1-84A_L001	CD8_B cells
G12_P4_MMD1-84A_L001	NK2 cells
G1_P1_MMD1-84A_L001	CD4 T.reg cells
G1_P2_MMD1-84A_L001	CD8_G cells
G1_P3_MMD1-84A_L001	CD8_B cells
G1_P4_MMD1-84A_L001	CD8_G cells
G2_P2_MMD1-84A_L001	CD8_G cells
G2_P3_MMD1-84A_L001	CD8_B cells
G2_P4_MMD1-84A_L001	CD4 T.reg cells
G3_P1_MMD1-84A_L001	NK2 cells
G3_P3_MMD1-84A_L001	NK2 cells
G4_P2_MMD1-84A_L001	NK2 cells
G4_P4_MMD1-84A_L001	CD8_G cells
G5_P2_MMD1-84A_L001	unclustered
G6_P1_MMD1-84A_L001	CD8_B cells
G6_P3_MMD1-84A_L001	CD8_G cells
G6_P4_MMD1-84A_L001	CD8_G cells
G7_P1_MMD1-84A_L001	CD8_G cells
G7_P2_MMD1-84A_L001	NK3 cells
G7_P4_MMD1-84A_L001	CD8_G cells
G8_P1_MMD1-84A_L001	CD8_B cells
G8_P2_MMD1-84A_L001	Monocytes/Macrophages
G8_P3_MMD1-84A_L001	CD8_B cells
G9_P1_MMD1-84A_L001	CD8_G cells
G9_P2_MMD1-84A_L001	CD8_B cells
G9_P3_MMD1-84A_L001	NK2 cells
G9_P4_MMD1-84A_L001	NK3 cells
H10_P1_MMD1-84A_L001	Monocytes/Macrophages
H10_P2_MMD1-84A_L001	CD8_G cells
H10_P3_MMD1-84A_L001	NK1 cells
H10_P4_MMD1-84A_L001	CD4 T.reg cells
H11_P1_MMD1-84A_L001	unclustered
H11_P2_MMD1-84A_L001	NK2 cells
H11_P3_MMD1-84A_L001	CD8_G cells
H11_P4_MMD1-84A_L001	CD4 T.reg cells
H12_P1_MMD1-84A_L001	CD8_G cells
H12_P2_MMD1-84A_L001	CD8_G cells
H12_P4_MMD1-84A_L001	NK3 cells
H1_P1_MMD1-84A_L001	Plasma cells
H1_P2_MMD1-84A_L001	NK2 cells
H1_P3_MMD1-84A_L001	CD8_G cells
H2_P1_MMD1-84A_L001	NK2 cells
H2_P2_MMD1-84A_L001	CD8_G cells
H2_P3_MMD1-84A_L001	CD8_G cells
H2_P4_MMD1-84A_L001	CD8_G cells
H3_P1_MMD1-84A_L001	NK3 cells
H3_P2_MMD1-84A_L001	Monocytes/Macrophages
H3_P3_MMD1-84A_L001	NK2 cells
H3_P4_MMD1-84A_L001	NK2 cells
H4_P1_MMD1-84A_L001	CD8_G cells
H4_P2_MMD1-84A_L001	CD8_G cells
H4_P4_MMD1-84A_L001	CD8_G cells
H5_P1_MMD1-84A_L001	NK2 cells
H5_P2_MMD1-84A_L001	CD8_B cells
H5_P3_MMD1-84A_L001	CD8_B cells
H6_P1_MMD1-84A_L001	unclustered
H6_P2_MMD1-84A_L001	NK2 cells
H6_P3_MMD1-84A_L001	unclustered
H6_P4_MMD1-84A_L001	CD8_G cells
H7_P1_MMD1-84A_L001	unclustered
H7_P2_MMD1-84A_L001	CD4 T.reg cells
H7_P4_MMD1-84A_L001	unclustered
H8_P1_MMD1-84A_L001	NK2 cells
H8_P2_MMD1-84A_L001	Monocytes/Macrophages
H9_P1_MMD1-84A_L001	CD8_B cells
H9_P2_MMD1-84A_L001	NK2 cells
H9_P3_MMD1-84A_L001	NK3 cells
A10_P1_MMD1-84B_L001	CD8_G cells
A10_P2_MMD1-84B_L001	NK2 cells
A10_P3_MMD1-84B_L001	CD8_G cells
A10_P4_MMD1-84B_L001	CD8_G cells
A11_P1_MMD1-84B_L001	CD8_G cells
A11_P2_MMD1-84B_L001	unclustered
A11_P3_MMD1-84B_L001	CD8_G cells
A11_P4_MMD1-84B_L001	CD8_G cells
A12_P1_MMD1-84B_L001	NK2 cells
A12_P2_MMD1-84B_L001	CD8_G cells
A12_P3_MMD1-84B_L001	CD8_G cells
A12_P4_MMD1-84B_L001	CD8_G cells
A1_P1_MMD1-84B_L001	CD8_G cells
A1_P2_MMD1-84B_L001	Monocytes/Macrophages
A1_P4_MMD1-84B_L001	CD8_B cells
A2_P1_MMD1-84B_L001	NK2 cells
A2_P2_MMD1-84B_L001	CD8_G cells
A2_P4_MMD1-84B_L001	CD8_G cells
A3_P1_MMD1-84B_L001	NK2 cells
A3_P2_MMD1-84B_L001	CD8_G cells
A3_P3_MMD1-84B_L001	CD8_G cells
A4_P1_MMD1-84B_L001	CD8_G cells
A4_P2_MMD1-84B_L001	unclustered
A4_P4_MMD1-84B_L001	unclustered
A5_P1_MMD1-84B_L001	CD8_G cells
A5_P2_MMD1-84B_L001	NK2 cells
A5_P3_MMD1-84B_L001	CD8_G cells
A6_P1_MMD1-84B_L001	CD8_G cells
A6_P2_MMD1-84B_L001	NK2 cells
A6_P3_MMD1-84B_L001	unclustered
A6_P4_MMD1-84B_L001	CD4 T.reg cells
A7_P1_MMD1-84B_L001	CD8_G cells
A7_P2_MMD1-84B_L001	CD8_G cells
A7_P3_MMD1-84B_L001	NK2 cells
A7_P4_MMD1-84B_L001	CD8_G cells
A8_P1_MMD1-84B_L001	CD8_G cells
A8_P2_MMD1-84B_L001	CD8_G cells
A8_P4_MMD1-84B_L001	NK2 cells
A9_P1_MMD1-84B_L001	CD4 T.reg cells
A9_P2_MMD1-84B_L001	NK3 cells
A9_P3_MMD1-84B_L001	CD8_G cells
A9_P4_MMD1-84B_L001	CD8_G cells
B10_P1_MMD1-84B_L001	CD8_G cells
B10_P2_MMD1-84B_L001	CD8_G cells
B10_P3_MMD1-84B_L001	CD8_G cells
B10_P4_MMD1-84B_L001	CD8_G cells
B11_P1_MMD1-84B_L001	CD8_G cells
B11_P2_MMD1-84B_L001	CD8_G cells
B11_P3_MMD1-84B_L001	CD8_G cells
B12_P1_MMD1-84B_L001	CD8_G cells
B12_P3_MMD1-84B_L001	CD8_G cells
B12_P4_MMD1-84B_L001	CD8_G cells
B1_P1_MMD1-84B_L001	CD8_G cells
B1_P2_MMD1-84B_L001	CD8_G cells
B1_P4_MMD1-84B_L001	NK2 cells
B2_P1_MMD1-84B_L001	CD8_G cells
B2_P2_MMD1-84B_L001	CD8_G cells
B2_P4_MMD1-84B_L001	CD8_G cells
B3_P1_MMD1-84B_L001	NK2 cells
B3_P2_MMD1-84B_L001	CD8_G cells
B3_P3_MMD1-84B_L001	CD8_G cells
B4_P1_MMD1-84B_L001	CD4 T.reg cells
B4_P2_MMD1-84B_L001	CD4 T.reg cells
B4_P3_MMD1-84B_L001	Monocytes/Macrophages
B4_P4_MMD1-84B_L001	NK2 cells
B5_P1_MMD1-84B_L001	CD8_G cells
B5_P2_MMD1-84B_L001	NK2 cells
B5_P3_MMD1-84B_L001	CD8_G cells
B5_P4_MMD1-84B_L001	CD8_G cells
B6_P2_MMD1-84B_L001	CD8_G cells
B6_P3_MMD1-84B_L001	unclustered
B6_P4_MMD1-84B_L001	NK2 cells
B7_P1_MMD1-84B_L001	CD8_G cells
B7_P2_MMD1-84B_L001	CD8_G cells
B7_P4_MMD1-84B_L001	CD8_G cells
B8_P1_MMD1-84B_L001	CD8_G cells
B8_P2_MMD1-84B_L001	CD4 T.reg cells
B8_P3_MMD1-84B_L001	CD8_G cells
B8_P4_MMD1-84B_L001	CD8_G cells
B9_P1_MMD1-84B_L001	CD4 T.reg cells
B9_P3_MMD1-84B_L001	CD8_G cells
B9_P4_MMD1-84B_L001	CD4 T.reg cells
C10_P2_MMD1-84B_L001	NK2 cells
C10_P4_MMD1-84B_L001	CD8_G cells
C11_P3_MMD1-84B_L001	CD8_G cells
C11_P4_MMD1-84B_L001	CD8_G cells
C12_P2_MMD1-84B_L001	CD8_G cells
C12_P3_MMD1-84B_L001	NK2 cells
C12_P4_MMD1-84B_L001	NK2 cells
C1_P1_MMD1-84B_L001	CD8_G cells
C1_P3_MMD1-84B_L001	NK2 cells
C1_P4_MMD1-84B_L001	CD8_G cells
C2_P1_MMD1-84B_L001	NK2 cells
C2_P2_MMD1-84B_L001	unclustered
C2_P3_MMD1-84B_L001	NK2 cells
C2_P4_MMD1-84B_L001	NK2 cells
C3_P1_MMD1-84B_L001	CD8_G cells
C3_P2_MMD1-84B_L001	CD4 T.mem cells
C3_P3_MMD1-84B_L001	CD8_G cells
C3_P4_MMD1-84B_L001	Monocytes/Macrophages
C4_P1_MMD1-84B_L001	NK2 cells
C4_P2_MMD1-84B_L001	unclustered
C4_P3_MMD1-84B_L001	B cells
C4_P4_MMD1-84B_L001	CD8_G cells
C5_P1_MMD1-84B_L001	CD8_G cells
C5_P2_MMD1-84B_L001	CD8_G cells
C5_P3_MMD1-84B_L001	CD8_B cells
C5_P4_MMD1-84B_L001	CD8_G cells
C6_P1_MMD1-84B_L001	CD8_G cells
C6_P2_MMD1-84B_L001	CD8_G cells
C6_P3_MMD1-84B_L001	CD8_G cells
C6_P4_MMD1-84B_L001	CD4 T.mem cells
C7_P1_MMD1-84B_L001	CD8_G cells
C7_P2_MMD1-84B_L001	CD8_G cells
C7_P3_MMD1-84B_L001	NK2 cells
C7_P4_MMD1-84B_L001	CD8_G cells
C8_P1_MMD1-84B_L001	NK2 cells
C8_P2_MMD1-84B_L001	CD4 T.mem cells
C8_P3_MMD1-84B_L001	CD8_G cells
C8_P4_MMD1-84B_L001	CD8_G cells
C9_P1_MMD1-84B_L001	CD8_G cells
C9_P2_MMD1-84B_L001	CD8_G cells
C9_P3_MMD1-84B_L001	unclustered
C9_P4_MMD1-84B_L001	CD8_G cells
D10_P1_MMD1-84B_L001	CD8_G cells
D10_P2_MMD1-84B_L001	CD8_G cells
D10_P3_MMD1-84B_L001	CD8_G cells
D10_P4_MMD1-84B_L001	NK2 cells
D11_P1_MMD1-84B_L001	CD8_G cells
D11_P2_MMD1-84B_L001	CD8_G cells
D11_P3_MMD1-84B_L001	CD8_G cells
D11_P4_MMD1-84B_L001	CD8_G cells
D12_P1_MMD1-84B_L001	CD8_G cells
D12_P2_MMD1-84B_L001	NK2 cells
D12_P3_MMD1-84B_L001	CD8_G cells
D12_P4_MMD1-84B_L001	CD8_G cells
D1_P1_MMD1-84B_L001	CD8_G cells
D1_P2_MMD1-84B_L001	CD8_G cells
D1_P3_MMD1-84B_L001	CD8_G cells
D1_P4_MMD1-84B_L001	CD8_B cells
D2_P1_MMD1-84B_L001	CD4 T.reg cells
D2_P2_MMD1-84B_L001	NK2 cells
D2_P3_MMD1-84B_L001	CD8_G cells
D2_P4_MMD1-84B_L001	NK2 cells
D3_P1_MMD1-84B_L001	CD8_G cells
D3_P4_MMD1-84B_L001	NK2 cells
D4_P1_MMD1-84B_L001	CD4 T.reg cells
D4_P2_MMD1-84B_L001	CD8_G cells
D4_P3_MMD1-84B_L001	CD8_G cells
D4_P4_MMD1-84B_L001	CD8_G cells
D5_P2_MMD1-84B_L001	CD8_G cells
D5_P3_MMD1-84B_L001	CD8_G cells
D5_P4_MMD1-84B_L001	CD8_G cells
D6_P1_MMD1-84B_L001	CD8_G cells
D6_P2_MMD1-84B_L001	NK2 cells
D6_P3_MMD1-84B_L001	unclustered
D6_P4_MMD1-84B_L001	CD8_G cells
D7_P1_MMD1-84B_L001	unclustered
D7_P2_MMD1-84B_L001	CD8_G cells
D7_P3_MMD1-84B_L001	NK2 cells
D7_P4_MMD1-84B_L001	CD8_G cells
D8_P1_MMD1-84B_L001	CD8_G cells
D8_P2_MMD1-84B_L001	CD8_G cells
D8_P3_MMD1-84B_L001	CD8_G cells
D8_P4_MMD1-84B_L001	CD8_G cells
D9_P1_MMD1-84B_L001	CD8_G cells
D9_P2_MMD1-84B_L001	NK3 cells
D9_P3_MMD1-84B_L001	CD8_G cells
D9_P4_MMD1-84B_L001	CD4 T.mem cells
E10_P1_MMD1-84B_L001	CD8_G cells
E10_P3_MMD1-84B_L001	CD8_G cells
E10_P4_MMD1-84B_L001	CD8_G cells
E11_P1_MMD1-84B_L001	CD8_G cells
E11_P2_MMD1-84B_L001	CD8_G cells
E11_P3_MMD1-84B_L001	CD8_G cells
E11_P4_MMD1-84B_L001	CD8_G cells
E12_P1_MMD1-84B_L001	CD8_G cells
E12_P2_MMD1-84B_L001	unclustered
E12_P3_MMD1-84B_L001	CD8_G cells
E12_P4_MMD1-84B_L001	CD8_G cells
E1_P1_MMD1-84B_L001	CD8_G cells
E1_P2_MMD1-84B_L001	CD8_B cells
E1_P3_MMD1-84B_L001	unclustered
E1_P4_MMD1-84B_L001	NK2 cells
E2_P3_MMD1-84B_L001	CD8_G cells
E2_P4_MMD1-84B_L001	Monocytes/Macrophages
E3_P1_MMD1-84B_L001	CD4 T.reg cells
E3_P2_MMD1-84B_L001	unclustered
E3_P3_MMD1-84B_L001	CD8_G cells
E3_P4_MMD1-84B_L001	CD8_G cells
E4_P1_MMD1-84B_L001	CD8_G cells
E4_P2_MMD1-84B_L001	CD8_G cells
E4_P3_MMD1-84B_L001	CD8_G cells
E4_P4_MMD1-84B_L001	unclustered
E5_P1_MMD1-84B_L001	unclustered
E5_P2_MMD1-84B_L001	CD8_G cells
E5_P3_MMD1-84B_L001	CD8_G cells
E5_P4_MMD1-84B_L001	CD8_G cells
E6_P1_MMD1-84B_L001	CD8_G cells
E6_P3_MMD1-84B_L001	CD8_G cells
E6_P4_MMD1-84B_L001	CD8_G cells
E7_P1_MMD1-84B_L001	CD8_G cells
E7_P2_MMD1-84B_L001	CD8_G cells
E7_P3_MMD1-84B_L001	CD8_G cells
E7_P4_MMD1-84B_L001	CD8_G cells
E8_P1_MMD1-84B_L001	CD8_G cells
E8_P2_MMD1-84B_L001	CD8_G cells
E8_P3_MMD1-84B_L001	CD8_G cells
E8_P4_MMD1-84B_L001	unclustered
E9_P1_MMD1-84B_L001	CD8_G cells
E9_P2_MMD1-84B_L001	CD8_G cells
E9_P3_MMD1-84B_L001	NK2 cells
E9_P4_MMD1-84B_L001	CD8_G cells
F10_P1_MMD1-84B_L001	CD8_G cells
F10_P3_MMD1-84B_L001	CD8_G cells
F10_P4_MMD1-84B_L001	CD8_G cells
F11_P1_MMD1-84B_L001	CD4 T.reg cells
F11_P2_MMD1-84B_L001	CD4 T.reg cells
F12_P1_MMD1-84B_L001	CD8_G cells
F12_P3_MMD1-84B_L001	CD8_G cells
F12_P4_MMD1-84B_L001	CD8_G cells
F1_P1_MMD1-84B_L001	CD8_G cells
F1_P2_MMD1-84B_L001	CD8_G cells
F1_P4_MMD1-84B_L001	NK2 cells
F2_P3_MMD1-84B_L001	CD8_G cells
F2_P4_MMD1-84B_L001	CD4 T.mem cells
F3_P1_MMD1-84B_L001	CD8_G cells
F3_P2_MMD1-84B_L001	CD8_G cells
F3_P3_MMD1-84B_L001	CD8_G cells
F3_P4_MMD1-84B_L001	unclustered
F4_P2_MMD1-84B_L001	CD8_G cells
F4_P3_MMD1-84B_L001	CD8_G cells
F4_P4_MMD1-84B_L001	NK2 cells
F5_P1_MMD1-84B_L001	CD4 T.reg cells
F5_P2_MMD1-84B_L001	unclustered
F5_P3_MMD1-84B_L001	CD8_G cells
F5_P4_MMD1-84B_L001	CD8_G cells
F6_P1_MMD1-84B_L001	CD4 T.mem cells
F6_P2_MMD1-84B_L001	Monocytes/Macrophages
F7_P1_MMD1-84B_L001	CD8_G cells
F7_P2_MMD1-84B_L001	CD8_G cells
F7_P3_MMD1-84B_L001	NK2 cells
F7_P4_MMD1-84B_L001	CD8_G cells
F8_P1_MMD1-84B_L001	CD8_G cells
F8_P2_MMD1-84B_L001	CD4 T.reg cells
F8_P3_MMD1-84B_L001	CD8_G cells
F8_P4_MMD1-84B_L001	CD8_G cells
F9_P1_MMD1-84B_L001	CD8_G cells
F9_P2_MMD1-84B_L001	NK2 cells
F9_P3_MMD1-84B_L001	CD8_G cells
F9_P4_MMD1-84B_L001	Monocytes/Macrophages
G10_P1_MMD1-84B_L001	CD4 T.reg cells
G10_P2_MMD1-84B_L001	CD8_G cells
G10_P4_MMD1-84B_L001	CD8_G cells
G11_P1_MMD1-84B_L001	CD8_G cells
G11_P2_MMD1-84B_L001	NK2 cells
G11_P3_MMD1-84B_L001	CD8_G cells
G12_P1_MMD1-84B_L001	CD8_G cells
G12_P3_MMD1-84B_L001	CD8_G cells
G12_P4_MMD1-84B_L001	CD8_G cells
G1_P1_MMD1-84B_L001	CD8_G cells
G1_P2_MMD1-84B_L001	CD8_G cells
G1_P4_MMD1-84B_L001	NK2 cells
G2_P1_MMD1-84B_L001	CD8_G cells
G2_P2_MMD1-84B_L001	CD8_G cells
G2_P3_MMD1-84B_L001	CD8_G cells
G2_P4_MMD1-84B_L001	CD8_G cells
G3_P2_MMD1-84B_L001	CD8_G cells
G3_P3_MMD1-84B_L001	CD8_G cells
G3_P4_MMD1-84B_L001	CD8_G cells
G4_P1_MMD1-84B_L001	unclustered
G4_P2_MMD1-84B_L001	NK2 cells
G4_P3_MMD1-84B_L001	CD8_G cells
G5_P1_MMD1-84B_L001	CD8_G cells
G5_P2_MMD1-84B_L001	CD8_G cells
G5_P3_MMD1-84B_L001	CD8_G cells
G5_P4_MMD1-84B_L001	CD8_G cells
G6_P2_MMD1-84B_L001	CD8_G cells
G6_P3_MMD1-84B_L001	unclustered
G6_P4_MMD1-84B_L001	CD8_G cells
G7_P2_MMD1-84B_L001	CD8_G cells
G7_P3_MMD1-84B_L001	CD8_G cells
G7_P4_MMD1-84B_L001	CD8_G cells
G8_P2_MMD1-84B_L001	NK2 cells
G8_P3_MMD1-84B_L001	unclustered
G8_P4_MMD1-84B_L001	CD8_G cells
G9_P1_MMD1-84B_L001	NK2 cells
G9_P2_MMD1-84B_L001	unclustered
G9_P3_MMD1-84B_L001	CD8_G cells
G9_P4_MMD1-84B_L001	CD8_G cells
H10_P1_MMD1-84B_L001	CD8_G cells
H10_P2_MMD1-84B_L001	CD8_G cells
H10_P3_MMD1-84B_L001	NK2 cells
H10_P4_MMD1-84B_L001	CD8_G cells
H11_P1_MMD1-84B_L001	CD8_G cells
H11_P2_MMD1-84B_L001	CD8_G cells
H11_P3_MMD1-84B_L001	CD8_G cells
H11_P4_MMD1-84B_L001	unclustered
H12_P1_MMD1-84B_L001	CD8_G cells
H12_P2_MMD1-84B_L001	unclustered
H12_P3_MMD1-84B_L001	CD8_G cells
H12_P4_MMD1-84B_L001	CD8_G cells
H1_P1_MMD1-84B_L001	unclustered
H1_P2_MMD1-84B_L001	NK2 cells
H1_P3_MMD1-84B_L001	CD8_G cells
H1_P4_MMD1-84B_L001	Plasma cells
H2_P2_MMD1-84B_L001	CD8_G cells
H2_P3_MMD1-84B_L001	NK2 cells
H2_P4_MMD1-84B_L001	CD8_G cells
H3_P1_MMD1-84B_L001	CD8_G cells
H3_P2_MMD1-84B_L001	CD8_G cells
H3_P3_MMD1-84B_L001	CD8_G cells
H4_P1_MMD1-84B_L001	unclustered
H4_P2_MMD1-84B_L001	CD8_G cells
H4_P3_MMD1-84B_L001	CD8_G cells
H4_P4_MMD1-84B_L001	NK2 cells
H5_P1_MMD1-84B_L001	NK2 cells
H5_P2_MMD1-84B_L001	CD8_G cells
H5_P3_MMD1-84B_L001	CD8_G cells
H5_P4_MMD1-84B_L001	unclustered
H6_P1_MMD1-84B_L001	CD8_G cells
H6_P2_MMD1-84B_L001	CD8_G cells
H6_P3_MMD1-84B_L001	NK3 cells
H6_P4_MMD1-84B_L001	NK2 cells
H7_P1_MMD1-84B_L001	CD8_G cells
H7_P2_MMD1-84B_L001	CD8_G cells
H7_P3_MMD1-84B_L001	NK2 cells
H7_P4_MMD1-84B_L001	CD8_G cells
H8_P1_MMD1-84B_L001	NK2 cells
H8_P2_MMD1-84B_L001	CD8_G cells
