cell	type
G6_P1_M11	CD8_G cells
G6_P2_M11	NK2 cells
G6_P3_M11	unclustered
G6_P4_M11	CD8_G cells
G6_P6_M11	CD8_G cells
G7_P2_M11	NK2 cells
G7_P4_M11	CD8_G cells
G7_P6_M11	NK2 cells
G8_P2_M11	NK2 cells
G8_P3_M11	NK2 cells
G8_P6_M11	NK2 cells
G9_P1_M11	unclustered
G9_P3_M11	NK3 cells
G9_P6_M11	NK2 cells
H12_P3_M11	NK2 cells
H1_P1_M11	NK2 cells
H1_P4_M11	NK2 cells
H2_P4_M11	CD8_G cells
H3_P1_M11	CD8_G cells
H3_P2_M11	NK2 cells
H3_P4_M11	CD8_G cells
H3_P5_M11	CD8_G cells
H3_P6_M11	CD8_G cells
H4_P2_M11	CD8_G cells
H4_P5_M11	Monocytes/Macrophages
H4_P6_M11	NK2 cells
H6_P3_M11	CD8_B cells
H6_P4_M11	CD8_G cells
H7_P3_M11	CD8_G cells
H7_P4_M11	CD8_G cells
H8_P1_M11	CD8_G cells
H8_P5_M11	CD8_G cells
H9_P1_M11	CD8_G cells
H9_P3_M11	CD8_G cells
H9_P4_M11	unclustered
H9_P5_M11	CD8_G cells
H9_P6_M11	CD8_B cells
A10_P1_M15	CD8_B cells
A10_P4_M15	NK3 cells
A10_P5_M15	NK3 cells
A10_P6_M15	NK2 cells
A11_P1_M15	CD4 T.reg cells
A11_P2_M15	NK3 cells
A11_P5_M15	CD8_B cells
A11_P6_M15	NK2 cells
A12_P1_M15	CD8_B cells
A12_P2_M15	CD4 T.reg cells
A12_P5_M15	CD4 T.reg cells
A2_P1_M15	CD8_G cells
A2_P2_M15	NK3 cells
A2_P3_M15	Plasma cells
A2_P6_M15	unclustered
A3_P2_M15	CD8_B cells
A3_P6_M15	CD8_G cells
A4_P1_M15	unclustered
A4_P3_M15	unclustered
A4_P4_M15	CD4 T.reg cells
A4_P5_M15	NK2 cells
A4_P6_M15	CD8_G cells
A5_P1_M15	CD8_G cells
A5_P5_M15	CD8_G cells
A5_P6_M15	Monocytes/Macrophages
A6_P1_M15	unclustered
A6_P2_M15	NK3 cells
A7_P1_M15	NK3 cells
A7_P2_M15	Monocytes/Macrophages
A8_P1_M15	NK2 cells
A8_P2_M15	CD8_B cells
A9_P1_M15	CD8_G cells
B10_P1_M15	NK2 cells
B10_P2_M15	Monocytes/Macrophages
B10_P4_M15	unclustered
B10_P5_M15	unclustered
B11_P1_M15	NK2 cells
B11_P2_M15	CD8_B cells
B11_P6_M15	unclustered
B12_P1_M15	unclustered
B12_P2_M15	CD4 T.mem cells
B12_P5_M15	unclustered
B1_P1_M15	CD8_G cells
B1_P2_M15	CD8_B cells
B1_P4_M15	CD8_B cells
B2_P1_M15	NK2 cells
B2_P2_M15	CD8_B cells
B2_P6_M15	CD8_G cells
B3_P1_M15	CD8_B cells
B3_P2_M15	NK2 cells
B3_P3_M15	NK1 cells
B3_P5_M15	B cells
B3_P6_M15	CD4 T.mem cells
B4_P2_M15	CD4 T.reg cells
B4_P3_M15	unclustered
B5_P1_M15	CD4 T.reg cells
B5_P5_M15	CD8_B cells
B6_P1_M15	unclustered
B6_P6_M15	B cells
B7_P1_M15	CD8_B cells
B7_P6_M15	NK2 cells
B8_P2_M15	CD4 T.reg cells
B9_P2_M15	unclustered
B9_P6_M15	CD8_G cells
C10_P2_M15	NK1 cells
C10_P4_M15	CD4 T.reg cells
C11_P1_M15	NK2 cells
C11_P2_M15	NK2 cells
C11_P3_M15	NK2 cells
C11_P5_M15	CD8_G cells
C11_P6_M15	CD4 T.reg cells
C12_P1_M15	NK2 cells
C12_P2_M15	CD8_G cells
C12_P5_M15	CD8_G cells
C12_P6_M15	CD8_G cells
C1_P1_M15	unclustered
C1_P2_M15	NK2 cells
C1_P6_M15	NK2 cells
C2_P1_M15	unclustered
C2_P2_M15	CD8_B cells
C2_P3_M15	unclustered
C2_P6_M15	CD8_G cells
C3_P2_M15	unclustered
C3_P6_M15	NK2 cells
C4_P1_M15	NK2 cells
C4_P2_M15	CD8_G cells
C4_P3_M15	Dendritic cells
C4_P6_M15	CD8_B cells
C5_P1_M15	CD4 T.reg cells
C5_P2_M15	NK3 cells
C5_P5_M15	NK2 cells
C5_P6_M15	CD8_B cells
C6_P1_M15	NK2 cells
C6_P2_M15	CD8_B cells
C6_P5_M15	CD8_G cells
C6_P6_M15	CD8_G cells
C7_P1_M15	unclustered
C8_P1_M15	CD8_B cells
C8_P2_M15	CD4 T.reg cells
C8_P6_M15	CD8_G cells
C9_P1_M15	CD8_G cells
C9_P5_M15	CD4 T.reg cells
D10_P1_M15	unclustered
D10_P2_M15	CD8_G cells
D10_P4_M15	CD8_G cells
D10_P5_M15	NK2 cells
D10_P6_M15	CD4 T.reg cells
D11_P1_M15	Monocytes/Macrophages
D11_P2_M15	Monocytes/Macrophages
D11_P3_M15	CD8_G cells
D11_P5_M15	CD8_G cells
D11_P6_M15	NK2 cells
D12_P1_M15	CD8_B cells
D12_P2_M15	CD8_B cells
D12_P5_M15	unclustered
D1_P1_M15	CD8_G cells
D1_P2_M15	CD4 T.reg cells
D1_P4_M15	NK3 cells
D1_P6_M15	CD8_G cells
D2_P2_M15	NK3 cells
D2_P3_M15	CD8_B cells
D2_P5_M15	Monocytes/Macrophages
D3_P1_M15	Plasma cells
D3_P2_M15	CD8_B cells
D3_P5_M15	NK2 cells
D3_P6_M15	CD8_B cells
D4_P2_M15	NK3 cells
D4_P3_M15	NK3 cells
D4_P5_M15	NK2 cells
D4_P6_M15	unclustered
D5_P1_M15	CD8_B cells
D5_P2_M15	CD8_G cells
D5_P3_M15	unclustered
D5_P6_M15	CD4 T.reg cells
D6_P1_M15	CD4 T.mem cells
D6_P2_M15	CD4 T.reg cells
D6_P5_M15	NK2 cells
D6_P6_M15	CD8_G cells
D7_P1_M15	unclustered
D7_P2_M15	CD8_B cells
D7_P4_M15	B cells
D7_P5_M15	CD8_B cells
D8_P1_M15	CD4 T.reg cells
D8_P5_M15	unclustered
D8_P6_M15	NK2 cells
D9_P1_M15	NK2 cells
D9_P2_M15	CD8_G cells
E10_P1_M15	CD8_B cells
E10_P2_M15	CD8_B cells
E10_P5_M15	NK2 cells
E10_P6_M15	unclustered
E11_P1_M15	CD8_G cells
E11_P2_M15	CD8_B cells
E11_P3_M15	CD4 T.reg cells
E11_P5_M15	unclustered
E11_P6_M15	CD8_G cells
E12_P1_M15	CD4 T.reg cells
E12_P2_M15	NK3 cells
E12_P4_M15	NK2 cells
E12_P5_M15	CD4 T.reg cells
E12_P6_M14	CD8_G cells
E1_P1_M15	NK1 cells
E1_P2_M15	CD8_G cells
E1_P4_m15	CD8_G cells
E1_P5_M15	CD8_B cells
E2_P1_M15	CD4 T.reg cells
E2_P2_M15	CD8_G cells
E2_P6_M15	NK1 cells
