Cell Name,Cluster,ruoyi_cluster
F7_P2_M11,CD8_G,CD8_G
F8_P5_M11,CD8_B,CD8_B
F9_P1_M11,CD8_G,CD8_G
F9_P4_M11,CD8_G,CD8_G
F9_P6_M11,CD8_B,CD8_B
G10_P3_M11,CD8_G,CD8_G
G10_P6_M11,CD8_G,CD8_G
G12_P4_M11,CD8_G,NA
G12_P5_M11,CD8_B,NA
G12_P6_M11,CD8_G,NA
G1_P1_M11,CD8_G,CD8_G
G1_P2_M11,CD8_G,CD8_G
G1_P4_M11,CD8_G,NA
G2_P3_M11,CD8_G,CD8_G
G2_P6_M11,CD8_G,CD8_G
G3_P3_M11,CD8_G,NA
G3_P4_M11,CD8_B,CD8_B
G3_P6_M11,CD8_G,NA
G4_P4_M11,CD8_G,CD8_G
G4_P6_M11,CD8_B,CD8_B
G5_P4_M11,CD8_G,NA
G6_P1_M11,CD8_G,CD8_G
G6_P3_M11,CD8_G,NA
G6_P4_M11,CD8_G,CD8_G
G6_P6_M11,CD8_G,CD8_G
G7_P4_M11,CD8_G,CD8_G
G9_P1_M11,CD8_G,NA
H2_P4_M11,CD8_G,CD8_G
H3_P1_M11,CD8_G,CD8_G
H3_P4_M11,CD8_G,CD8_G
H3_P5_M11,CD8_G,CD8_G
H3_P6_M11,CD8_G,CD8_G
H4_P2_M11,CD8_G,CD8_G
H6_P3_M11,CD8_B,CD8_B
H6_P4_M11,CD8_G,CD8_G
H7_P3_M11,CD8_G,CD8_G
H7_P4_M11,CD8_G,CD8_G
H8_P1_M11,CD8_G,CD8_G
H8_P5_M11,CD8_G,CD8_G
H9_P1_M11,CD8_G,CD8_G
H9_P3_M11,CD8_G,CD8_G
H9_P4_M11,CD8_G,NA
H9_P5_M11,CD8_G,CD8_G
H9_P6_M11,CD8_B,CD8_B
A10_P1_M15,CD8_B,CD8_B
A11_P5_M15,CD8_B,CD8_B
A12_P1_M15,CD8_B,CD8_B
A2_P1_M15,CD8_G,CD8_G
A3_P2_M15,CD8_B,CD8_B
A3_P6_M15,CD8_G,CD8_G
A4_P1_M15,CD8_G,NA
A4_P3_M15,CD8_G,NA
A4_P6_M15,CD8_G,CD8_G
A5_P1_M15,CD8_G,CD8_G
A5_P5_M15,CD8_G,CD8_G
A6_P1_M15,CD8_G,NA
A8_P2_M15,CD8_B,CD8_B
A9_P1_M15,CD8_G,CD8_G
B10_P4_M15,CD8_G,NA
B11_P2_M15,CD8_B,CD8_B
B11_P6_M15,CD8_G,CD8_G
B1_P1_M15,CD8_G,CD8_G
B1_P2_M15,CD8_B,CD8_B
B1_P4_M15,CD8_B,CD8_B
B2_P2_M15,CD8_B,CD8_B
B2_P6_M15,CD8_G,CD8_G
B3_P1_M15,CD8_B,CD8_B
