,gene,B_cells,CD4T_memory,CD8T_B,CD8T_G,Dendritic_cells,Monocytes_Macrophages,NK1,NK2,NK3,Plasma_cells,Tregs
1,DPM1,0.024862622850202,0.139701528674853,4.60430570921536e-06,0.0755311204125764,0.615664723055587,0.00157678142142595,0.731841846987068,0.000826251350895521,0.226168983592668,5.34968956455549e-24,0.0481962579866517
2,SCYL3,0.400440575267187,0.855592075575827,0.0517315822019111,0.0459971621753774,0.0156233265496567,0.0199983388617251,0.514747184140035,0.95821017728609,0.304703494862689,0.00909001145953308,0.475569852370605
3,C1orf112,0.453157250307215,0.685680956288937,5.12509067365966e-07,0.00678911341700602,1.67838500279055e-05,6.94064499120255e-21,1.22139212759454e-15,0.0796316883809707,0.419493726576435,5.30411769481049e-06,1.82099687064039e-06
4,FGR,7.49361638827798e-11,0.00848236922245502,1.44941309926069e-16,0.0872491172042115,0.857749893161061,2.26339179012784e-56,6.49431236724159e-18,1.22301747916726e-13,0.0909698837348862,7.00776425532829e-18,2.20795940181723e-08
5,FUCA2,0.0445070520596991,0.0996381866147252,0.000280658523099664,0.0156758598484121,0.00069649964498255,4.67437765775516e-34,1.09740230135576e-12,0.00333112879052612,0.0507968474493442,5.06880909814085e-40,0.0650541659401702
6,GCLC,0.528924525586865,0.361313943052869,0.0454281227211904,0.159081254062716,0.052891644966898,0.239362449582195,0.282860468644343,0.246630008681414,0.382731552056556,0.128822548296988,0.847221574758192
7,NFYA,0.601115411511116,0.730895563282759,0.0169794118193259,0.00175572676876936,0.763048107803547,0.460970649944558,0.61689279273521,0.917551699811784,0.00409841957756867,0.00205833378178681,0.437308556051833
8,STPG1,0.000328779686010264,0.874821562698591,0.307507927370683,0.00495120898570369,0.648032342786818,0.0711786081641817,0.0031662263990945,0.00577686505443259,0.282949244295645,0.000352655169542108,0.484951455387215
9,NIPAL3,0.00360447171586744,0.107667894343707,0.0391141124369726,0.463463361254481,0.928515043615811,1.20074110294385e-09,4.16033395382432e-05,0.61096038898699,0.225458587195752,1.47181952115179e-12,0.427865833122852
10,LAS1L,0.0303343690900181,0.881719655071685,0.0011490629609955,0.178138304061626,0.00155669258752629,0.00126743138854484,0.0399430288147446,0.694893988006341,0.0399900983640126,9.710753467953e-05,0.0379313373037648
11,ENPP4,0.0182822535685029,0.50945476448013,1.5231759890575e-12,0.101485042678404,0.000315345821104422,1.90750223832851e-14,0.00887887682590749,0.0660384046989266,0.566050522400028,0.00510834086494143,0.175283841010141
12,ANKIB1,0.943377729098957,0.233322474070745,0.0725166203128435,0.159273017959192,0.262079906934071,0.0123219762838985,0.622125709345372,0.289434093253449,0.0681772496639612,6.88344557487e-08,0.617434686627933
13,CYP51A1,0.168736737818498,0.0126740193802409,0.452540490730182,0.000319432099432761,4.98274622416443e-05,0.0508112159031607,0.582945184096676,0.0441182765520174,0.460716304854061,3.43267349675432e-32,0.000575682986414856
14,KRIT1,0.0673989141666187,0.455213376768891,0.0248346245384734,0.71432908913146,0.443665235142035,0.374708618499139,0.34581987895532,0.0510774648902195,0.181276465104911,0.000444387025076663,0.388762212840333
15,RAD52,0.131805941318087,0.691832013097474,0.591576135825908,0.637471932680375,0.437963158769628,0.152590989065043,0.313393886542238,0.584207182032528,0.15551039017002,9.03086513374252e-05,0.164793314186517
16,BAD,0.0503510512521003,0.0068947944753823,0.0604042127507332,0.198162731161835,0.816278316293083,0.0426661047830621,0.269239383796661,0.0177586685414492,0.0643026815471299,2.58829211721369e-36,0.181313629973348
17,LAP3,0.0084421749131371,2.95960037579893e-06,0.000909334791406542,0.130477631898543,3.28719882416929e-35,0.00144929598908356,0.000636924561836518,0.697587166363532,0.274242165087258,5.38504833980732e-28,0.328045722758086
18,CD99,3.6164367975251e-07,0.00117415990512619,0.0031113644430074,0.000518812945635071,0.00911873820274368,0.971931243309865,0.419403040704586,1.02890362810682e-05,4.9890725025879e-06,4.12912258215172e-104,0.013348968668449
19,HS3ST1,4.33496472010147e-05,0.00627326220200079,1.43802019701651e-06,0.00112911692299001,1.59651360713759e-11,1.06851229030175e-07,0.000111246359844903,0.00208360180437963,0.0171814905838566,0.00195060955395068,0.57417348675587
