geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
ANKRD36BP2	0.3278	0.2441	0.212	0.1061	0.0949	0.1198	0.0283	0.1897	0.1764	0.086	3.8284
ANPEP	0.0413	0.0254	0	0	0	0.0848	6.1396	0	0	0.0045	0.0283
ANTXRLP1	0	1.3332	1.0783	0.7842	0.7177	0.0697	0.0346	1.105	0.6237	1.7231	0
ANXA1	0.1644	6.6561	1.79	5.7083	8.101	1.0773	9.0648	3.7984	6.3324	4.1962	0.2241
AOAH	0.1242	1.0881	0.4915	1.8487	3.933	0.1304	5.0944	1.4661	3.7793	2.8507	0.1854
AP001007.1	0.1674	0.0074	0.0743	0	0.0279	0.0932	4.7204	0.0115	0	0.0857	0.0352
APBA2	0.0596	0.4639	0	0.1623	1.3337	0	0.0227	0.0902	0.8507	0.2092	0.0241
APOBEC3H	0.0412	0.1979	1.5051	1.0789	0.3457	0	0.124	2.6111	0.4868	1.4752	0
ARHGAP24	4.964	0.0326	0.3286	0.0698	0.1489	2.3261	0.9581	0.285	0.3252	0.1589	0.0866
ARHGAP26	0.5014	0.7133	1.1352	1.757	2.6233	0.5619	2.7868	1.2641	1.4414	1.5572	0.4253
ARHGEF10L	0	0	0	0.0403	0	0	4.7466	0	0.0104	0	0.0183
ASF1B	0.1482	0.0836	0.4113	5.6724	0.0209	0.0593	2.8129	5.9097	0.1209	0.2481	0.3252
ASPM	0.1947	0	0.164	3.0772	0.0015	0.0378	1.1119	3.7192	0.2023	0.2629	0.1284
ASTL	0.2417	0.1864	0.3745	0.4789	0.4853	0.0492	0.3947	0.198	1.0205	0.501	0.0654
ATP8B4	0.0706	0	0.1384	0.6292	0.1914	0	2.2641	0.3083	0.9879	1.1903	0.0043
ATXN7	1.0794	3.1365	1.9412	1.6302	2.6639	0.6208	1.1617	1.7481	2.4006	2.6532	0.241
AURKB	0.3945	0	0	5.448	0	0	2.6202	6.1794	0.0752	0.5067	0.2066
B3GNT7	0.8939	0	0	0.0378	0.3922	0.4586	2.098	0.1684	1.686	0.5111	0.0448
BANK1	6.3243	0	0.0098	0	0.1018	0.6168	0.2939	0.2676	0.1616	0.0087	0.43
BATF	0.9291	2.3085	8.0506	6.1516	1.6144	0.3125	2.6834	6.4878	2.1014	4.649	0.3339
BCL11A	7.0076	0.0347	0.217	0.0077	0.0167	9.5319	1.3263	0.3467	0.1454	0	0.1321
BHLHE40-AS1	0	0.3366	2.0032	0.7891	0.1549	0.2744	0.4206	1.6414	0.5373	1.2941	0.0038
BIRC5	0.4672	0	0.1778	5.3583	0	0.0074	2.9375	5.8246	0.0639	0.3472	0.335
BLK	3.6643	0.0991	0.0318	0.0262	0.0622	0.7793	0	0.1779	0.0379	0.137	0.2134
BLNK	6.1996	0	0.1684	0.0859	0.0921	6.7786	2.6433	0.354	0.2563	0	3.628
BUB1	0.4153	0	0.0758	4.5862	0.1895	0.1842	2.181	4.7667	0.2382	0.5294	0.5557
C11orf24	1.3634	0.4958	0.3964	2.2153	0.5406	2.8245	3.8676	2.0607	0.3577	0.4675	3.5872
C15orf53	0	0.103	0.537	0.0075	0	0.0217	0.0093	0.0835	0.0274	0.0791	0
C16orf45	0.2307	0.2832	0.9427	1.7986	0.6656	0.025	0.6142	1.6432	0.2798	1.7771	0.0546
C17orf66	0	0.2262	0.0334	0.1887	0.3101	0	0.2524	0.1333	0.6537	0.2221	0.0053
C1orf186	1.1045	0.0517	0	0.008	0.0295	5.2107	0.0126	0.1155	0.0106	0.037	1.3476
C1orf21	0	0.0305	0.1686	1.1016	0.5267	0.8425	1.8624	1.0514	1.2919	0.267	0.0188
C1orf54	0.208	0.1841	0.2165	0.1633	0	0.4442	6.13	0.1533	0.1771	0.0897	0.0763
C1QA	0.0847	0.0825	0.1836	0.1231	0.0924	0.094	8.0594	0.089	0.3006	0.1917	0
C1QB	0.1064	0.1489	0.1392	0	0.0882	0.0893	7.5985	0.0963	0.3112	0.2962	0.111
C1QC	0.0913	0.0672	0.157	0.0594	0.029	0	7.5157	0.0749	0.1779	0.1758	0.0102
C5AR1	0.2676	0	0.0782	0.1132	0.0885	0	3.7524	0	0	0.0609	0.0052
C5orf17	0	0.8521	0.5122	0.0537	0.3736	0.0702	1.3569	0.08	0.2663	0.1023	0.0172
CA5B	0.7508	1.2574	1.0759	1.226	1.1231	0.2031	1.2404	0.9264	2.0566	0.992	0.1389
CADM1	0	0.1678	1.2097	2.9258	0.1901	0	1.2879	3.3976	0.2709	3.0179	2.3544
CAMK4	0.7686	3.4569	2.103	3.0279	3.8061	0.1294	0.1489	2.986	2.2269	2.4547	0.395
CASC5	1.1143	0.2372	0.1433	3.7172	0.0231	0.1524	1.8233	4.3902	0.1396	0.293	0.1912
CASP10	1.3826	1.2438	0.2548	0.2608	0.5259	2.1478	1.8407	0.7904	0.9517	0.6556	2.9915
CASS4	0.0708	0.5421	0.3528	0.7689	1.749	0.3276	0.9227	0.6821	1.0433	1.3696	0.0036
CAV1	0	0.1722	0.464	1.8712	0.1075	0	0.0903	1.254	0	1.8429	2.0436
CBFA2T3	0.8857	0	0	0	0.0106	3.4002	0.226	0.0717	0.0388	0	0.4858
CCDC64	0.4132	1.6746	2.1776	2.6194	2.2548	0	0.0924	2.7762	1.1293	3.3947	0.0021
CCL5	0.3987	2.9322	1.5677	8.876	8.7961	0.2606	5.0014	5.7816	7.5856	7.9785	0.2791
CCNA2	0.2036	0.0556	0.1764	6.2482	0.1118	0.2127	2.6296	6.1173	0.2198	1.0322	0.267
CCNB2	0.5125	0	0.2318	5.3044	0	0.0253	3.481	5.3645	0	0.4675	0.1431
CCR4	0.0595	2.5029	2.9451	0.3427	0.5711	0.0043	0.0867	1.256	0.4261	0.252	0.005
CCR6	3.4227	1.0062	1.0357	0	0.1709	0.5941	0.3077	0.3676	0.2891	0.0782	0.2026
CCR7	3.3472	4.4793	2.2327	1.2699	4.1142	1.3577	0.0896	1.9725	2.5028	0.8068	0
CCR8	0	0.371	3.7076	0	0.0959	0.015	0.2359	0.6705	0.0864	0.3423	0.0104
CD14	0.0643	0.018	0.1111	0.1574	0.1534	0.0888	10.9546	0.1691	0.3792	0.0171	0.0928
CD163	0.1052	0.1842	0.0582	0.0803	0.111	0.1618	8.2321	0.0762	0.2063	0.1025	0.0438
CD19	8.288	0.0244	0.0116	0.0358	0.0109	0	0.0549	0.3898	0	0	2.5556
CD200	0.5961	0.0907	2.1237	1.7142	0.1243	0.0804	0.0806	1.5933	0.1914	1.6299	0.1023
CD200R1	0.6355	1.2062	1.297	1.4643	1.1046	0.276	0.3082	1.8155	0.6371	2.5093	0.0385
CD22	8.2876	0.0248	0.0276	0	0.0189	0.1403	0.2833	0.2139	0.0608	0	0.2384
CD24P4	2.9955	0	0.1567	0	0.0771	0.0679	0	0.3342	0	0.1501	0
CD28	0.206	4.6235	5.5632	3.8536	3.0031	0.0347	0.6938	4.491	1.5919	4.0768	0.002
CD300C	0	0.0302	0	0	0.0121	0.2259	4.6211	0.0128	0.0924	0.1135	0.0295
CD33	0	0.0084	0.0136	0	0	0.41	6.4213	0.1002	0.1046	0.0557	0.0198
CD36	0.0515	0	0.0054	0	0.0461	4.8012	1.7796	0.0029	0.0516	0	0.0305
CD40	6.5603	0.1687	0.57	0.0509	0.1082	2.2807	5.6654	0.5352	0.3867	0.0881	1.4772
CD40LG	0.4025	2.9896	1.9156	0.1263	0.3773	0.0468	0.0085	0.8718	0.5621	0.9116	0.0079
CD5	0.0433	4.56	5.4603	2.8771	4.0613	0.7994	0.237	4.1081	2.4207	3.2992	0.0092
CD6	0.3507	4.4294	3.2847	4.0972	3.6507	0.1053	0.1984	3.5607	2.7545	3.6098	0.0613
CD72	5.0333	0.194	0.4858	1.6732	0.633	1.5591	1.1255	0.7516	0.7964	1.2824	0.0363
CD79A	9.3342	0.1212	1.1384	0.3691	0.2301	0.6423	0	0.8071	0.4084	1.1263	6.7752
CD79B	9.4547	1.2829	2.4318	1.649	0.1988	0.0831	0.2862	2.4337	1.1745	2.2166	3.9115
CD8A	0	0.8584	0.604	9.1578	9.1795	0.0733	0.1229	1.0147	1.1999	3.1234	0.1204
CD8B	0	0.6965	0.7803	6.4619	6.2772	0.0133	0.1131	0.9893	0.6199	3.2073	0.0616
CD8BP	0	0.1045	0.2785	1.8865	1.4885	0	0.031	0.3592	0.156	1.1166	0
CDC20	0.317	0	0	4.3171	0.1471	0	3.1996	4.8189	0.0848	0.5024	0.2267
CDC25C	0	0	0	1.9597	0.062	0	0.632	1.5428	0.0774	0	0.042
CDC45	0	0	0.1139	4.0683	0	0	2.2121	4.7092	0.0458	0.0971	0.0942
CDC6	0.2242	0	0.2035	3.6967	0.0601	0.1101	1.9694	3.4949	0	0.151	0.376
CDCA3	0.253	0.0637	0.0733	3.6674	0.094	0.0546	2.2026	4.897	0.1182	0.1787	0.302
CDCA5	0.164	0	0	5.2436	0.0236	0.0703	2.5236	5.6478	0.152	0.1477	0.1526
CDCA7	1.4462	0.325	0.6405	5.8149	0.2477	0	2.2284	4.9086	0.146	1.292	0.0052
CDCA8	0.3599	0	0	4.1916	0	0.1131	1.9167	4.907	0.1415	0.1943	0.1403
CDH1	0	0.0777	0.177	0.2922	0.0814	2.9187	0	0.3902	0.0365	0.1975	0.1231
CDK1	0.5182	0.1065	0.1636	6.517	0.1377	0.1649	3.8205	6.8831	0.1451	0.402	0.2857
CDKN3	0.3857	0.1332	0.5368	5.9713	0	0.0989	2.8442	5.0075	0.2062	1.2448	0.469
CENPE	0.3477	0.2338	0.1562	3.1104	0.0757	0.0651	1.6287	3.9124	0.0674	0.684	0.244
CENPF	0.2445	0.142	0.3406	4.0115	0.2938	0.1599	1.9461	4.5288	0.4905	0.7921	0.146
CENPM	1.0818	0.3388	0.9579	6.3023	0.2415	0	3.38	6.7459	0.3379	1.0318	0.908
CHEK1	0.3139	0.0765	0.2956	3.629	0.1125	0.2428	2.3889	4.4274	0.2739	0.2551	0.2094
CHPF	0	0.083	0.9118	1.157	0.0786	0.9698	0.4041	0.7693	0.2519	0.5924	2.6019
CIT	0.1519	0	0.2241	2.0012	0.1073	0	1.7065	2.677	0.1312	0.1357	0.072
CLEC17A	3.5861	0.0263	0	0.055	0.014	0	0.0415	0.1251	0.0086	0	0.5135
CLEC4C	0	0	0	0	0.078	6.7421	0	0.0493	0	0	0
CLEC5A	0	0	0	0	0.0623	0.0547	7.336	0	0.0597	0	0.0231
CLEC7A	0.0557	0.0145	0.5578	0	0.1199	0.1336	7.9978	0.109	0.4031	0.2715	0.0824
CLIC3	0.1565	0.1697	0.0983	0.6958	0.5746	8.3252	0.1081	0.3687	1.3119	1.4411	0.368
CLIC4	2.6617	0	0.3479	0.2365	0	1.0982	4.5603	0.7617	0.0674	0.1443	3.0403
CLSPN	0.1099	0.1166	0.3204	3.5996	0.0058	0.0036	1.6826	3.0627	0.2484	0.4192	0.1355
CNR2	2.9389	0.3021	0.1397	0.1258	0.1216	1.3982	0	0.2289	0.2311	0.2626	0
CPNE5	4.2521	0.1535	0.2716	0.0059	0.0357	0.0084	0.0436	0.3954	0.0376	0.0992	3.1866
CR1	2.1218	0.2779	0	0	0.0669	0	1.0819	0.0505	0.1056	0	0.0945
CR2	4.0748	0.0428	0.1824	0.03	0.1251	0	0	0.1065	0.0671	0	0.1843
CRADD	0.1969	0.3648	3.2372	1.1164	0.3589	1.1207	1.0347	1.7957	0.3459	0.7761	0.6654
CRELD2	0.8269	0.6123	1.6401	2.7246	0.5533	1.2789	3.277	3.0087	0.5717	2.089	5.5032
CRTAM	0.0234	0.412	0.4343	4.8116	1.7828	0	0.8579	2.5265	1.8334	4.1457	0.1127
CSF1	0.1105	0.3113	1.7335	1.0897	0.4503	0	0.8769	0.6951	0.4735	0.5728	0
CSTA	0	0.0292	0	0	0.0452	0.0604	5.7271	0	0.0184	0.0182	0.0689
CTA-250D10.23	4.1437	0.1101	0.0409	0.1963	0.2075	0.0672	0.153	0.2231	0.1159	0.1223	0.5198
CTB-33G10.1	0.4944	0.7804	0.3334	0.4599	0.9281	0.49	0.3723	0.4472	0.4727	0.5001	0.1324
CTC-260E6.2	0.4756	0.9035	0.4493	0.2731	0.5615	0.2232	0.5601	0.3614	0.431	0.1357	0.0792
CTC-548K16.5	0.2465	0.7586	0.7281	0.6376	1.2931	0.2211	0.9691	0.9469	0.5551	1.0036	0.1837
CTD-2248H3.1	0.6112	1.2362	0.3257	0.2397	0.3707	0.7454	0.4416	0.6672	0.0443	0.5678	0.1623
CTD-2256P15.4	0.0315	0.0664	0.0147	0.0722	0.3596	0.0055	0.0521	0.0515	0.0368	0.0071	0.0024
CTD-2313F11.1	0.0263	0.3144	0.1458	0.615	0.7154	0	0	0.8525	0.6682	1.4918	0.0268
CTD-2647E9.3	0.1326	0.1008	0.0607	0.28	0	0	0.8038	0.3109	0.6749	0.3335	0
CTD-3092A11.2	0.3321	0.5804	0.3676	0.0908	0.1809	0.5553	0.8687	0.2101	0.8881	0.1648	0.0724
CTLA4	0.1978	1.7512	7.4611	3.5298	1.2103	0.0175	0.3746	3.2801	1.5967	5.9583	0.0573
CTSW	0.1164	1.8834	0.5301	7.0711	5.5103	0.4654	0.6881	3.6398	5.9116	5.1482	0.3363
CTTN	0.4697	0.1411	1.4807	0.8645	0	0	1.1854	1.0359	0.223	1.5638	0.461
CX3CR1	0.0574	0.0088	0.6792	0.3149	0.6677	0.5399	1.7617	0.0764	1.21	0.2376	0.0161
CXCL13	0.1624	0.1127	2.4142	4.6121	0.7547	0.0151	0.0336	2.4711	0.5482	4.68	0.1507
CXCR2P1	0	0	0	0	0.0198	3.0967	0.2604	0.0166	0.0489	0	0
CXCR5	5.6109	0.9936	1.2824	0.3251	1.0232	0.0057	0.2384	0.8535	0.734	1.0497	0.4012
CXCR6	0.1984	1.0679	4.631	2.9033	1.1255	0.0669	0.3751	3.8335	0.6342	3.7135	0.1232
CYTH3	0	0.1857	0.1207	0.0571	0.1527	0.3164	0.23	0.0549	0.6491	0.0479	0.007
DBH-AS1	0.0621	0.4149	0.6753	0.139	0.1215	0.0094	0.0254	0.2397	0.0897	1.0639	0
DCHS1	0	0.0274	0.0016	0.0024	0.2094	0.0397	0.1698	0.0287	0	0.0369	0.0331
DERL3	0.5066	0	0.1342	0.8462	0	6.1723	0.5686	0.8001	0.0492	0	7.512
DGKH	0.0962	0.3888	1.1589	1.672	0.3394	0	0.4226	1.2982	0.4289	1.5572	0.0065
DHFR	0.4525	0.221	0.2616	4.4398	0.2634	0.2691	2.6105	4.6386	0.3047	0.257	0.1804
DHFRP1	0.0752	0	0.0661	3.4892	0	0.0189	1.9007	3.7599	0.0781	0.0623	0.0752
DHRS3	0.2727	2.64	0.6713	0.5923	1.3536	0	4.9501	0.8394	2.4152	0.5254	0.013
DIAPH3	0.1254	0	0.1296	1.9593	0	0	1.25	2.582	0.0535	0.0739	0.0229
DLGAP5	0	0	0	3.3875	0	0	1.4511	4.1145	0.0802	0.2209	0.137
DNA2	0.2305	0.006	0.163	2.7611	0.0733	0.4226	0.7556	1.8405	0.0434	0.1134	0.1111
DNASE1L3	0.3198	0	0.0512	0.0466	0	6.7805	0.0073	0.058	0.0675	0.0252	0
DTHD1	0	0.3058	1.2821	1.2257	0.6302	0.014	0.0241	1.7568	1.0356	3.6258	0.0195
DTL	0.1311	0	0.3152	3.8652	0.0837	0.043	2.1514	4.1378	0.1147	0.3259	0.1298
DUSP16	0.2774	1.0229	2.8309	0.8354	0.9847	0.2285	0.1693	1.3848	0.5838	0.9391	0.0924
E2F2	0.094	0.0416	0.079	1.7019	0.1393	0.2417	0.993	2.3845	0.0773	0.105	0.1321
EBF1	4.2332	0.0527	0.0941	0	0.064	0	0.0221	0.1563	0.0317	0.0381	0.2134
EEF1A1P10	0.5436	0.8447	0.6988	0.3173	0.6712	0.4327	0.3967	0.3849	0.4602	0.317	0.0776
EEF1A1P14	0.3627	0.7418	0.5311	0.3029	0.4628	0.4051	0.2165	0.3356	0.3935	0.2002	0.1223
EEF1A1P16	0.3344	0.768	0.5887	0.1762	0.5784	0.4174	0.2346	0.2905	0.4181	0.3156	0.0491
EEF1A1P8	0.4651	1.0284	0.5968	0.3731	0.6247	0.6615	0.3212	0.4209	0.492	0.405	0.101
EGLN3	0.0578	0.3643	0.0556	0.1034	0	5.8742	2.2538	0.1764	0.0816	0.0157	0.0384
ELL3	2.5305	0.1203	0.0836	0.1695	0.0698	0.2583	0.2802	0.2165	0.0524	0.0343	0
ENC1	0.6508	0	0.1377	0.2734	0.4385	0.1298	0.3159	0.8839	0.5158	1.3467	0.1647
EOMES	0	0.4467	0.1651	2.8867	0.8018	0.0563	0.0483	2.2063	0.7715	1.8345	0
EPHA2	0	0	0	0.094	0	2.7338	0.2134	0	0	0	0.0015
EPHB1	0	0	0	0.054	0.0448	5.3305	0.0659	0.1101	0.0378	0.0755	0
EPHX2	0.0571	1.0859	2.2808	0.3288	0.3112	0	0.1749	0.4518	0.6194	0.8013	0.1959
ESCO2	0.074	0.0118	0.069	3.5284	0	0	1.8851	3.4337	0.1469	0.1151	0.0994
ESPN	0.1075	1.7045	1.299	0.2297	0.8064	0.0189	0.0661	0.2922	0.8088	0.608	0
ETV1	0	0.0138	0.3378	1.2911	0.2892	0	0.377	0.4784	0.3211	1.4984	0
ETV7	0.4303	0.2957	2.5802	1.3215	0.144	0	0.4467	1.6993	0.3624	1.1478	0.3992
F2R	0	0.6425	1.0654	3.1301	1.7901	0	0.1181	2.8026	0.8607	2.8356	0.4281
F5	0.0026	0.6213	3.1775	0.5796	0.0155	0	1.5929	0.8875	0.0817	0.546	0.0024
FAAH2	0.1899	1.2425	2.7317	0.3191	0.5614	0.2556	0.0344	1.0411	0.7348	0.9507	0.8218
FAIM2	0	0	1.2848	0.2153	0	0	1.2991	0.5633	0.0552	0.6331	0.0073
FAM129C	3.0177	0.029	0.0152	0.0713	0.0339	5.1361	0.017	0.1132	0.0927	0.0061	0.0032
FAM198B	0	0	0	0.0163	0.0038	0.1296	4.1583	0	0	0	0.0172
FAM72D	0.0826	0	0	1.1546	0	0.0453	0.9532	2.5611	0.0691	0.2523	0.048
FANCI	0.5109	0.1704	0.4591	5.4036	0.2838	0.6305	2.3284	4.8904	0.3686	1.1647	0.2818
FASLG	0	0.1494	0.3292	3.2904	0.6284	0	0.097	1.8852	1.0767	2.1995	0.0146
FBLN7	0.1252	1.4354	2.9339	0.0664	0.512	0.2836	0.1195	1.3074	0.8817	0.8544	0.0093
FBP1	0.0543	0.0225	0.2585	0	0.1757	0.915	10.149	0.0888	0.4012	0	0.4963
FBXO5	0.3553	0.0677	0.2543	3.9723	0.2747	0.4295	1.7645	3.7644	0.1575	0.5254	0.4491
FCER2	4.779	0.014	0	0.0458	0.0128	0	0.043	0	0.0855	0	0.2982
FCGR1A	0	0	0.0171	0	0.2196	0.1335	6.8291	0	0.1188	0.0526	0.0604
FCGR1B	0	0.0632	0	0	0.0807	0.0885	4.6413	0	0.0621	0	0.0085
FCN1	0	0.061	0.0425	0	0.0766	0.035	6.5292	0	0.0452	0	0.1632
FCRL1	6.5722	0	0.0573	0	0	0	0	0.2045	0.1057	0.0594	0.3751
FCRL2	3.063	0	0.119	0	0	0.0101	0.0537	0.1383	0.1115	0	1.2346
FCRL5	4.4964	0.0107	0.0093	0	0.0084	0.4676	0.0064	0.2297	0.1777	0.0165	5.2662
FCRL6	0.0584	0.3047	0.0865	0.7619	1.0588	0	0.4961	0.337	1.7644	0.8166	0.0499
FCRLA	5.4076	0	0	0	0	2.2235	0.0509	0.3231	0.0142	0	0.5135
FER1L4	0	0	0.077	0.0178	0.0859	0.0217	0	0.1384	0.1208	0.0537	3.2068
FGFBP2	0.0773	0	0	0.258	0.3854	0.0346	0	0.6215	1.2435	0.3376	0
FKBP11	0.3672	2.0181	0.6035	2.3584	2.0969	0.9862	0.9582	2.8641	1.9414	1.0908	8.5484
FKBP2	1.1522	2.0867	2.2388	3.9518	1.3822	5.4856	6.217	4.5897	2.1292	2.4963	7.2585
FLT3	0.0536	0.0245	0	0	0.0227	2.576	0	0.063	0.0304	0	0.095
FLT3LG	0.4301	3.608	2.1977	1.796	3.322	0.213	1.0974	2.3397	2.0874	1.2646	0.2025
FN1	0.0869	0.2082	0.0771	0.1625	0.0232	0.1325	8.0529	0.321	0.1337	0.2171	0.0808
FNDC3B	0.2415	0.2248	0.8586	0.3056	0.7585	0.444	4.8633	0.6785	0.9943	0.521	3.3131
FOXP3	0.1029	0.3728	3.6815	0	0	0	0.1797	0.6725	0.0302	0.2625	0
FPR3	0	0	0.0275	0	0	0.0563	5.1426	0.0062	0.0718	0.007	0
FTH1P20	0.5263	0.9754	0.7464	0.4554	1.3586	1.0964	1.893	0.2675	0.9487	0.3085	0.0987
GABARAPL1	0.6255	1.1582	1.4761	3.0808	3.5984	1.7261	3.8554	1.6462	3.0269	3.0384	0.3408
GAPT	1.8226	0.0606	0.0108	0	0.0558	5.6439	0.9014	0.1846	0.1164	0	0.0251
GAS6	0.2777	0.0792	0.0069	0.0477	0.1545	4.4041	1.0165	0.1173	0.1348	0	1.6098
GEM	0.1398	0.2517	2.1699	3.2763	0.2615	0.4465	2.1623	2.3757	0.7349	3.2777	0.1348
GFOD1	0.8812	0.2206	0.6866	1.7189	0.2222	0.0148	0.7862	0.9421	0.7368	1.5644	0.051
GIPR	0.0427	0.234	0.5102	0.4367	0.2785	0.165	0.0333	0.1799	0.3571	1.1758	0.7628
GNAQP1	0	0.0193	0	0.0494	0.2535	0.1487	0.1652	0.0205	0.0208	0	0
GNG7	1.8074	0.0105	0.0062	0.0793	0.0088	2.9012	0.1897	0.1419	0.1172	0.0282	2.065
GNLY	0	0.1516	0.8693	2.2637	2.5978	0.1004	0.2955	2.8546	5.8562	2.6908	0.0245
GPR132	1.3077	1.1644	1.4846	0.6538	2.4221	1.5298	1.7258	1.2705	1.0134	1.6762	0.1611
GPR155	0.2521	1.1608	1.4606	0.2584	1.4709	0.5131	0.9088	0.8723	0.3168	0.529	0.4883
GPR18	4.46	0.8313	0.6555	0.8711	1.3798	1.05	0.2893	1.0873	0.6392	1.4441	0.0948
GPR56	0	0.1004	0.6089	1.865	1.139	0.0964	0.4037	1.0561	2.0283	2.5088	0.0348
GPX3	0.0362	0.2538	0.1547	0.0458	0.2034	0	5.1295	0.1173	0.1904	0.2831	0.0417
GRAP2	0.4941	2.7057	2.3365	2.9995	3.1759	0.0165	0.1274	1.7549	1.9433	1.6709	0.0058
GTSE1	0.104	0	0.06	3.3633	0	0.0721	1.6394	3.5906	0.1619	0.2245	0.151
GUCY2D	0	0	0	0	0	1.0856	0.0257	0.0109	0	0	0
GZMA	0	2.2109	1.5995	8.0797	4.6226	0.0948	0.4017	6.4376	6.1298	6.479	0.0989
GZMK	0.0491	1.3462	0.9485	5.5574	4.0352	0.0122	0.1342	5.4275	3.34	6.3819	0.0733
HAVCR1	0.0591	0.1663	0.2831	0.1969	0.1434	0.1376	0.0361	0.2344	0.1575	0.9518	0
HCK	0.382	0.0154	0.0102	0.0088	0.1669	1.241	7.7397	0.0665	0.1563	0	0.123
HID1	0	0.2822	0.0723	0	0	0.2565	0	0	0.0737	0	2.801
HIST1H3G	0.0918	0	0.0799	2.6583	0	0	1.2011	3.1312	0.0439	0	0.179
HIST1H3J	0.1274	0.0581	0.0492	1.8904	0.1462	0.0728	1.0664	2.8223	0.1559	0.2575	0.264
HJURP	0.156	0	0	3.4978	0.0906	0	1.7637	3.7765	0	0.0893	0.1746
HK3	0.0097	0	0	0.0334	0.0367	0.0062	7.2212	0.0625	0.0084	0	0.0544
HLA-DOB	5.7876	0	0.1481	0.1174	0.0605	1.287	0.171	0.4999	0.0176	0.035	1.6362
HNMT	0	0	0.0362	0.0824	0	0.1276	7.2158	0.0292	0	0.0293	0.0097
HNRNPA1P21	0.1178	0.111	2.0399	0.1313	0.1413	0	0.0988	0.5297	0.1589	0.319	0
HOPX	3.0921	0.664	0.3281	2.6371	2.0202	0	0.2329	1.73	3.8865	1.2204	0.2337
HSPA13	0.9162	0.6142	1.1982	1.572	1.182	1.466	2.0432	1.9588	1.0351	1.1081	3.2556
HSPA8P5	0.1598	0.2712	0.2828	0.278	0.3649	0.1435	0.1612	0.2489	0.5001	0.3165	0.0079
