geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
AC002306.1	0.4576	1.2721	1.9365	1.0119	1.6885	0	0.0445	0.7116	0.8333	0.4288	0.0567
AC003104.1	0.4513	1.0788	1.762	1.9927	1.7502	0.1057	0.2077	1.2819	1.1629	2.627	0.043
AC006460.2	0.0573	0.0917	0.5618	0.6409	0.1832	0	0.1396	0.8205	0.2148	1.0198	0.1982
AC017002.1	0	0.1051	3.8974	2.2585	0.2723	0.0472	0.3287	2.9803	0.5102	2.2822	0.1864
AC017002.2	0.2354	0.2022	1.667	1.0807	0.3615	0.1272	0.2507	1.0988	0.1853	0.607	0.7113
AC069363.1	0.0184	0	0.1561	1.1536	0.3636	0.06	1.3456	0.3684	0.1344	1.6579	0
AC079767.4	1.7268	0	0.0351	0	0.0453	0	0.3121	0.0622	0	0	0
AC092580.4	0	0.7265	0.7531	2.3451	1.31	0	0.1387	1.8411	1.1643	3.2231	0.0648
AC096579.7	4.4445	0	0.1029	0.0266	0	9.7027	0.0114	0.3526	0.1865	0.0742	8.9128
AC104699.1	0.8154	0	0	0	0.054	0	0	0.055	0.0406	0.0319	2.0033
AC144530.1	0.6657	1.3334	0.7465	0.5316	1.1037	0.7027	0.556	0.7772	0.7119	0.3756	0.2043
AC145110.1	0.1023	0	1.4984	0.1278	0	0.0723	0.1326	0.3198	0.1799	0.0502	0.0041
ACE	0.1229	0.2743	0.0384	0	0.1772	0	2.8005	0	0.1673	0.0101	0.0214
ACTA2	0.5027	0.4107	1.9945	1.2002	0.5782	0.4921	0.7074	1.3276	0.4448	2.426	0.2444
ADAM28	6.2419	0.2075	0.2258	0.058	0.2458	0.7997	2.6762	0.5133	0.4429	0.5113	2.359
ADAP2	0.2474	0	0.028	0.0051	0.0152	0.2869	4.7959	0	0.0746	0	0.0635
ADARB2	0.0354	0.8996	0.4684	0.1297	0.2843	0	0.0179	0.0925	0.3793	0.2087	0.0054
ADCY9	0	0.1984	0.0203	0.0344	0.4421	0.0637	0.1607	0.0406	0.1547	0.0409	0
ADRB2	0.4773	0.3721	0.1427	0.3248	1.1927	1.0248	2.1656	0.3284	1.6744	0.1379	0.6768
ADTRP	0	0.5341	1.9645	0.3315	0.042	0.6188	0.1428	0.6169	0.2343	0.5299	0.0911
AE000661.37	0	0.3337	0.1603	0.2422	0.1242	0	0.0346	0.6244	1.3292	0.847	0
AFAP1	0	0.7671	0.5986	0.1259	0.2949	0.0364	1.4228	0.3742	0.4351	0.3207	8e-04
AFAP1L2	0.6164	0.0402	0.3846	2.5717	0.3482	0	0.0918	1.5177	0.1194	2.3779	0.0556
AFF3	3.6341	0.7008	0.7511	0.1841	0	3.4938	0.0162	0.3766	0.3181	0.5976	0.0166
ALG5	1.2558	1.0415	1.8513	4.5424	0.7883	3.6299	4.998	3.7019	1.235	1.8225	5.1027
ANK3	0.5207	1.8333	0.4981	0.1136	1.3832	0.1646	0.1075	0.1448	1.3997	0.476	0
ANKRD28	0.9176	0.8055	1.0202	1.938	0.9521	0.771	2.5076	1.0543	1.3243	1.1124	4.1684
