,gene,B_cells,CD4T_memory,CD8T_B,CD8T_G,Dendritic_cells,Monocytes_Macrophages,NK1,NK2,NK3,Plasma_cells,Tregs
1,DPM1,0.179163641944974,0.0789807644081046,0.00363770382607796,0.662422810145295,0.335644356662536,0.0927579823202017,0.757200361299492,0.00293988179644118,0.703110421535801,6.23144511189742e-38,0.0570176962547229
2,SCYL3,0.650856625832855,0.0194810775760398,0.00622269499484063,0.0218444169266177,0.127335323540497,1.12684677215699e-12,3.74477928561897e-05,0.031515736367377,0.162330639146633,6.15958191999748e-06,0.696368002225409
3,C1orf112,0.589807232889974,0.896990336393229,1.10588258364193e-10,5.62414435087333e-11,0.000139640791571471,1.66972248371144e-57,2.55633948506768e-27,0.0251130285871988,0.968420310213617,1.97298751365249e-05,1.43692493124573e-21
4,FGR,0.0067700211168021,5.53500028379626e-43,1.14228023321425e-68,5.22365555205906e-11,4.77986282916569e-07,0,1.15655278002407e-67,2.3034658271287e-13,2.08794505069635e-08,1.81546612926402e-24,2.71952381790461e-69
5,FUCA2,0.0132460543013869,0.110453511686573,6.18946084735567e-19,2.54945412467338e-05,0.0115725748196477,3.11232152699203e-81,8.36027341692445e-21,0.000414995119233466,0.00136623011734469,4.83936527627382e-54,0.127820934912018
6,GCLC,0.692705501819963,0.0619127224892129,0.0837229930372515,0.0685959807892273,0.0203831095195734,0.015417638278173,0.0668022122529681,0.000272676870498355,0.583024279343327,0.218632248597193,0.366796028740098
7,NFYA,0.0095480084267798,0.194340453516673,0.0859315177505464,0.23411382800017,0.0702948509998484,0.0132999771001658,0.0389117809992067,0.722797318973613,0.0802648778052133,0.014504847202755,0.19117930062984
8,STPG1,0.245129698346018,0.871860753907173,0.381471770706719,0.346518024187108,0.462261769817058,1.59486575158023e-11,0.000597207635957002,0.12294397321709,0.475084732991157,2.87532027668241e-05,0.913852549727808
9,NIPAL3,2.5156483230941e-07,0.290402319723729,2.06487627605676e-06,0.0850211774609859,0.261817453267684,3.58106730336662e-70,1.13736337281182e-10,0.881804117612863,1.60479239817153e-10,1.89164498254648e-17,0.475950978625854
10,LAS1L,0.000481142861244107,0.191236703388545,0.00131075522444796,0.0651538640024642,0.00131478831581491,2.79965550531941e-09,0.00073688750764971,0.28994588910456,0.510189884221452,3.77615920030804e-07,0.110179725577246
11,ENPP4,0.0498135244345137,0.623305534903512,0.011455909282118,0.000845924155984351,0.00112437385522957,2.69147004111005e-05,0.000141730311028756,0.000553791743905336,0.0818051657356615,0.00220857340197962,6.35579509491522e-08
12,ANKIB1,0.0125855745525966,0.433771518403767,3.62340875817235e-07,0.415801761226775,0.021808841259849,9.13298516723719e-12,0.259637561512041,0.640244194585494,0.0784350301929273,1.50538469130447e-10,0.748446441710895
13,CYP51A1,8.14342487278706e-05,3.17832209792921e-08,0.757048084372132,2.61731660485847e-06,0.066159282510129,0.705607097782359,0.150865375067409,0.0629017300960057,0.114177083940072,2.1980524143739e-55,6.85729321007925e-08
14,KRIT1,0.90034940310725,0.27119735960547,0.209365938873084,0.0645892005660665,0.694811129606562,1.59398497012857e-08,0.022974460623316,0.655485567605006,0.0314132697149225,1.14007274069716e-06,0.261423030863204
15,RAD52,0.132820854858192,0.0509358946874278,0.859028656317844,0.252869243404679,0.636979418608899,0.0402884910320818,0.965030842331356,0.0111783995045127,0.241492531287768,0.000292577920737474,0.80601017025384
16,BAD,0.003093310247003,0.123891738557737,0.000974524278314156,0.00658427680593614,0.24447914635725,0.000509870646637226,0.407967072029562,0.0150998787038145,0.0077167720968525,3.0766717960197e-43,0.225385260947883
17,LAP3,3.47328991476814e-12,2.24221910649844e-14,0.000519291059457895,0.61006268011372,1.10969704416111e-20,9.53757255320516e-87,6.93763050133636e-14,0.661967526960938,0.606664869096915,4.44761344480021e-45,0.405770631224701
18,CD99,2.55690768401972e-92,0.359845718746751,9.24105021402776e-44,1.74303722493557e-16,0.548254127302049,9.32910033153702e-47,3.89417794019703e-05,1.03092850934984e-14,6.6243147709064e-11,1.22042422060921e-140,4.1801652194008e-05
19,HS3ST1,2.70895884738312e-53,2.27611224489121e-07,1.47625128490752e-27,5.13035077822062e-19,6.5231739245523e-10,1.23590926576942e-58,5.52099716546944e-11,2.26326772537292e-07,8.48673339246384e-09,0.000264504446616739,0.00112625561481391
20,MAD1L1,3.25178061340433e-06,0.0444416092306184,0.0138501652654509,0.00899862124713378,0.00045949111506822,8.9339624438786e-05,0.00939856489563126,0.194769012294286,0.758963772082533,6.41313729997624e-27,0.0070283674509989
21,LASP1,1.27061089621268e-36,6.18928442674583e-10,1.21702167267772e-37,0.00668509639201393,1.78439410752297e-06,2.4924516005544e-17,0.0165423096602808,0.000216053607491253,1.76721081706938e-14,8.19789887068968e-61,3.45466239012933e-06
22,SNX11,4.60918502628606e-05,0.453058396365829,0.951541151536489,0.244589725101129,0.000405938305271895,0.00818802933827128,0.0178741837076166,0.00122881054261616,0.977637964173014,2.83889235086335e-08,0.00050626342802024
23,TMEM176A,4.53250823849924e-07,2.51953899163342e-07,1.54692047342487e-48,1.52163555281174e-19,4.08509154734045e-06,0,2.49748159624188e-46,7.98507724164609e-09,3.75222484880648e-08,1.90040578579169e-06,7.22813262232513e-14
24,M6PR,2.65938652709137e-05,0.000503097982807157,0.000399325006066193,1.4074929837197e-05,0.000590278462996065,2.77729716492421e-13,0.00627847425431032,0.011342351879644,0.0319503143977372,3.07314155513818e-30,0.361406343159249
25,ICA1,1.38744440897482e-25,1.46446822941047e-05,1.86289930655111e-14,5.58081338061291e-27,7.43273006815186e-10,3.255772513504e-05,0.425095136752251,8.24785342444568e-05,0.511796069118241,3.34319816816105e-11,5.04933639038285e-194
26,ALS2,0.618092231703024,0.0478482963167621,0.111838323339581,0.175987169757268,0.87811300776421,0.0313917014871845,0.00886719670932004,0.24615227988277,0.719717739719366,0.0361030259478257,0.656639441679341
27,CASP10,0.000616609485941173,0.000597665063803681,2.55735704729113e-42,1.98964385461003e-15,1.72092839158427e-22,1.08576942476962e-34,2.89480931649481e-08,0.00220077010973405,0.00926042511906698,3.30572921782662e-124,2.01274839332519e-27
28,CFLAR,3.14358481321464e-111,3.7885283758792e-08,1.74821260903778e-10,0.0375579982794132,6.20842731667904e-06,0.00685582287365385,0.000101047368289494,0.560134585144218,1.1443536745731e-05,1.86106940980863e-08,1.22201892439984e-42
29,TFPI,0.322092478344689,0.0211242197723801,9.20738525718789e-07,0.781777672839067,3.91981372707368e-11,1.64014099236237e-22,0.000514309245399827,0.171983763043827,0.0880431230570465,0.343529766500926,0.059246135113245
