geneSymbol	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs
IGHD	5.17975	0.0152	0.0452	0.0077	0.2603	0.0251	0.10775	0.1378	0.0728	0.1047	0.0659
IGHG1	4.9167	0.05185	0.23265	0.05335	0.34055	0.07925	0.8874	0.3615	0.136	11.0457	0.2539
IGHG2	3.3472	0.0091	0.06775	0.0216	0.08725	0.04555	0.30995	0.18995	0.02475	7.87725	0.121
IGHG3	3.5839	0	0.0391	0.01035	0.12855	0.0514	0.3231	0.1811	0.0546	8.12485	0.072
IGHG4	1.7376	0	0.08495	0	0.07895	0.0296	0.1369	0.1467	0.0177	6.795	0.02465
IGHGP	2.1661	0.02365	0.02075	0.01245	0.03675	0.0127	0.22645	0.11575	0.01885	6.31595	0.0629
IGHM	8.1197	0.18215	0.80465	0.10015	6.80745	0.0473	0.81195	0.26965	0.4624	2.96185	1.0044
IGJ	2.9382	0.13805	0.044	0.0159	12.0951	0.0188	0.6792	0.17995	0.09195	11.52475	0.11565
IGKC	7.63985	0.14975	0.29385	0.202	8.85485	0.11125	1.32585	0.5037	0.4543	13.45465	0.38055
IGLC1	3.03815	0.0717	0.06735	0	0.1368	0.02605	0.2442	0.15125	0.09785	7.59485	0.0649
IGLL5	2.9548	0.0287	0	0.0271	0.05765	0.0085	0.2123	0.1626	0.01045	6.17955	0.04575
IGLV3-1	0.77365	0	0	0	0	0	0.01405	0.0368	0.03035	4.0808	0.02165
IKZF2	0.22405	0.5506	0.9895	0.5449	0.4577	0.30195	2.603	1.272	2.15545	0.00035	3.04005
IKZF4	0.0441	0.20965	0.8715	0.2332	0.07	0.54715	0.88875	0.2061	0.7748	0.03655	2.2193
IL12RB2	0.0274	0.519	0.0944	0.2058	0.0325	0.11545	0.85405	1.26485	0.29365	0.00125	2.35515
IL2RA	0.39635	0.6208	0.39155	0.15425	0	3.5658	1.41735	0.56655	0.5362	0.0294	4.0901
IL2RB	0.2236	3.4079	6.36045	4.4961	0.0123	0.34495	5.30585	5.1912	6.05715	0.2142	6.7535
IL3RA	0.1264	0.04295	0.03115	0.05885	7.86965	1.5353	0.05405	0.05345	0.0172	0.07745	0.07015
IL7R	0.19205	7.13305	0.94945	5.77025	0.1293	4.8337	1.1851	4.9585	1.848	0.0498	4.0372
ITM2A	0.44155	3.4384	8.11075	3.9103	0.273	0.2014	6.8829	3.56765	7.198	1.23355	6.6058
ITM2C	1.15085	0.89185	0.9414	2.24875	8.95535	0.44795	0.8348	1.15305	1.14995	6.64415	0.43505
JAKMIP1	0.0574	0.3335	3.71355	0.81185	0.01145	0.0608	3.71	0.9297	2.8434	0.03825	1.6213
JMJD6	1.75265	0.99875	4.04765	3.91885	2.2598	3.84385	2.9016	2.8458	2.74325	1.3813	2.3526
KB-1208A12.3	0.9065	1.18745	0.57005	0.8534	0.59845	0.63655	0.73075	0.6448	0.5674	0.15675	0.45835
KCNN3	0.27575	0.00155	0.0274	0.0432	0.01025	0	0.05515	0.03765	0.00865	2.10485	0.01155
KCTD12	0.05815	0.0492	0.0374	0.09025	0.8722	3.72655	0.108	0.11595	0.0462	0.0745	0.1085
KDELR1	1.13475	0.95245	2.3152	0.73605	2.77975	5.38545	3.07645	0.8396	1.903	4.18365	1.8429
KIAA0101	0.5692	0.03055	7.5501	0.0964	0.0398	2.8509	7.4506	0.16395	1.0555	0.1418	0.68345
KIAA0226L	5.0943	0.044	0.044	0.05715	5.41145	1.52245	0.395	0.18735	0.07105	0.07445	0.07905
KIAA1324	0.10545	0.35925	0.81715	0.36495	0.0109	0.1811	1.16495	0.4525	1.22405	0	2.06315
KIF11	0.2817	0.12435	3.8914	0.0705	0.06405	1.4531	4.25515	0.0975	0.33675	0.0673	0.1765
KIF15	0.05735	0.0188	2.7362	0	0	0.8116	2.96465	0.0419	0.11865	0.01975	0.0661
KIF18B	0.06265	0	3.1567	0.0046	0.0041	0.82915	2.9874	0.0385	0.1157	0.0598	0.1186
KIF23	0.04035	0.10885	3.85765	0.03015	0.03265	1.1816	3.8761	0.1706	0.25895	0.05815	0.2031
KIF2C	0.22375	0.03765	3.84275	0.0865	0.03625	1.3275	3.95635	0.0694	0.245	0.07315	0.1536
KIFC1	0.2148	0.01385	3.5251	0.0388	0.1214	1.3753	4.3948	0.04305	0.29235	0.0415	0.1374
KLRB1	0.0087	2.35015	0.35465	0.8738	0.01775	0.17065	0.62515	3.26805	0.65945	0.0166	2.4419
KLRC1	0.01185	0.103	1.6385	0.8584	0	0.0413	0.6161	2.00035	1.4045	0.0068	0.01325
KLRC3	0	0.135	1.64565	0.6395	0	0.0134	0.78065	1.2296	1.2533	0	0.02855
KLRC4	0	0.18555	2.91525	1.69535	0.02735	0.0376	1.58075	0.97825	2.48685	0.0203	0.04195
KLRC4-KLRK1	0.19165	0.34205	3.60285	3.4274	0.03915	0.0219	2.26405	2.04815	3.007	0.00525	0.1547
KLRD1	0.03265	0.1655	5.5587	2.54025	0.02695	0.05685	2.27895	3.62675	3.01105	0.0431	0.0868
KLRK1	1.14265	1.326	8.37935	8.02735	0.1133	0.10265	4.97825	5.2857	6.7726	0.12415	0.3867
KMO	2.57935	0.02815	0	0.00415	1.96605	3.6859	0.08385	0.0691	0.04325	0.2067	0.05145
LAG3	0.0064	0.27775	4.0019	1.75985	0.41575	0.11715	2.7789	0.83835	3.2681	0.07975	1.31085
LAIR2	0.1207	0.20445	0.95765	0.15055	0.87175	0.3475	0.6227	0.3054	0.86825	0	2.0974
LAMP5	0.08495	0	0	0	4.7328	0.14875	0.0375	0	0	0.22025	0
LAT2	5.83435	0.3617	1.05585	0.241	0.2728	6.72465	1.1292	1.5399	0.68605	1.22495	0.5657
LAYN	0	0.1318	1.45275	0.2433	0.0243	0.07835	0.98555	0.15505	0.98855	0	2.4303
LDLRAP1	0.19135	2.12195	0.65735	1.5246	0.24395	1.0214	0.6486	1.01535	0.53345	0.8028	0.7242
LEF1	0.1766	3.17345	0.90655	1.8554	0.07285	0.03005	1.771	1.4013	1.2591	0.08575	2.5822
LGMN	1.16865	0.27605	0.1456	0.20725	6.2349	3.17135	0.3395	0.30475	0.16415	1.1199	0.7693
LILRA4	0.32385	0.02785	0.0226	0.0037	10.6042	0.19595	0.05655	0.0195	0	0	0
LILRA6	0.05595	0.09095	0.0151	0.17105	0.48865	4.88335	0.0273	0.07415	0.0605	0.03915	0.0644
LILRB2	0.16785	0.01825	0	0.0686	1.71315	5.74935	0.01385	0.01075	0.0328	0.02645	0.01785
LILRB4	0.10415	0.0074	0.03225	0.0076	8.2661	7.8766	0.0496	0.1587	0.05755	0.2119	0.06105
LINC00484	0.03585	0.03685	0.56315	0.05355	0.03705	0.2541	0.5228	0.14565	0.8624	0.03545	0.08675
LINC00926	3.96455	0.03705	0.01245	0.05825	0.0852	0.07625	0.205	0.0938	0	0.0744	0.07775
LINC00996	0.22735	0.04755	0.2374	0.12705	3.9289	0.20695	0.13935	0.45815	0.1929	0.11395	0.01105
LRP1	0.0548	0.18865	0.0637	0.17105	0.07475	5.62245	0.05425	0.14955	0.0772	0.092	0.0772
LRRC25	0.1234	0.018	0.0041	0.04555	2.0076	6.5009	0.0305	0.0618	0.0146	0.0121	0.05755
LTA	1.61975	0.75315	0.71215	0.2766	0.14745	0.04995	1.5696	0.5435	1.06775	0.0299	2.7125
LTB	6.21435	6.4064	0.686	3.1195	5.76705	0.53405	2.59725	2.9331	2.41775	0.0033	6.96565
LY86	3.96675	0.02375	0.0053	0.12205	0.70235	5.5764	0.1072	0.1203	0.049	0.0178	0.006
LYZ	0.068	0.09245	0.0529	0.10685	0.8748	10.0767	0.1264	0.17205	0.19645	0.1944	0.13325
MAD2L1	0.38425	0.3295	5.52375	0.34935	0.49735	2.54315	5.9341	0.0572	0.7485	0.21525	0.45565
MAF	0.1089	1.31175	0.5225	0.83365	0.05955	2.27685	1.29815	1.14685	1.5498	0.0158	3.8675
MAFF	0.2979	0.49005	0.55345	1.2404	0.252	0.95305	0.5363	2.12235	0.65625	0.2516	0.51165
MAGEH1	0.41085	0.81965	1.5304	0.27765	0.9682	1.10175	1.70765	0.34075	1.1968	1.01425	3.76565
MAL	0.10205	1.93065	0.2002	0.61955	0.2716	0.0794	0.3581	0.24765	0.85795	0.0548	2.10405
MAN1C1	0.01345	0.7097	0.0701	0.7254	0.05855	0.77345	0.06875	0.2773	0.2463	0.0018	0.14915
MANEA	0.438	0.3634	1.2292	0.24715	0.1089	1.20305	1.1916	0.2081	0.84895	2.8017	0.65965
MAP1A	0.1373	0.02965	0.02155	0.07285	3.90485	0	0.08885	0.06085	0.064	0.00375	0.0535
MARCKS	1.2141	0.03555	0.0582	0.01885	0.0451	3.85545	0.1384	0.1077	0.05295	1.3469	0.04245
MARCO	0.00635	0.0444	0	0	0.04015	8.3194	0.01165	0	0.0351	0	0.03575
MAST4	0.5058	0.72985	0.6647	0.46705	0.21905	0.1937	1.14155	0.46985	0.91605	0.1236	2.04505
MATK	0.0668	0.2501	1.0478	0.9573	0.0456	2.0942	0.50435	1.8251	0.6887	0	0
MCM10	0.02905	0	2.67095	0	0.03475	0.94655	2.48745	0.07015	0.20385	0.0498	0
MCM2	0.55595	0.23175	5.21325	0.11985	0.2784	2.08655	4.73105	0.25535	1.19425	0.16445	0.50535
MCM4	0.24175	0.1376	5.91225	0.20405	0.237	3.6499	5.5058	0.27575	1.31065	0.14305	0.526
MEF2C	6.19535	0.11665	0.10595	0.13265	5.05585	3.48595	0.28125	0.2545	0.0266	2.92345	0.2329
MELK	0.1523	0.0084	4.0801	0.0402	0	1.79065	4.07245	0.0633	0.16105	0.08845	0.11345
MGAT4A	1.0196	3.5378	1.11765	3.28125	3.5974	5.27145	1.5507	2.712	1.53715	0.2683	1.022
MICAL2	0.0042	0.67935	1.73675	1.02685	0.43045	1.97505	2.24715	1.18375	1.763	0.00055	3.2038
MIR4426	2.19225	2.6783	1.5593	2.1578	1.66925	1.40485	1.5227	1.9014	1.4384	0.35765	1.44695
MKI67	0.19125	0	4.62305	0.07245	0.0529	1.4303	4.81175	0.22975	0.70745	0.1044	0.23295
MLF1IP	0.2667	0	4.7422	0.09965	0.2772	2.2232	5.00785	0.22995	0.5608	0.14285	0.10405
MNDA	0.64185	0.01035	0.02165	0.14275	0.99685	7.01005	0.0339	0.05295	0.0843	0.0742	0.0293
MPEG1	1.82175	0.01455	0.02225	0.008	8.34115	4.31555	0.0524	0.00885	0.01205	0.03845	0.01425
MRC1	0.00075	0	0.00205	8e-04	0.0936	4.3267	0	0.062	0.03085	0.00105	0.05795
MRC1L1	0.00075	0.0409	0.00205	8e-04	0.2113	6.32085	0	0.062	0.1074	0.00105	0.14425
MS4A1	10.4906	0.2609	0.01515	0.4988	0.07255	0.0429	0.331	0.52825	0.1711	0.19515	0.08435
MS4A4A	0.0376	0.06085	0	0.03705	1.19455	6.96765	0.02745	0.0402	0.0148	0.04895	0.06375
MTND4P12	0.9454	1.2259	1.19885	1.44815	0.79995	2.04765	0.7717	1.61405	0.5798	0.2568	1.0405
MYO7A	0.12555	0.34545	2.91255	0.4182	0.0016	1.8293	1.63645	0.66325	2.26075	0	2.25275
MZB1	1.5509	0.36635	1.5523	0.31005	7.48225	0.04075	2.04915	0.45935	1.3058	9.65435	1.58355
NAB1	0.4632	0.62615	3.8967	1.11595	0.3836	1.1509	4.1483	1.06925	4.39405	0.3928	2.96675
NAPSB	7.57275	0.07715	0.11135	0.0572	11.00075	0.7235	0.39405	0.16685	0.0409	0.01785	0.13
NCAPD2	0.8227	0.7396	4.4828	0.57945	0.59245	1.96805	5.5045	0.7038	1.22505	0.374	1.04415
NCAPG	0.25125	0	3.48205	0.0048	0.01955	1.3867	3.792	0.0757	0.32135	0.11365	0.21785
NCAPH	0.20425	0.06475	3.92245	0.2846	0	1.47645	4.71925	0.1682	0.48595	0.1407	0.58045
NCF1C	5.8164	0.0978	0.1077	0.1555	4.6413	3.2748	0.275	0.16765	0.1314	2.0196	0.10005
NCR1	0.06165	0	0.07635	0	0	0.04765	0.8049	0.9037	1.30775	0.00825	0.1092
NDC80	0.1919	0.34115	4.48325	0.34485	0.1258	1.1404	4.5535	0.21075	1.0041	0.07575	0.84285
NDFIP2	0.013	0.69715	3.3321	0.844	0.09015	0.67655	3.54795	0.99345	3.13565	0.59055	3.13205
NELL2	0	2.0056	2.9439	3.4063	0.00515	0.0671	2.04885	1.5358	2.66815	0.0451	1.2452
NFAM1	0.0979	0.03725	0	0.06695	0	3.88775	0.01615	0.02915	0.0389	0.0041	0.0914
NKG2-E	0	0.1218	1.72705	0.55625	0	0.01445	0.79505	1.23895	1.1364	0	0.03715
NKG7	0.22645	0.783	10.6184	7.7845	2.80585	1.10815	6.6662	7.04805	9.33285	0.1207	1.06655
NLRP1	2.0582	3.08455	1.54525	3.4432	0.1933	1.9199	1.7671	2.23835	2.5567	0.81605	2.6373
NOTCH4	0.0495	0.1013	0.18715	0.0292	3.7258	0.91335	0.2513	0.13165	0.20235	0.0322	0.0276
NPC2	2.7736	1.33205	1.596	0.70825	9.5453	10.15	2.0127	1.19625	0.9417	5.2871	1.55905
NUF2	0.37265	0.06725	3.3629	0.10465	0	1.31585	4.1213	0.14805	0.3434	0.0773	0.1845
NUSAP1	1.1085	0.02555	6.6542	0.72745	1.01365	2.33305	6.74885	0.58745	1.445	0.23795	1.63085
OASL	0.117	0.85155	4.88875	2.7895	0.25945	0.56215	4.2008	2.2359	3.8963	0.4061	1.92945
OLR1	0.073	0.0325	0	0.04115	0.01775	5.78265	0	0.0321	0.04845	0.02265	0.01065
OXNAD1	0.7645	3.76715	3.29615	2.78185	0.66015	1.28675	3.39145	2.4435	3.05585	0.49	3.4311
