geneSymbol	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs
RP11-314A20.1	1.6336	2.65925	1.3664	2.33055	1.7211	1.40665	1.28225	1.5179	1.2767	0.30275	1.22645
RP11-353N4.6	2.30485	2.8334	2.7028	3.6344	0.53835	1.6372	2.43635	3.3531	2.835	0.6809	2.0169
RP11-38J22.6	1.58385	0.0412	0.0147	0.0188	8.01685	0.04975	0.1078	0.0256	0	1.79995	0
RP11-424C20.2	0.06815	0.06055	2.61715	0	0.10475	1.0212	2.56795	0.0426	0.1893	0	0.1258
RP11-427H3.3	0.07335	1.58985	1.07205	1.25395	0.05125	1.3068	1.4313	0.84915	0.8294	0.18005	1.4543
RP11-442A13.1	1.74245	2.95975	1.18625	1.96275	1.78985	1.2122	1.06595	1.89735	1.2038	0.6692	1.9138
RP11-498C9.13	0.0957	0.0419	1.09755	0.0431	0.06465	0.41645	0.92705	0.0689	0.1043	2.2763	0.20875
RP11-640M9.1	1.3427	1.7134	1.6702	2.29835	0.2116	1.3746	1.7294	2.5181	1.8499	0.5709	1.2584
RP11-69L16.5	1.60015	2.02945	1.37735	1.6678	1.28855	0.8748	1.38525	1.3458	0.9487	0.22605	1.05205
RP11-71G12.1	0	0	0	0	4.0255	0	0.0337	0	0	0.02805	0
RP11-792D21.2	0.1004	0.06565	0.01235	0	0.03245	5.25935	0.01355	0.07165	0.03885	0.00275	0.00505
RP11-81H14.2	0.3494	0.0438	0.0949	0.2781	0.19705	0.35185	0.06415	0.30585	0.29025	2.8033	0.1065
RP11-94L15.2	2.45415	1.6525	4.21125	2.1561	0.20275	0.08475	3.16175	2.1937	4.13295	0.80835	2.1714
RPL3P2	2.00605	2.4907	1.4145	1.76415	1.6767	0.9906	1.3999	1.58825	1.2548	0.5845	1.46475
RPL3P7	1.73505	1.9896	1.05815	1.59455	1.43385	0.82865	1.01685	1.3583	0.9402	0.40785	1.2216
RPS18P9	1.0532	1.4538	0.7027	0.8387	0.65385	0.6255	0.61525	0.7847	0.4928	0.2298	0.4876
RPS3AP5	1.3319	1.98985	1.048	1.2988	1.3232	0.5943	0.94635	1.07615	0.8267	0.31845	1.0323
RPS4XP13	0.7013	1.24875	0.5132	0.78285	0.52675	0.4578	0.64505	0.61785	0.68065	0.13715	0.72295
RPS4XP2	1.1352	1.8345	1.06085	1.3545	1.1587	0.7201	1.0628	1.0863	0.84275	0.29505	1.06745
RPS4XP6	1.1516	1.83745	1.0371	1.4294	1.3099	0.85705	1.21535	1.0728	0.99245	0.32685	1.308
RRBP1	0.40205	0.4775	1.3099	0.7663	4.76025	2.9896	1.0859	1.05275	0.7228	3.64385	0.99795
RRM2	0.16425	0.00335	7.3773	0.01125	0.0741	2.30835	7.45155	0.27015	0.24675	0.14665	0.1847
RTKN2	0.1787	0.66645	0.30485	0.08045	0.0176	0.19335	1.45435	0.51795	1.3087	0.00955	2.5889
RUNX3	0.962	2.03735	3.53955	3.31385	0.72795	1.1532	3.3658	3.1896	3.60865	0.18815	2.1215
S100A9	0.0175	0.0971	0.08035	0.11145	0.0709	8.8475	0.07085	0.1422	0.04705	0.25005	0.2214
S1PR1	1.4154	3.7334	0.73565	2.82015	0.0327	0.9047	1.5683	2.98205	0.4611	0.0297	0.81925
SAMD3	0.0963	1.53515	3.32205	3.25855	0.0678	0.14755	3.23615	3.6386	2.94715	0.0525	1.26535
SCAMP5	0.1245	0.09365	0.02005	0	3.56	0.07855	0.07375	0	0.03485	0.49935	0.02115
SCIMP	3.5419	0.13815	0.0328	0.0522	0.131	4.437	0.19735	0.18895	0.0427	0.04695	0.03525
SCML4	0.7554	3.0232	2.12605	3.235	0.07735	0.10885	1.4717	2.8175	2.6278	0.00275	1.1446
SCN9A	0.0018	0.04525	0.0014	0.02615	2.21115	0.37075	0.0025	0	0.0111	0.00505	0
SDC1	0	0	0.0183	0.00245	0	0.02915	0.04905	0.0593	0	4.4101	0
SDC4	0.12025	0.43635	2.17955	0.4889	0.31435	3.53435	2.9573	0.6978	1.45515	0.0751	2.94915
SDF2L1	0.6199	0.62555	4.54675	0.7989	1.94905	5.2472	4.4986	0.8868	1.8176	6.0292	1.6936
SEC11C	2.1012	1.80935	4.2235	1.59115	4.8306	5.2966	6.28775	1.9154	3.95395	8.6603	4.85275
SEL1L	1.44375	1.011	1.86395	1.16275	2.0705	3.1568	1.7144	1.16715	1.5343	4.29935	1.85315
SELM	0.54945	1.3802	0.19825	1.3325	0.1195	1.4473	0.43125	0.9717	0.45125	4.146	1.10845
SERINC5	0.20745	2.56935	0.80505	1.08305	0.14215	1.5878	0.8623	1.06105	0.9401	0.0936	1.0042
SERPINA1	0.057	0.0836	0.00565	0.14035	0.0901	9.49805	0.0463	0.13125	0.0189	0.0733	0.08235
SERPINF1	0.09905	0	0.2119	0.0919	10.42405	3.30165	0.1141	0.09485	0	0.0869	0.0131
SERPING1	0.04815	0.05655	0.1514	0	3.6659	2.61475	0.029	0.08825	0.072	0.01035	0.0273
SH2D1A	0.1767	1.89795	7.2391	3.7105	0.0199	0.1233	7.08425	2.8654	6.1172	0.0686	4.78445
SIGLEC14	2.91975	0	0.02725	0.0618	1.81125	2.5009	0.01835	0.06245	0.0939	0.00875	0.0693
SIGLEC9	0	0.03935	0.01535	0.1602	0.2049	6.0018	0	0.10105	0.04955	0	0.0605
SIL1	1.00115	0.42575	1.2686	0.54215	1.47495	4.936	1.90515	0.8259	1.295	3.84755	1.41495
SIRPA	0.13685	0.03565	0.0457	0.0173	0.20285	4.45205	0.0507	0.00495	0.0493	0.00185	0.04045
SIRPG	0.04115	2.8431	6.00485	2.4	0.2372	0.1417	5.95185	1.52545	6.19635	0.03625	5.3141
SKA1	0.04815	0	2.5576	0.0377	0.00545	0.9441	3.1625	0.0614	0.0803	0.0568	0.0317
SLC11A1	0.13575	0.1198	0.02425	0.0891	0.0956	6.93525	0.06545	0.1588	0.08625	0.0394	0.09645
SLC12A3	0.22765	0	0.0328	0	3.7018	0	0.03785	0	0.0241	0.07595	0.02425
SLC15A4	1.18375	0.15915	0.6012	0.521	6.34125	1.2333	0.7694	0.91275	0.75225	0.405	0.39135
SLC17A9	1.99665	0.08305	1.1313	0.3117	0.07565	4.33765	0.7711	0.643	0.2987	3.99855	0.0045
SLC37A2	0.13	0	0.00485	0	0.004	5.8782	0.02005	0.0044	0.0192	0.04995	0.04025
SLC7A7	0.6738	0.0207	0.03905	0.0339	0.1813	7.284	0.0743	0.0634	0.1257	1.20745	0.04065
SLC8A1	0.0056	0.04435	0.022	0.0163	0.27725	3.6704	0.0293	0.14405	0.06425	0.02205	0.16535
SLCO2B1	0.0813	0.1033	0.0201	0.0475	0.0912	6.22135	0.03665	0.15785	0.10415	0.03025	0.10405
SLFN12L	0.25175	1.56815	3.2141	2.486	0.09475	0.1051	2.80815	2.2353	2.5654	0.0405	1.8902
SMC2	0.38895	0.2192	4.8658	0.3779	0.5241	2.38295	4.78515	0.36275	0.95295	0.30675	0.53975
SMIM14	5.8928	0.30835	0.02125	0.2987	4.88755	3.00575	0.28085	0.6417	0.22895	0.64045	0.24735
SMIM5	0.13915	0.14325	0.04655	0.0651	3.60605	0	0.0915	0	0	0.063	0
SMPD3	0.2156	0.2356	0.2586	0.10265	7.2903	0.025	0.0841	0.1347	0.1888	0.16575	0.43595
SNX22	2.14745	0.4759	0.41765	0.2864	0.838	0.56165	0.50675	0.41705	0.4049	0.3935	0.3485
SORBS3	0.06275	0.78125	0.20325	0.5766	0.14245	2.35565	0.15525	0.4535	0.1686	0.0883	0.0387
SORL1	2.5258	3.57685	0.3417	3.1335	2.37635	2.22765	1.04865	3.418	1.0218	0.10945	2.13355
SOX4	0.6327	0.22705	0.69845	0.18345	5.11355	1.5278	0.80845	0.39355	0.6178	0.20625	0.95045
SPAG4	0.24155	0.1586	0.3204	0.1608	0.6236	0.65985	0.09675	0.3511	0.2302	3.87515	0.28645
SPC24	0.0917	0.04645	4.24965	0.077	0.0233	1.6793	5.05635	0.13075	0.3077	0.06355	0.02915
SPC25	0.1498	0	3.14275	0	0.006	1.26945	3.89745	0.0642	0.06535	0.08045	0.05105
SPI1	0.8143	0.0207	0	0.0054	0.4246	4.59685	0.13825	0.0486	0.0521	0.1626	0
SPIB	5.4711	0.03565	0.1686	0.0285	8.9383	0.09825	0.2875	0.0174	0.0772	0.0102	0.0744
SPOCK2	0.92305	4.86685	2.74615	4.9543	0.2772	0.37205	4.88685	4.18905	4.50445	0.0455	7.90935
STAM	0.8138	1.0321	1.72545	0.59655	0.77295	2.2707	2.18745	1.33515	1.32405	0.4011	3.6507
STAP1	5.1866	0.3291	0.2617	0.0396	3.24705	0.08415	0.5289	0.56595	0.21815	1.0191	0.2019
STAT4	0.92465	4.525	4.2716	5.9201	3.57415	0.47385	3.66625	5.7087	4.52705	0.3476	5.47485
STK38	1.408	2.09795	1.76685	2.6275	2.0754	2.82155	2.25905	3.0409	1.4772	0.5071	1.823
SULF2	0.8959	0.47825	0.1948	0.26275	4.7179	1.8351	0.55375	0.2301	0.2034	0.3935	0.74525
SUSD1	0.25925	0.1006	0.06165	0.0622	4.7389	0.61165	0.0949	0.23235	0.05505	0	0.07495
SWAP70	5.3543	0.27045	0.2048	0.04865	0.70165	3.36775	0.5968	0.3787	0.04315	0.26645	0.3685
TBC1D4	0.25805	1.8277	2.4036	0.90175	1.4394	0.83675	2.0384	0.71565	2.04005	0	4.25035
TBCD	0.57565	2.5008	3.8797	3.65475	0.75615	2.82235	3.71735	2.46545	3.28625	0.5528	2.21905
TC2N	0.3126	4.33455	1.99715	4.52545	0.01155	0.2073	3.02825	4.25005	2.3108	0.0141	1.19075
TCF19	0.41745	0.15415	3.77815	0.2848	0.1223	1.9852	4.6198	0.24015	0.47775	0.50165	0.52875
TCF7	0.76	5.479	1.2251	4.50285	0.33875	0.532	1.53505	2.9783	2.0942	0.0983	2.1128
TCL1A	4.553	0.0554	0	0.06065	6.9165	0	0.25675	0.08945	0.01125	0.11665	0.10225
TESPA1	1.37495	3.46165	3.0736	1.915	0.6314	0.78885	3.5363	1.71855	3.0918	0.0658	3.52285
TGFBR3	0.0257	1.0314	0.69305	1.71805	0.0811	0.1122	0.43565	1.94275	0.54575	0.0023	0.73155
THADA	1.50645	1.0539	2.08985	1.2776	1.164	1.4888	2.3029	1.17225	1.9152	0.71865	3.6534
THEMIS	0.03335	2.0677	2.81215	3.09525	0.03645	0.1513	1.92485	1.3584	2.5038	0.02305	1.4767
TIAM1	0.21985	1.4377	1.673	0.4597	0.06795	2.75395	2.28575	0.61755	2.12365	0.07745	3.3212
TIGIT	0.3114	1.40405	6.91065	2.81435	0.3005	0.1724	5.63195	1.817	6.615	0.11775	7.157
TIMP1	0.27655	2.73265	0.16105	1.16885	0.33975	7.80895	0.748	1.65295	0.4452	1.22005	1.953
TK1	0.4647	0.01085	6.55265	0.04235	0.2855	3.64165	6.7777	0.01375	0.469	0.1665	0.5297
TLR10	3.5674	0.01305	0.0025	0.0227	1.18155	0.107	0.10085	0.0764	0	0.16445	0.0684
TLR2	0.07505	0.00325	0.0055	0.1343	0.01285	5.9656	0.0588	0.05555	0.04325	0.00715	0.0074
TLR7	0.7606	0.01245	0	0	4.19325	1.1415	0.025	0.0917	0.0299	0.28955	0.00275
TLR9	0.97715	0.04915	0.0921	0.0577	5.0723	0.0608	0.2991	0.1392	0.191	0.49685	0.11075
TMEM173	0.1478	3.3658	3.61585	2.0783	1.07995	5.7732	4.2945	3.0492	3.15475	0.1552	6.67515
TMEM258	2.32525	2.0196	6.4916	1.94085	5.205	7.1072	6.38245	1.64545	3.88845	6.2384	3.61365
TMEM63A	1.60575	3.0005	0.44425	1.5778	3.0131	2.6854	0.88265	1.49415	0.9213	0.79755	1.25815
TMEM71	0.0695	1.17525	0.78515	1.29055	0.0951	1.48825	0.65395	1.38945	0.36795	0.0223	0.3932
TNFRSF17	1.1331	0	0.01305	0.026	1.4502	0	0.1157	0	0	4.53655	0
TNFRSF18	0.0444	1.23205	1.97405	0.5325	0.09195	0.4874	3.5915	2.25795	3.1925	0.66	7.6288
TNFRSF21	0.08785	0	0	0.00215	5.44105	2.0127	0.1126	0	0.0044	0.0017	0.0365
TNFRSF25	0.2927	4.11845	1.22535	1.90305	0.0273	0.3143	2.03505	2.5656	1.9208	0.04375	4.3648
TNFRSF4	0	0.99045	0.52375	0.18225	0.3324	0.3889	2.40505	1.133	1.6043	0.36335	6.28135
TNFRSF9	0.021	0.19165	5.29825	0.85795	0.00485	0.8033	3.28225	0.5043	3.8357	0.06945	2.7443
TNIK	0.3848	2.0335	1.2027	1.72215	0.0154	0.7975	1.79595	1.756	1.27895	0.0622	2.77135
TOP2A	0.3527	0.0883	5.4467	0.0468	0.0466	1.62635	5.67715	0.2628	0.73565	0.08525	0.7817
TOX	1.15635	0.9957	4.0156	1.38915	0.0336	0.10515	2.74345	1.3912	3.6441	0.3786	2.5268
TPD52	4.77795	0.97485	1.5703	1.02725	1.38	2.1548	1.37015	1.3252	0.85475	4.8269	0.82785
TPM2	0.06645	0.17125	0.07095	0.07725	4.669	0.28835	0.15435	0.1025	0.06945	0.0041	0.0232
TPX2	0.3085	0.0104	4.46015	0.05765	0.1383	1.5835	4.49505	0.053	0.6924	0.05235	0.4203
TRAC	1.8899	9.5546	9.45725	8.9656	0.087	0.65565	8.89915	6.13565	8.99715	0.32535	10.57135
TRAF1	0.90565	2.5974	2.65625	2.13585	1.04295	0.8105	2.9046	2.22815	2.27105	0.58305	4.2991
TRAM2	0.3507	0.2136	0.1952	0.1898	0.3636	0.6319	0.19055	0.3014	0.06875	2.25215	0.15655
TRAT1	0.19145	3.42695	3.66395	2.96695	0.04295	0.1847	3.93205	1.47955	3.81195	0.0346	2.32595
TRBC2	4.0399	10.67625	10.8416	10.63905	0.28995	0.6645	10.1506	9.04465	10.6748	0.31375	11.26515
TRDC	0.0395	0.6357	0.95955	0.3059	0.06445	0.0296	3.798	4.692	4.76275	0.02705	0.21345
TRDV1	0	0.57085	0.78085	0.1204	0	0	3.44055	0.94325	3.6127	0	0.1557
TREM1	0.1005	0	0.01095	0.06765	0	7.47125	0.0821	0.0276	0	0.0292	0.0639
TRGC1	0.02835	0.82645	1.75715	1.65335	0.0025	0.0068	2.23755	2.76775	3.01385	0.0044	0.24625
TRGC2	0.08075	1.2708	3.40435	2.97785	0.0222	0.05125	4.0855	3.53905	4.84	0.0668	0.5978
TRGV9	0.1142	0.10055	0.87805	0.36105	0.03375	0.0296	0.52375	1.61495	0.71365	0.01335	0.1024
TRIB1	0.54555	0.0144	0.8776	0.1836	1.4312	1.8997	1.46735	0.39735	0.6455	2.57415	0.5148
TROAP	0.29095	0	3.826	0.0283	0	1.442	3.5106	0.03445	0.34135	0.0808	0.17745
TSHZ2	0.1481	0.70555	0.43025	0.12885	0.0012	0.03775	0.76515	0.19845	0.47695	0.1054	1.1
TSPAN13	2.16	0	0.19145	0.0109	8.4075	0.17135	0.36645	0.0721	0.17955	1.2183	0.79275
TXNDC5	0.7819	0.05425	0.67545	0.178	3.3001	1.30695	0.7098	0.2048	0.2603	5.82	0.4058
TYMS	0.13035	0.09715	7.67675	0.16375	0.2493	2.86705	7.7722	0.53395	0.9439	0.1899	0.5445
UBE2C	0.2391	0	5.7824	0	0.035	1.9285	6.3433	0.08815	0.3598	0.0903	0.22145
UBE2T	0.44095	0.21645	5.8987	0.34085	0.1273	2.2449	6.1678	0.14025	0.7219	0.29505	0.3133
UHRF1	0.10655	0.1104	4.27185	0.0856	0.28215	1.9665	4.4013	0.1665	0.28025	0.0056	0.1778
USP6NL	1.9501	0.1162	0.07395	0.14105	0.26875	1.3729	0.21065	0.13005	0.074	0.54425	0.0296
VCAM1	0.03345	0.02035	3.78005	0.73955	0.02155	0.3459	2.32475	0.32555	3.0483	0.0272	0.08585
VDR	0.03695	0.20095	1.71335	0.3503	0.3648	2.3655	2.11565	0.27435	1.58905	0.68055	3.01865
VIMP	1.19935	1.31045	3.7828	1.50225	7.81795	5.10055	4.06925	1.19935	2.4905	6.4732	2.2299
VPREB3	5.4552	0.01385	0	0	0.02585	0.0516	0.28595	0.15215	0.01245	0.9154	0
VSIG4	0.04615	0.06635	0.0317	0.049	0.05745	8.1693	0	0.0922	0.068	0.03655	0.03635
WDFY4	5.09815	0.0814	0.0281	0.0839	6.5642	3.7882	0.2189	0.20065	0.038	0.6043	0.0471
WDR76	0.44145	0.71675	3.80365	0.3624	0.20345	1.64355	4.0899	0.2985	0.92885	0.21155	0.6779
XBP1	1.1739	1.28675	1.69025	1.5256	4.1397	3.16795	1.9841	2.10155	1.3136	7.5666	1.25355
XCL1	0	0.327	3.1529	1.398	0.0443	0	0.94655	1.8551	1.44535	0	0.3369
XCL2	0	0.2013	3.77445	1.96805	0.0368	0.0412	1.54595	1.97455	1.4338	0	0.2439
ZAP70	0.4636	5.7713	6.15785	6.1218	0.0957	0.27115	6.33115	5.77875	6.6859	0.1355	6.5731
ZC3H12D	1.7701	2.83785	1.6881	2.0722	0.2784	0.57645	2.2179	1.29785	2.24385	0.0549	4.3792
ZFAT	0.7363	0.1626	0.62385	0.2977	6.85515	0.72745	0.5454	0.24805	0.4106	0.9516	0.4023
ZFP36L2	2.4921	5.88785	4.532	6.81135	3.8642	3.37825	4.57835	6.1239	4.90895	2.5513	3.6601
ZNF683	0.0071	0.28015	0.9745	1.86475	0	0	0.484	1.19095	0.6048	0	0.1369
ZWINT	0.1234	0.107	6.12795	0.0937	0.16095	2.8811	6.18445	0.0629	0.41175	0.171	0.36185
