,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8
DPM1,0.0679066643417873,7.8007830306106e-35,0.150412086700974,0.442087752860412,0.0234065597241264,0.158009965991611,8.38117925650009e-05,0.379429091343452
SCYL3,0.739801660211662,6.3052505833758e-06,1.1364668719602e-10,0.108334273815633,0.54882446369309,0.0257952272444951,0.00124302012325389,0.0079865015417705
C1orf112,0.506440713855652,3.06130021232653e-05,1.04509663421475e-37,0.000377683482747736,1.4291390197028e-23,0.953518026853446,5.67211761847061e-18,1.37466467956283e-11
FGR,9.48826433820117e-05,2.44014499512105e-27,0,5.25793398884209e-12,3.6764992557168e-75,2.23828422742585e-39,5.64753861079372e-101,1.00967167082596e-06
FUCA2,0.00390065880760986,9.86097551195174e-49,1.05297298472975e-55,8.76805941213762e-05,0.0495814481561553,0.278251183826478,9.58055568904976e-33,7.22947589518881e-06
GCLC,0.970256341323732,0.181028010239103,0.0110690318936024,0.0327607648988174,0.400375977446751,0.127122098181447,0.064527200831632,0.0688617467059483
NFYA,0.00706158511017999,0.0114620021197552,0.0695589402464253,0.0260617411013198,0.289461858400846,0.195762060650501,0.062901461842658,0.228072726545706
STPG1,0.211316041905167,3.00289493027916e-05,2.22175357372088e-08,0.466750686379169,0.748981505900938,0.871738822309164,0.104632828751917,0.181152794838842
NIPAL3,2.54446983108835e-06,1.77358932259946e-16,2.30155713883074e-51,0.0861001201457969,0.0452606703244896,0.101437204483376,6.44202382368422e-15,0.0333551222772082
LAS1L,0.00116283875884627,5.31909475250111e-07,6.68103822854133e-07,0.00160393105495372,0.139464619121208,0.219939147376551,4.27055108460102e-05,0.0646802027456289
ENPP4,0.13070408597272,0.00290068767282832,0.00638702333056883,0.0009870945526993,2.332935420053e-07,0.985791563219607,0.00479330494630538,7.11962941304983e-07
ANKIB1,0.00838154526655139,9.25774298214049e-10,1.90039327670901e-11,0.0393682845561217,0.93494275316392,0.458460279432116,1.04479704474614e-08,0.175750050956924
CYP51A1,8.76043028138714e-05,2.01832100214299e-56,0.474194078525892,0.0451652503337684,1.92656091752905e-08,1.7760690521731e-08,0.537392981971323,3.58177943898601e-07
KRIT1,0.941656363183942,7.41149403380936e-07,2.97163553695083e-06,0.767245542274835,0.170361478213119,0.306800844139672,0.0902491170043731,0.055341030817169
RAD52,0.0652669935653815,0.000493068985513757,0.0266020792578818,0.587003635408127,0.946477962694383,0.0604060460999984,0.942593091129774,0.200291653277411
BAD,0.00697055520794356,4.59847916395601e-45,0.0138308082997818,0.42363553836427,0.0727435021497437,0.0210306799202048,1.71593955637373e-06,0.000218179768590441
LAP3,2.77340877346856e-11,1.15402680103578e-45,1.98840499238409e-74,7.23607872688888e-17,0.0483642244415278,1.24363390526106e-12,4.17728856484067e-07,0.572187683584781
CD99,2.95411727086601e-79,1.81867771965676e-128,1.97425552157086e-35,0.0777005883201052,0.00114815627217535,0.739293342207193,4.66281703339111e-74,3.12842418804855e-34
HS3ST1,5.67091244072919e-44,2.97757476270902e-05,1.50264287078861e-44,5.37763037066428e-07,2.15696061398739e-06,1.77923893604094e-09,2.81823109142563e-39,8.18539839812422e-26
MAD1L1,8.62483838257496e-06,6.36754053955526e-28,0.000903550023492196,0.000882606707498105,0.0109911410989944,0.0701473506814847,0.00103636750845056,0.00148896672910396
LASP1,3.74396338596973e-31,1.85345240878467e-57,1.21409031152988e-11,3.877027924965e-05,3.02392696283376e-11,4.23072175437353e-07,7.21021279117562e-60,0.0203411631782985
SNX11,0.000110772939076373,2.27042475747507e-09,0.128216144855848,4.33083981345923e-05,0.000822303434816721,0.324193613175852,0.53677864834981,0.109062319495076
TMEM176A,2.42790441958253e-09,7.04294141879263e-08,8.13522753152637e-275,1.73622544591126e-10,1.09122871862877e-18,2.5548024511714e-07,1.83515383067114e-72,2.72839271890155e-26
M6PR,4.76893108109066e-05,4.57899189099873e-31,6.37876965080794e-12,0.00937895507651488,0.202404254889288,0.000740541905870304,0.000109420887839228,6.17890662496204e-06
ICA1,4.38473537341525e-28,1.13553076205455e-11,9.61975489774575e-07,3.62094622896375e-10,9.05671738229086e-204,0.00103687622714449,8.77405615000917e-19,3.27353389384029e-33
ALS2,0.645294231705522,0.0313641227488646,0.109947662001692,0.844983838290898,0.483392242154365,0.111150847829778,0.0688388650497706,0.0545603318058013
CASP10,4.28210379801479e-05,1.18263367198122e-126,7.92591753511773e-26,2.67944231138797e-20,1.86136077957874e-29,1.71269649788579e-05,9.16759665670744e-53,4.92779972146012e-14
CFLAR,6.30821170935792e-110,4.83963068264571e-08,0.0168083633273508,2.72944296634894e-06,3.58798164528714e-46,1.09001902094905e-07,8.91432320747462e-13,0.00246910807247629
TFPI,0.174818995294796,0.207183627339571,1.65650424542985e-18,2.04824591614667e-09,0.00498454387652686,0.0436084508467668,1.96125527978808e-09,0.564196195826797
NDUFAF7,0.3731106503344,0.000444978024817965,0.00014037056968707,0.240817255761627,0.0391093249576488,0.707097972248319,0.3298194267607,0.761599633507756
RBM5,0.110448082754018,1.15531223556252e-40,3.01706886683364e-10,0.536492994106613,0.0113213500870774,0.000659573919672257,0.00916735806673562,0.620707152622475
ARF5,3.06612231236612e-09,3.22767726363193e-99,4.65449532437096e-05,0.00281074166224433,1.5742329579437e-06,0.0954407592526435,8.15160316691499e-12,0.00655016056699087
SARM1,2.10232252806163e-06,3.9305862884744e-09,0.00173705189927254,4.98642254062831e-08,0.000595308436137536,0.109079468418056,0.000182599226585944,0.600669287917406
POLDIP2,0.0930670667804864,6.37829178692115e-11,0.066028688006343,0.702599109759933,0.0511432493267553,0.701977732404681,2.24670644099665e-06,0.000192775114432997
PLXND1,1.81092207930324e-25,5.751784407445e-15,1.19709347944488e-207,0.00538662990941419,3.7318278349807e-10,0.00762392690484838,4.35334928586215e-122,5.35254201125192e-24
AK2,0.315456410670505,4.93568330191116e-17,0.0216446517767058,0.00547107661481872,0.153765102158376,0.0683082126018669,0.00281088869192917,2.93693365867217e-08
CD38,4.92802229449559e-24,6.72269286215234e-100,5.81350889848375e-89,0.00185011223921885,0.49249036477361,5.593734449073e-45,2.95328239351924e-272,3.34913823778237e-70
FKBP4,0.044508836517463,2.6044746927825e-25,0.000112328332123542,0.464493676845144,0.00681631198062467,3.21273665837335e-07,0.000229786718108679,0.0014458248176023
KDM1A,0.00920088939523673,0.0110792798722052,0.047905345448787,0.12832937232927,0.0325514735092374,0.0975017812842838,0.903127993938897,0.112448512887075
RBM6,4.60625937880625e-45,4.77760808261492e-55,9.64055254339434e-07,2.39197675271833e-18,2.85492878379379e-05,0.685956151629069,0.774117283381545,4.38578809570979e-15
CAMKK1,0.122357084137065,0.0283988063201487,3.45479081084448e-22,6.31147694584152e-10,0.00117110271531445,0.0206131877427779,1.26376189434776e-19,0.00724118982123257
RECQL,0.268599165277406,3.0802693386497e-15,3.3551921855964e-06,0.338497613752288,0.287157804374415,0.357532100197945,7.64660668706792e-08,0.0316706529143881
CCDC132,0.261101799542209,5.09651285611547e-09,0.354288105494168,0.797664883048503,0.104802201638601,0.332012522930155,0.820827044257032,0.403883043243335
ARHGAP33,3.00459685816227e-05,0.0177719391679266,3.43750844695093e-50,0.161550696724644,0.00397761907709379,0.285600060152838,1.46181947028304e-36,0.00133414100196098
NDUFAB1,7.36295696997819e-05,2.60425308466484e-78,0.000152053210226682,0.940700229768794,0.00125865595568926,0.0115009543800211,6.52586812318262e-07,8.15369276529509e-06
PDK4,1.03563828235289e-07,0.000313517190595267,1.26855936983223e-136,1.99508743388479e-05,1.73843476789566e-05,0.00128215904447086,2.48399749808531e-24,2.08507817512567e-12
SLC25A13,1.2285613474837e-07,2.17750927801866e-06,4.52347398662213e-20,0.358848357093792,0.281296781568549,0.267498550983865,2.85813360423609e-09,5.6129135592697e-12
ST7,5.00118301216835e-06,6.55137867410454e-14,0.0298499552672893,0.332286271206153,0.575778890922022,0.517530922769839,0.0187094388589329,0.560079986766823
CDC27,0.87339962619446,9.06287027482364e-11,0.000455425879466601,0.00717537179067853,0.00256145809629482,0.766678240010819,0.268835459916984,0.174372067638548
HCCS,0.148212412409698,6.52552847386371e-08,9.66791473690602e-06,3.63190941546098e-11,0.61824653378675,0.000584075373952344,3.93020038345209e-06,0.00259370587601521
DVL2,0.0210907663994852,2.69202547852249e-10,4.42815836975213e-06,0.92802604697608,0.369330834019968,0.0943315619719088,0.000120113459690647,0.10336922163904
UPF1,0.059801104336632,6.74233710608081e-21,0.349129854113596,0.121231554459092,0.645506302364906,0.218025645349471,0.388754649169595,0.0163273977050874
SKAP2,3.19278806858432e-100,1.17022354965636e-13,1.12427676883345e-116,7.23476245615708e-32,5.7844452917076e-12,3.34424647449394e-12,2.90440755609474e-127,3.52927688110419e-21
SLC25A5,0.0139892726184951,9.78971846883515e-116,1.78766865161644e-05,0.000152147918166597,0.00017320198792944,5.999357982077e-07,2.15328521488353e-08,8.60003771446276e-06
CCDC109B,1.08102892484017e-08,5.44699905598353e-21,3.72032617433385e-12,0.113924166544568,0.0883223018072412,6.32944484655308e-36,1.35509880047079e-30,6.40796435197796e-12
POLR2J,0.0201530596460608,2.05069948357965e-42,0.0218693811384359,0.115860993484293,0.0565288615479007,0.581456127585812,0.0001608116428099,0.000218113469562003
DHX33,0.337867651173342,0.0237355820341476,0.000351818916603074,0.889407053786067,0.913498762854557,0.361943837366029,0.00239870015799964,0.937173891244129
LIG3,9.24414450034304e-05,7.72068297339634e-06,0.00900092872391793,0.000115636950568399,0.902041114160381,2.69498930840332e-05,0.0832491551762208,0.0645002432685833
RPAP3,6.21824884985316e-07,3.8282110762696e-09,3.69445944450924e-06,0.780930621190681,0.928440531603085,0.243163357085787,2.28428352097201e-05,4.58778967280901e-06
ACSM3,2.12726697719376e-84,0.335686481771301,0.477132056977971,0.854354464402633,5.12255626123872e-14,6.51073966403323e-05,9.42775478827559e-08,4.10421717325801e-12
CIAPIN1,0.0666721623639801,5.94603783985704e-14,0.566102155932614,0.0510733032464955,0.138355514195783,0.611477929234472,0.297410233291135,0.126672927567084
SPPL2B,8.64637700503786e-84,2.62069198920471e-20,3.80982058778483e-09,0.00855887272188869,0.666368630325202,0.0580778927352471,2.37591089697007e-05,7.26600419177517e-18
FAM214B,1.12239434520803e-08,0.0242858606754856,4.05558390014265e-53,0.000176426042241638,0.0538605225564313,0.253105837792324,2.07217580948637e-07,0.0157322712453902
MSL3,0.3059039787938,1.8783843167773e-28,0.0513852302390691,0.310771976654029,0.0878153955874851,9.28116020204092e-11,1.01847024084697e-05,0.0154699006471211
CREBBP,0.977103659155044,3.96933317470348e-15,0.368487251513013,0.661703743908857,0.0137624556610825,0.00766856000473656,0.0447192378285012,0.00193263540912742
BZRAP1,1.55474056240524e-29,1.41973939206398e-10,7.08337670794096e-09,1.57579633408367e-05,0.0932832038835449,0.0183857134465204,1.06057240862817e-09,1.08263707285659e-07
GCFC2,0.309824846513691,1.73147930570475e-06,0.000663643397822232,0.517508602158523,0.712698899207096,0.209413843040004,0.439982322332623,0.523638555952702
WDR54,5.79059713295289e-17,2.45482008483513e-16,2.05804772417854e-35,0.491483092590199,0.43713285134172,0.610384231850786,7.0172936506024e-37,0.518201780407278
CROT,0.801758030635898,0.0419313628905703,0.0110712132268742,0.445813894512826,0.175006912899947,0.014510901853546,0.904208591873132,0.895796055917982
ABCB4,3.55060208985478e-137,4.37185635669461e-05,5.36824523878252e-06,0.00103885826323175,2.00227983790445e-09,3.67293625360629e-08,1.36434103234148e-21,2.42819712693789e-24
KMT2E,0.0674075709009858,2.70792110137189e-69,1.97326852360332e-28,1.24943873741555e-07,5.81040116154977e-10,0.00868967918398266,0.000211488070726742,1.13267740709787e-08
RHBDD2,1.33068435943835e-46,2.00108195662825e-25,1.23989929121202e-10,2.98230801620699e-18,2.4203899159295e-98,0.213989786158875,1.76143049943953e-07,0.00145338843005755
IBTK,0.635819995655131,3.71095362544208e-21,0.841912547443502,0.0481532104608097,0.673251593169611,0.163364785750068,0.314372068942905,0.0227902577661115
ZNF195,0.134353908490679,0.00024277417350469,0.000143941152438294,0.149450520917109,0.108479021174159,0.238729242841385,0.490793705425034,0.310779061699591
MYCBP2,1.19038293555798e-11,7.68836845213809e-19,4.36663608248582e-14,6.88437015536318e-07,6.48720553572122e-07,0.302007594866922,0.0485232411446703,5.02960300366025e-06
FBXL3,0.0777545371292127,1.16177011176763e-08,0.74815438048471,0.923330476107576,0.517387570950206,0.256510964012869,0.0660858398952276,0.102960305495688
ITGAL,4.16414391644772e-102,1.22460998107916e-54,3.17012111099643e-67,4.23521245114615e-21,5.11763957737552e-18,0.0308903133798978,5.70617881833978e-110,1.57607637676973e-09
PDK2,0.517366403207196,3.24458828750268e-15,1.6419290413965e-05,4.57138440357599e-07,0.000321708960249814,0.427049446597023,0.159991812802934,6.99026321091945e-05
ZFX,0.695024158551689,2.28488569005694e-30,2.51840366853394e-06,0.827169101710641,0.893900203658264,0.305550870813098,6.6957623807343e-07,0.0100730052582731
LAMP2,3.56591890344544e-16,1.44970342610713e-23,1.23269612556773e-65,0.000597450942377468,0.524008989179253,0.0177583563072864,6.14716013913278e-11,0.000818357305443688
GGNBP2,0.236165323204402,3.85985736893208e-34,9.42209386059445e-07,3.70513563983182e-05,0.325264960910994,0.581413509285685,0.00194964278090701,0.0196821935648419
