,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8
GDE1,1.02337986099302e-08,9.27895090393482e-18,0.0222485172836936,1.63214122879387e-05,3.37569948369905e-07,0.000266556621109328,0.223205915112472,0.814749363091871
C19orf60,2.64614697702431e-14,1.51891738273164e-73,0.513617656600006,2.487748340893e-14,1.02468951548297e-06,4.37951005928854e-05,0.549777344585364,0.00228036776291945
OSBPL7,1.55865274497205e-11,5.05170304553158e-07,1.61182040656866e-22,0.00174637257482723,0.970886852698529,0.0136598716683719,9.24347870609007e-17,9.53219766620911e-07
MAP3K14,0.000516605656484997,9.03697543758419e-11,1.43603165074309e-14,0.00409105099468929,3.16709699048397e-05,0.000485822504859847,5.23910767068065e-08,6.77832431266392e-06
CCL3,5.16340641191893e-80,7.1298384056143e-32,8.178698079269e-58,1.45651099039236e-29,2.85840184518761e-89,5.04551621195923e-68,2.35165841872767e-193,6.5927671307262e-15
SYNRG,9.02766531402822e-07,1.59701141293391e-25,4.81109844583243e-55,0.655916144110026,0.00480114927404428,0.0301432901873144,7.4623380972633e-31,0.130400037219975
AP2B1,1.65803865362476e-14,2.75856160669321e-39,5.57008772701134e-18,1.43008869992177e-07,0.0024588157520951,0.0137663456566949,3.99773284250146e-39,0.011093726848727
ZNF263,0.0175634613454019,8.55768279665595e-05,0.188195966661613,0.935510216006505,0.00735638096478325,0.231497857438765,0.154172171918647,0.287058866344559
SPATA20,0.505650299584496,1.51276899505514e-20,1.71689724900657e-07,4.40346976049858e-07,0.000344678980673442,0.000125999241878437,0.000243002573256485,0.0491770130676487
TNFRSF12A,1.08319597763228e-07,0.000162477042900386,1.98337605684657e-35,1.05514450213903e-05,0.350817240262797,0.00153989236723987,2.50617018645315e-17,3.55745425653168e-07
MAP3K9,6.78020976861588e-06,5.37299894772455e-11,4.29515317088348e-13,8.10567531387988e-05,0.208327719360948,0.181635129384913,0.797793300933423,0.0528972713790788
RALA,1.60097448099332e-11,2.32152056014414e-13,3.07327265340791e-10,0.198714344597698,0.879130630860806,0.494135579222642,0.021980583905281,0.473015364352778
JHDM1D,0.0632067103645501,1.61449161109523e-06,3.72244455322924e-21,0.131559936415701,0.98569537252951,0.318861360663238,1.62620276284989e-07,0.280231810009541
ETV1,3.45888664356779e-38,1.47545980433389e-10,1.97456874718417e-63,1.9797062587714e-12,6.14100643577485e-19,1.04898168648292e-23,9.5049593885448e-185,0.506143979610528
AGK,0.601387919731644,2.33503618808752e-12,3.21449658104747e-20,0.361942885521223,0.383342503214063,0.0560320267885023,2.17300060961942e-07,0.284908944240268
ALDH3B1,2.32561515884708e-09,5.32003124625952e-05,6.97562836840164e-266,0.0561092573394485,1.91445533920612e-20,2.64896279334984e-07,7.44976953620714e-108,3.77600383130445e-16
TTC22,8.26706563506787e-08,5.68799791458919e-06,4.64666852536782e-28,1.21733916948503e-05,1.71064432050154e-10,0.409520765368854,8.76915279143159e-15,0.00341196019747518
PHTF2,0.0347395591319271,2.12169548330807e-17,4.11616454117081e-19,6.17973808915529e-15,3.95704853667641e-141,4.84760348961251e-05,0.039100010016185,5.34377071137614e-37
FARP2,1.86392250740235e-68,3.97442234638607e-22,0.151589133519953,2.00596108159496e-20,6.80224129717558e-07,6.8969091867871e-10,1.54613964783554e-15,1.61557082694919e-14
GGCT,0.869551259511112,1.246352594404e-11,8.33680445957611e-06,0.144662344684712,0.69715656321672,0.000150303944109365,5.14109451681528e-16,0.206087515664545
DBF4,0.0241896034914593,4.97591937912418e-11,5.59459157838931e-44,0.000162199195143051,2.76239487461436e-05,0.0751568420130539,8.49870100856682e-11,0.12802431680599
IFRD1,0.0189192702030238,3.64168153435829e-47,0.233132251967683,5.76083601260188e-11,0.293276116861957,7.32773935090459e-09,2.9819863870838e-23,1.12567505559112e-31
COX10,0.0679082821146843,1.34104239773747e-11,0.00694190803092597,0.159307354333335,3.47353775847645e-19,0.963867779450109,0.835407839641079,0.0762304017043202
PAF1,0.999132391827854,3.12009594449988e-47,5.11902286235198e-06,0.502023288923417,0.0215723326880601,0.0247890789951731,0.000246273861844863,1.02081131300856e-13
VPS41,1.45437264809451e-07,3.93934100185427e-23,8.92451537604415e-13,0.436929063783581,0.310414447592917,0.00246726170880032,0.0106478459312358,5.74520454672247e-06
ELAC2,0.0839867378944558,2.29148850449391e-15,0.0168456444611711,0.29448523870055,0.0298531854699868,0.338759947651567,0.0718402594851871,0.375282274062026
ARSD,0.0221323711581971,0.000620172952520696,3.88311987852589e-28,0.395658868846698,0.0120406034558734,0.000207696894937834,7.44290101410352e-08,0.915923932629684
PNPLA4,0.0602061375012448,9.95484784200638e-15,0.0530023229554646,0.231302050314598,0.0089812782995473,0.333095633744762,0.00129633685097616,0.00285499782580802
ADIPOR2,0.0277256285891282,2.43101623949236e-12,0.0168634631748317,0.721597776176898,0.727466016196425,0.00114223515080648,0.0261737981490357,0.224057985863838
CDKL3,0.53173022167909,7.1719103183117e-05,0.00575733067408383,0.443441457266237,0.437311048880766,0.676310085986442,0.0298243736880211,0.31634129997512
MARK4,0.000122837716652742,0.000646123007197081,0.478425329978812,0.000242781070208257,0.957325165216914,0.00518201766313244,1.1954677765743e-07,0.205259952190086
CCDC124,0.00431229974945598,1.86450152578165e-47,0.0151196277920952,0.0226389471470129,0.0101257615109358,0.0514687255430998,0.00763277348267951,0.0416094755771824
CEACAM21,0.0073798250577159,1.19858966168074e-08,2.28391988231722e-19,0.00795466320147608,2.59384882864034e-10,0.674036093275831,7.79052541858163e-18,1.17455669249008e-07
PAFAH1B1,0.0060778090770795,2.99133024620064e-16,0.0011818508773087,0.319830391160305,8.07815827672079e-05,0.172315029501196,0.108522065115362,0.00946992433499172
KIAA0100,0.182458900116103,1.42732577430779e-16,0.00319836485790883,1.14004605089306e-13,0.00880801112462107,0.0325901510539794,8.10513239989653e-09,0.788917909415481
GAS7,3.19453315568251e-12,9.95918506671065e-08,1.47542026609864e-91,3.19169867128796e-05,8.66798306458708e-18,2.1024079946855e-11,0.0574784882488912,0.500639912198916
TRAPPC6A,0.0616576304992211,4.38064211947203e-27,0.0656554652417617,0.97012113457513,0.0472058468255981,7.56725750051277e-07,2.0744152152509e-05,0.217600159879584
MATK,4.39190302042272e-22,6.99683212742761e-11,0.00578345340558624,8.89958217874371e-10,1.0357090435825e-37,8.54895475834634e-06,2.60627421844342e-08,1.12425313696733e-55
CD79B,0,1.04026923066975e-72,7.27709163565729e-58,5.39125996365399e-22,1.23809940032606e-11,5.26572232252166e-27,3.81297070126662e-21,7.31040065871102e-245
ST7L,0.446272404870963,6.86572018119748e-13,0.0359577131085627,0.0903460433149913,0.000280082840759326,0.0426177070206847,0.0763100369172476,0.366697048835916
RPUSD1,0.00312082010493891,4.53100734661091e-13,0.000526557959147226,0.490001047674094,0.0621853171078002,0.579372281354777,1.22351181911151e-05,0.495361891429713
LUC7L,1.96833313863239e-07,4.23518393450519e-30,0.0210735348040429,8.83176631957621e-05,7.47309065743931e-07,0.14600625310737,0.00192455280880766,0.00459401773176809
CACNA2D2,0.000641907424795192,0.0252940821431358,0.000375786026817123,0.0649478180286377,0.0246555477036526,0.034969679925329,0.209099547262683,0.272647872292256
TSR3,0.113572177201458,1.11315362942826e-13,0.00752255861176628,0.0705697913945528,0.0606729505825081,0.348480823518701,1.87158953848401e-05,0.00226525300663847
PIGQ,0.119352689623868,1.10908003730336e-14,5.80407636849779e-11,0.00226573369054782,0.373269782702481,0.790908231181832,3.92507971148172e-07,0.0650717394751496
CRAMP1L,0.487497843312819,0.000354358474715787,0.755293009162646,0.128675068138188,0.585124570005131,0.120476000700798,0.939002246097586,0.261943278107988
DNAJC11,0.00304539161283532,2.02242362708746e-39,0.852369995545699,0.310327424825259,0.540660232397282,0.168315210589946,0.0038588621183179,0.000489610325695226
MYLIP,0.00933205191492953,1.49862789335265e-13,0.0476541905488525,0.00143504843643682,0.580510069388693,0.164715469565947,0.231519654880372,2.09910939720007e-13
E2F2,0.000357311183043699,0.01061440370323,7.01809901808144e-47,0.715360580400084,1.21953103913687e-05,0.740260033152323,2.50974713191558e-51,0.00186073868427847
PSMB1,0.000189766643179699,3.34766391983778e-46,0.0694353396500234,0.00372272909223231,8.55739909175936e-07,0.096255624336431,1.33200599022172e-07,0.015693675870651
JARID2,0.173931623168593,1.53879648733618e-22,2.44545560150141e-05,0.00147426287428575,7.95086971166351e-11,0.00885245509388989,0.000416168411039339,9.49920365287031e-12
CDK11A,0.0429967077705843,2.7131936714178e-36,4.76125008304107e-07,0.590426665988224,0.0270871492950536,0.235175302900006,0.00687797719929802,0.000334011999260141
NADK,0.000283418055599046,9.61808283302513e-05,2.56836981463106e-117,7.05846446140698e-23,1.98848114253129e-17,1.36529429139007e-06,9.97091703732369e-33,7.78148597866271e-14
DLEC1,0.240787753990024,1.17691759028485e-11,0.00105986767445196,0.00229908089894021,0.0166361777467211,1.26757701911548e-05,0.379278356550622,7.70227518446488e-05
CYTH3,2.53853970525493e-11,0.0036600029037314,0.26586125054626,0.198053379765466,0.222550140815464,0.26603475468524,0.267502662145349,2.03106556099704e-07
SYPL1,2.46312841186924e-159,1.50239546088295e-23,4.89091364936491e-07,0.00797823559808496,0.33263143607718,0.353198053258835,1.61967037735053e-66,2.21947442533435e-14
CYB561,6.73834269679472e-23,3.72400800910937e-36,0.00156420764662464,4.61595418470643e-07,0.00243595453460731,4.22723133749907e-15,2.4515537547839e-25,1.03440560084568e-15
SPAG9,1.21476803119993e-06,4.49347330293491e-11,5.94439598047168e-08,0.182393388450685,0.845531532152392,0.00883006185342866,0.00630167720057737,0.499327499450648
CELSR3,0.000278877630442084,0.00161114138725429,2.13702895434969e-07,5.19729265235979e-05,0.439613070380991,0.229736978750863,2.64977894299221e-05,0.0005644576729713
AASS,5.31487395984002e-13,0.00165957663538204,0.0183080691415461,0.556796837936118,0.827048970050423,0.673234273792397,0.000456739225556258,0.141198290189103
SS18L2,0.821330359782775,3.79031454748696e-67,5.63358898419628e-20,0.0127599067961527,0.000182547695975132,0.000217756457748553,9.32960604232379e-15,0.394480686479458
MGST1,0.000104852383771493,4.94551726054305e-06,2.58539203537052e-53,2.03476174282015e-12,1.35753661632518e-08,9.04119717191438e-05,1.33072010733765e-20,2.36502895451734e-10
CRY1,5.06068818130945e-13,1.56011650108064e-08,1.3474374200883e-08,0.319797171817154,2.29051672706444e-12,0.281197074029172,0.925153653734305,3.24233667973395e-05
ST3GAL1,0.139528363794685,2.09491676134447e-47,0.000328129619332765,7.41987833308279e-10,0.00118526775059349,0.000935879390140194,4.65971727844751e-06,0.00024803698766604
MMP25,1.11013083889906e-18,0.000122634483418872,5.76406758616191e-07,0.754238529336834,0.474594079392968,0.128399893846819,2.92851835297648e-06,0.00140363428148626
IL32,0,1.40303936663396e-162,0,1.8741183615069e-166,9.78968393918518e-265,1.69747080988408e-16,0,2.494955603884e-121
PKD1,0.321076642232513,7.12024513994582e-12,5.16839882577733e-08,0.47563337426157,0.0280160926834308,0.219833028369712,0.0634015889557516,1.28256042564957e-05
MED24,0.832999448313359,1.15980421745584e-16,0.000185748874969992,0.22014080977153,0.00412345891480505,0.506219308652774,0.00240085482365629,0.538155737132521
RHOBTB2,1.53637359214415e-20,0.00013205513713049,0.0146408736407575,0.984328406456983,0.274018419503643,0.017381502583965,0.109564458843885,1.37964940787125e-08
HEATR5B,2.34789103388414e-25,1.24321169075654e-09,0.204182163664453,9.2862292204553e-10,0.126711050189183,0.00909116570097441,1.85108889506738e-13,0.000109357352229127
SEC62,1.3997933290735e-21,9.20379849533456e-91,0.00524923415952062,7.21620162119728e-05,0.00481784640619287,0.179817036669822,9.5622048103643e-16,1.21924990066957e-06
RPS20,1.24083693623422e-61,6.80285056272409e-306,3.15192854842053e-23,1.8432896067877e-05,2.25212145897149e-10,1.04033785297546e-27,1.14667306113375e-08,5.09064237684936e-09
CSDE1,0.000272174813925502,8.30546256228175e-38,0.172917547827819,0.159195809000394,0.0136993105792145,0.129281404450361,0.0167499313326497,0.221661032985826
UBE3C,0.000605867263702963,0.00343078014913546,0.441575705232195,0.345219417373807,0.179296856902112,0.82521884036786,0.0261975837385053,0.442382421056815
REV3L,0.470807533582471,8.05622982265905e-09,0.107965073570492,0.0972561423050338,0.183280893201538,0.853510412977462,0.101067117370527,0.178079652018777
TENM1,7.0608798126805e-60,9.36515871276242e-11,6.7626825972055e-66,4.84223519651588e-09,1.32520536741522e-08,0.506546899434103,5.1947220341984e-26,1.43589315725629e-09
FAM76A,0.0614129832809468,7.06166387116024e-22,0.0234494278238962,0.0164684863454628,0.0064770823028407,0.101847271554528,0.943170311939999,0.166072424384561
TRAF3IP3,0.000150455587615395,6.0522913760291e-49,1.52108521815478e-101,1.50195096720911e-16,4.368856474446e-39,3.28758421977206e-08,1.49531188939726e-64,5.12471163036163e-20
VTA1,0.488815906434132,2.31293269700758e-16,0.846090625050095,0.0445214880633118,0.102993866052214,0.826120906805866,0.00266612271780981,0.328964143777102
BAZ1B,0.00457037088621402,5.09137381269392e-07,6.67283509829703e-16,0.665163513921505,0.990454801247055,0.917531360335621,4.44283641499747e-18,0.957141130019059
RANBP9,8.44939628514181e-05,6.90477692043925e-08,2.81079491305254e-06,0.860221562285525,1.59429212942092e-08,0.555838602637757,0.0049009965351522,0.195264280708065
ETV7,1.27256053152512e-25,3.81099191121298e-08,5.51040805587179e-07,5.35155803881418e-16,3.27638171870031e-123,0.000121588266301261,5.8722313000163e-08,1.05004077181211e-43
SPRTN,0.841878870197163,8.81972211143123e-07,2.76259953227067e-05,0.0656306907049105,0.0625564548502562,0.136705551220035,0.000504401829282573,0.204239337090714
METTL13,0.986409811480309,0.000579101010262818,2.83978085770144e-06,0.964605385738541,0.0269308175822153,0.569822397768588,2.85017592052984e-05,3.05659948795418e-05
DYRK4,0.000171573411351821,2.03765467516405e-14,0.00177358697141745,0.0217535281205495,0.264070658485251,0.216682632860163,0.000713774555314036,2.56741106706383e-06
ZNF207,0.898072219004727,3.19491771050477e-30,0.167427334832329,0.500848218122324,0.000444944424376518,0.790183277592281,0.143854337174778,0.72234820219929
UQCRC1,0.0144733741775044,1.52046502884826e-45,3.76892317430332e-36,4.6874122803541e-08,0.000211407495165265,0.000392423072333878,0.161646937081926,0.000864663719988768
STARD3NL,0.00485354691623177,4.88360787241544e-11,1.15242463049927e-05,0.83323513661228,2.70965264325235e-11,0.0295082028732353,2.66530728465709e-06,0.331675801888189
