,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11
LAS1L,0.222493245333732,0.267148474873274,0.0141362515276331,0.00564164133029962,0.340514549495725,0.092445752188204,0.00912206775176877,0.00719808214387565,0.175235242971358,0.0351335118278118,0.000293489889183589
ENPP4,0.0427383072754412,0.219085519143465,0.360078063968945,2.58167542204755e-07,0.0883559911131767,0.0238408839546067,2.90601330623901e-08,0.0703506672906136,0.307924333644049,0.759309667874882,0.0784622234773488
ANKIB1,0.817968823089908,0.626671297546478,0.628894485374666,0.496463711494095,0.141717810623415,0.529855328235103,0.116012790583329,0.163104605229411,0.0920300064802466,0.122208601567653,0.00818175855990156
CYP51A1,0.960481349447961,0.0349631598623227,0.0251598712512827,0.859723069013307,0.0166222188673398,0.000800364484005399,0.341700354776363,0.481163252774206,0.297459382946334,0.950841723269513,2.02299340722182e-18
KRIT1,0.359224141920634,0.549941120309493,0.207670704809171,0.290526279347179,0.67193178834236,0.12756139265332,0.423695030749167,0.506404129676343,0.00286154383088681,0.147909245204883,0.0236386610290518
RAD52,0.357727574086771,0.43293613623761,0.513096420628586,0.250372206768686,0.731289666010708,0.540919274437418,0.162396729530094,0.153824498527008,0.0954785964430632,0.119260437857262,0.00437555774369912
BAD,0.00836796876188163,0.0326430553593268,0.159516836982435,0.151962172716422,0.635362187181536,0.929841985820554,0.052199788658138,0.101209528631603,0.223049047143655,0.452133545771838,6.54697385200688e-19
LAP3,0.207808360674007,3.64676445005184e-06,0.783631695666763,0.00116956875255101,0.598652248449553,1.40825409579438e-20,0.0246244269832413,0.102247864045475,0.895550930437231,0.421900603167124,1.2491505085865e-16
CD99,0.0102286907760251,0.0795195148853553,0.0293131699278895,0.181360459342182,0.0205622377517346,0.525389415618089,0.159602040983537,0.255005016424742,0.000368407628530475,0.000708377086124583,1.81441677591198e-47
HS3ST1,0.0241705724530848,0.0469793443301912,0.987058629645173,0.000470520485734177,0.045819049864943,3.66094872148267e-06,5.86981158250181e-05,0.00107661558845609,0.0533491290598204,0.173026490723001,0.034102961725543
MAD1L1,0.000519425245793972,0.723918935617988,0.00302808147127032,0.0073716043111325,0.231303601943406,0.237798505772212,0.0826818922760731,0.285162191006083,0.183845399517265,0.270658652535985,4.11520493070734e-14
LASP1,0.105821366047802,0.072463643731538,0.00115860479428836,0.480784761746306,0.895021601992523,0.0448771574509436,0.425521022038247,0.350507596394176,0.00976984770750749,4.93518204615073e-08,2.32208001377163e-26
SNX11,0.0406600015947882,0.0553345716864479,0.0271923178835215,0.45186961452607,0.527798464428791,0.00316210733467673,0.204623921378141,0.0635187102712058,0.189014992629739,0.42137209365366,3.06101008875857e-06
TMEM176A,0.369704922276849,0.21494979255692,0.596497466866461,0.00217153147458093,0.0460198068657498,0.142300083972718,2.97805441365503e-16,5.4876754373266e-08,0.0440745772810032,0.258317182550669,0.0041237340215562
M6PR,0.61787661695203,0.761579268494875,0.511114929006562,0.276363741808256,0.151080689721574,1.89703587671312e-06,0.0543457804458378,0.479339386339474,0.961502166439894,0.204928211057584,3.89057506201858e-18
ICA1,0.0501890051923485,0.408858261264866,2.02574001881957e-22,0.0218179635842474,0.000931361341452997,2.00655208178928e-06,0.361081057942105,0.854961949932314,0.286840098582368,0.0566478000432119,5.26210703184972e-05
ALS2,0.748586414035366,0.285592356341685,0.118369498412451,0.0158687271272203,0.746538532116838,0.780260808326236,0.0159498055131307,0.108092306936635,0.0186960171036526,0.624387104214996,0.64439835775988
CASP10,0.0649008115436812,0.298909808666018,1.99552567961747e-06,4.56146587502028e-09,0.000273986953570116,0.000643216491334839,9.55801800487512e-07,0.00278039394164195,0.0462887744710192,0.00915591155120675,1.00315753252599e-41
CFLAR,0.0527215452593418,0.054409292073559,7.92980329413997e-09,0.665956316581112,0.283335049163329,0.0160263401560654,0.792779324632081,0.269783299257807,0.849431321097515,4.64713226164453e-07,0.000377708557573722
TFPI,0.579992598695025,0.472336296962945,0.70886158642128,0.546794358169819,0.10568730208822,0.00113749768496646,0.276796140920547,0.103899619279133,0.0884597619796418,0.501960394429346,0.851411182111723
NDUFAF7,0.671461335781239,0.623220360302807,0.473187578649516,0.422233177195277,0.963947929812717,0.279693312103291,0.1697000602532,0.0239661849748678,0.529880765643908,0.899254895638636,0.090389273723174
RBM5,0.20278793712207,0.183339404674814,0.0118362459361665,0.393871079305304,0.894637843346514,0.459401185318083,0.127962384223707,0.332941873923385,0.147503125970453,0.488658236773509,1.41906142033252e-17
MTMR7,0.289514767125663,0.683441936028131,0.462037477158096,0.549826516910044,0.70961211121405,0.392540403802557,0.458368774528416,0.0612676690332017,0.973183882767541,0.566219007002543,0.241507051795738
ARF5,0.336566424043246,0.04974063380994,0.149527169336665,0.46797716400809,0.0567347086574222,0.704413446519895,0.391494432039158,0.02706694752498,0.0308291458738196,0.151446363032169,8.76328036858621e-37
SARM1,0.0140496168337443,0.258754543717914,0.0191935153657062,0.276456669345728,0.882836440602407,0.000225967454401544,0.425973182361314,0.452767699821202,0.352624140643817,0.0623849219907631,0.000470985408886489
POLDIP2,0.41104051610424,0.232199834794112,0.18683805922598,0.87021180765666,0.289305207119959,0.0310185017052012,0.708831406991318,0.993702785660127,0.042847715961562,0.582253105698893,8.62642838538539e-10
PLXND1,0.170141504826479,0.93704543176391,0.164050896815635,1.35702368943407e-11,1.06643199415067e-07,0.0780259164776193,1.01170327544779e-37,1.55647504069836e-12,0.000134785070388143,0.986092471416063,0.00449268329356263
AK2,0.604069646976386,0.0520409409334043,0.884927384762548,0.0645358776232312,0.0346226741704715,0.0373044270518842,0.173863408318991,0.780068081261714,0.381122840337231,0.455835950631371,2.24585315217894e-07
CD38,0.484867507226146,1.28799066214267e-13,0.230357568148135,1.52073919110091e-05,3.823668680607e-15,0.00288684009479088,7.18775099268208e-32,1.00091696696869e-05,9.16222327470575e-05,3.27255551104632e-07,6.55819093059602e-30
FKBP4,0.0148513702648854,0.137918140858839,0.0411531215823308,0.563294974525483,0.0131968198445885,0.225851939568526,0.117279123868922,0.544600896165059,6.59243291085159e-05,0.610893540279335,1.20809158454893e-14
KDM1A,0.255653092424745,0.0577403931363787,0.208147433331855,0.0543629939684073,0.270773517263194,0.00444354412653193,0.183957408312802,0.701790382670099,0.538524847908934,0.0271169409060234,0.0262285557065223
RBM6,3.97175259797664e-10,0.0808437925423835,0.0208656290450409,0.932489082898579,0.0608824413015356,4.30691135833622e-09,0.0601820780254111,0.9952927049579,0.848339574807261,0.11419589975161,3.48034892291301e-17
CAMKK1,0.328595727013827,0.124832924019106,0.424473904347454,0.000662078752361019,0.816702994505852,0.0229740666983834,0.00013337752580139,0.0357235066427083,0.69660320048121,0.00978456107734458,0.00277391761589276
RECQL,0.615715825387212,0.482827077751867,0.345523519774278,0.2317980509225,0.45930749966271,0.168293644374079,0.176196626854692,0.559693343589729,0.846938704727423,0.341002156134656,1.26748926946903e-06
CCDC132,0.920201468095916,0.170881386736461,0.889022331475614,0.380132085203792,0.729715855043447,0.889163646566353,0.0702272545908551,0.218288377540125,0.0326799499850894,0.814808870855692,1.19150131125339e-07
ARHGAP33,0.22337660058381,0.75958702963214,0.931671929584583,0.00467444666488354,0.3789745540557,0.172667521935043,1.22735566223824e-06,3.50653884984046e-05,0.401759957227747,0.190333821451672,0.320580417344325
NDUFAB1,0.707655123141927,0.020182635016473,0.168248784545733,0.0147709494792242,0.00214872213740724,0.149022861920037,0.216774845097113,0.0233012360730544,0.00409421346986576,0.0198094902953623,2.13544254532075e-36
SLC25A13,0.000131650058490197,0.760355239373825,0.770735043454966,0.990027779313748,0.820306304981155,0.702563351835072,0.477225952929685,0.0164661631168005,0.402527289684081,0.0349388918918567,2.10206884851938e-05
ST7,0.158687512267332,0.0420716300032224,0.736387685606978,0.0307775365703747,0.801233206981969,0.0130310534376922,0.00239702942675105,0.172471302649987,0.874355479902311,0.356190874724363,1.66434406023647e-05
CDC27,0.295592310651471,0.684533782930257,0.444761581575562,0.0845174642405469,0.193686635787753,0.0259313452905109,0.220243569103673,0.0297849177542452,0.059277819694593,0.0438441466847421,9.5495627567838e-07
HCCS,0.0179223625263452,0.721836947722403,0.374925647852619,0.70836225035508,0.0386665076977661,4.35261663204287e-07,0.730261127507366,0.101114186916758,0.253533439926955,0.147606203849131,0.000560462239393566
DVL2,0.904603811493469,0.699472140482138,0.133025137991024,0.015818066677017,0.375043066780967,0.824507304615255,9.59339221691867e-05,0.00112039425847258,0.276661785009361,0.466231114454327,1.42581838479063e-07
UPF1,0.663500443232915,0.676171427430812,0.821676608842527,0.734538811864373,0.216939319468627,0.144315750708656,0.31664404281903,0.40505310306337,0.178582042965451,0.897453107191961,2.42494414138513e-07
SKAP2,1.18442127198652e-07,2.90368666250765e-05,0.137554882258613,1.64961797867322e-16,0.252132980778616,3.80078395744574e-32,8.1027783899608e-17,2.67203050196414e-07,0.837352572792608,4.73048565994329e-07,2.69865026106003e-07
SLC25A5,0.697342202545839,0.00466290045734531,0.255716494639603,0.000616174910477522,0.7625107471598,1.93368867401411e-05,0.00135343463845514,0.0274462050954649,0.0369090100283308,0.687104208774349,6.52951870176544e-42
CCDC109B,0.167718801329169,0.000146367812378345,0.413401868971539,0.0350050571950292,0.000171894560096222,0.0159339236321148,0.0228456978669588,0.00973126589999285,0.0448600459861671,0.603039929256325,9.81930064873154e-19
POLR2J,0.773627147762644,0.800932998443582,0.98997859429851,0.145806973194343,0.00544985116183518,0.00318300888600525,0.0636224576751673,0.752578106697361,0.238623791128819,0.0870964841773005,1.41600357993974e-15
DHX33,0.752354329987329,0.0479044513254173,0.244069846509226,0.517459586159662,0.534595596827162,0.942742551705922,0.0111100073754844,0.00151867952242296,0.434818902509208,0.0686302344798461,0.310961506212368
LIG3,0.00610062898375673,0.120308602566113,0.649577500325058,0.154782266861804,0.141352456752122,0.605213340803639,0.0791978196237483,0.460180150250752,0.23347682344697,0.282017680148706,0.0192683406435267
RPAP3,5.17826638951028e-05,0.305034725760344,0.333822473256758,0.0381770474399317,0.109229968902506,0.892197625911057,2.83483831348312e-11,7.99059504701723e-06,0.0171765697686201,0.28113888363475,0.000778247586191666
ACSM3,0.176782630958772,0.0164042798432996,0.0101817806689883,0.0168862525058906,0.04333552148925,0.221965193572679,0.133914289377553,0.467020784177508,0.296907397279499,0.121371361059354,0.392659843208444
AC004381.6,0.109719649903153,0.990128504833121,0.560101176491319,0.0827796181722315,0.672467941516238,0.603430643502707,0.00316036041299774,0.0415960527695793,0.130917923649697,0.614286175370919,0.019612223994133
CIAPIN1,0.34451000728185,0.479842409680876,0.544203302121911,0.182381137379419,0.911487259320509,0.0775121204682826,0.171651641034427,0.328621211432711,0.211747036955518,0.0839620370254958,1.12140445763023e-08
SPPL2B,4.80778209005561e-09,0.716634402082653,0.940909963830265,0.31638503145954,0.00365736731052992,0.025581171260555,0.820919852449674,0.282012078758145,0.925830440994003,0.227886706025272,6.53492759517934e-09
FAM214B,0.238782520515049,0.620996439445381,0.00287325861026221,0.18624901140972,0.847717442445677,0.0853614924260859,0.00364202872817032,0.22615122047054,0.218967974656018,0.303878465459439,0.580052145823288
PRKAR2B,0.246868664511367,0.297123275629569,0.171000657756428,0.0862918391752832,0.382119198259796,0.00207383460973167,0.00539312421765774,0.20795067162545,0.385961756333465,0.760822328082717,0.226316194496132
MSL3,0.995360767524099,0.00281508462559073,0.23036539868751,0.0746706793517533,0.979320878060685,0.930277640100691,0.0656044282127035,0.0960284196154269,0.156367659880308,0.160935147474242,1.56834333637111e-11
CREBBP,0.035813371435903,0.241254113868408,0.374278646979906,0.778408527048846,0.138007017722173,0.287362022725813,0.369613851715698,0.755069201707621,0.154966916346444,0.73086513764292,5.66712917448471e-07
BZRAP1,0.000160902590760536,0.813330112660792,0.48120435497476,0.766193528997099,0.0697612897754339,0.0202916602857508,0.00641910915921204,0.0630989474751609,0.859593715422869,0.101806478001342,2.73138633129608e-06
GCFC2,0.937320950160932,0.208521106871758,0.763344506935212,0.612099127803677,0.716995036686019,0.519990754946997,0.581939691115364,0.327804829212835,0.24532028785228,0.0338057473117223,0.00115305690956229
WDR54,2.49594164022483e-05,0.0587500850805367,0.961190638368785,0.000585060474082082,0.201157097539123,0.280358543241285,6.15433892951768e-12,1.03239635532856e-06,0.74757491145502,0.08003576145074,2.44686259929285e-12
CROT,0.853852370173883,0.241205836164982,0.223960448769542,0.141669132481929,0.678901963353324,0.177747312075557,0.720818121007624,0.0775939684073147,0.541084422125919,0.901189315327932,0.0144036363972278
ABCB4,6.84354158425886e-14,0.765522368171912,0.441558442280268,0.00279856717086773,0.0646163113515424,0.0210898053317854,8.22649095078268e-05,0.00156671995278075,0.192943202318707,0.0291367519745352,0.0389644916672393
KMT2E,0.0999377123213461,0.868947365042014,9.51049521179749e-05,0.922414078758985,0.00703179338677815,0.310179843257513,0.531117044660909,0.213380990518884,0.921917191515179,0.238634397224496,2.19712542884573e-26
RHBDD2,0.00538011814968868,0.162421795640046,3.34730762604919e-08,0.41711777200844,0.00694842710134037,1.07605797934457e-05,0.130035093643711,0.0170743162977762,0.772005249036654,0.0391114862181986,1.46947870151909e-08
IBTK,0.00717981542453821,0.017935653772323,0.242089904458976,0.0299523872157247,0.152698629234766,0.1663842811756,0.00284192613979291,0.144675858888968,0.65725952338813,0.575938207026199,4.681845038233e-16
ZNF195,0.226372880807239,0.0475157291599488,0.42270954769748,0.874955971719414,0.509662583001468,0.535046029321178,0.0355004538585877,0.170815884093344,0.999522102423475,0.320834251580214,0.170763311331337
MYCBP2,0.000965490874779424,0.23446175400996,0.101550169532542,0.624342738394446,0.99298461034441,0.0312337195540927,0.157772778369613,0.922023133679726,0.0215910778541986,0.10987385117189,2.72481948196124e-10
FBXL3,0.313729044708849,0.0843381945947843,0.301790556491341,0.424956084801471,0.764208188974846,0.241759413242355,0.444661990617266,0.163203455005756,0.454049733675102,0.875573184449515,0.00136296701450729
ITGAL,0.0177436746579402,0.0754666703603497,1.2818165795318e-06,0.0753688607495519,0.488836748434102,1.51706642090435e-05,0.0286513723465428,0.282084557208418,0.103496666462761,3.34424928127073e-08,1.73977793553662e-26
PDK2,0.219569723029331,0.914895097616911,0.039654539090873,0.209005524653008,0.323055943765744,0.0109762685115503,0.712585313479419,0.794465801786895,0.0825658500246256,0.0807551384658298,7.38467084195002e-12
ITGA3,0.0206868804837026,0.395493722110923,0.174645193630096,0.720088880707015,0.684039722532664,0.0150859968802091,0.109887963016225,0.069589800591959,0.121672306115775,0.481838498671656,0.0240817467655202
ZFX,0.281775133993728,0.00894030932516127,0.772310069161892,0.820961033195943,0.0550606542595137,0.745670970954669,0.652984703470123,0.855037027290996,0.44903420601654,0.970842107218815,2.00887387014198e-09
LAMP2,0.0503039047393293,0.430861303474863,0.226969115648094,0.00028265734089028,0.575919384632417,1.02297671571395e-07,4.7640731328261e-08,4.24652622562236e-05,0.0538511364460109,0.206452912519761,6.61522382901246e-09
GGNBP2,0.385159411530694,0.400169452296583,0.65618896930009,0.0172758044238505,0.0212195455902938,0.00464017662089224,0.00251365012381253,0.195334835888153,0.268875741357807,0.420015181220903,4.97620508032077e-20
GDE1,0.504141191764409,0.387576516269694,0.500367005314113,0.00611662595200074,0.0873782352447707,0.0284951583959796,0.00204672957414389,0.983427665599272,0.814822015866394,0.192804438397629,1.81251698473594e-09
C19orf60,0.10357727117025,5.55213468717007e-05,0.112799687457017,0.890283170443344,0.0139993431444043,0.000220605450267237,0.000773655322233519,0.738026495998399,0.249144299108506,0.115281815156739,5.94398247622222e-29
OSBPL7,0.566584383660221,0.134836185631026,0.647050247376102,0.0966987348690155,0.96801586340758,0.166103493521169,0.0380123499675721,0.432962330745977,0.635774255155465,0.000105851097997486,0.00243775963679631
MAP3K14,0.942594057120283,0.977826229218189,0.355916630364521,0.0554696141130929,0.0538311353065669,0.300745594733368,0.00317394948710635,0.266157025964919,0.000541224492716443,0.000194326276533622,0.000159857795863896
CCL18,0.474972407674026,0.650447180249455,0.748697092621741,0.0100611141529784,0.647627879644649,0.276264635268193,0.0269994647023045,0.89885554679498,0.650896946075536,0.810550366024019,0.441940982565237
CCL3,0.00372111720940371,0.00662397620284967,0.0436165989088665,0.075695803445072,0.388927018172894,0.00246190966913172,2.8047491527017e-05,1.17569372455568e-05,0.0249725589691749,7.08701644536347e-14,6.29167548171462e-11
SYNRG,0.427955778550338,0.361350285041353,0.0307998592233842,0.356218402265098,0.72653590626117,0.626038111722618,0.0575071615737122,0.94973749154484,0.285875885260984,0.024941340021907,5.76397549054549e-16
AP2B1,0.0021873597934618,0.0821788200890297,0.17265033003795,0.137976162102379,0.0976989255605623,0.0533111954909977,0.00735857387589271,0.000862464124668724,0.0553383289998347,0.0104417871366885,5.86662105977042e-29
ZNF263,0.946737104301379,0.12363360146138,0.096756794691375,0.391204882906732,0.0400336522394903,0.612865020949469,0.93177006852657,0.697951880432907,0.620674102864215,0.911319944031261,6.18273206820458e-06
SPATA20,0.298552905151203,0.0441564403901742,0.87775377032325,0.00337606188016158,0.467300180637329,0.0897520623781994,7.71128478057542e-06,0.0552469899071183,0.564727247782706,0.0104619359186198,1.8365379065576e-07
TNFRSF12A,0.0682132609242056,0.0108800978847239,0.28835918299162,0.0117085123710299,0.153234016403559,0.00942340146529254,0.00136741699990199,0.729438978770892,0.0034775785242166,0.224778125124102,0.0354957864299629
MAP3K9,0.117563679692288,0.621361006955061,0.489536067109599,0.103442458100846,0.0861998281737938,0.000298060727377092,0.251630618049004,0.292997458073412,0.917111324252872,0.657818341730068,0.0372282899553904
RALA,0.39591965787135,0.417872420502986,0.961341880704385,0.0686801462627343,0.0397969763033246,0.0126875279702619,0.0304628419067151,0.155656300897554,0.305349196931671,0.650526667347216,4.60539229153096e-06
BAIAP2L1,0.803464047285951,0.601197566457171,0.289897171616071,0.3126612885959,0.742279120146153,0.461469782305231,0.0420713257556827,0.360998273663538,0.106440788723623,0.434943328139056,0.746373055427787
JHDM1D,0.536910630948958,0.104874605882253,0.146736718929228,0.000118833164963294,0.755284977039165,0.569620513587696,0.00926258766324069,0.634228040875605,0.69654810478259,0.781126486896315,5.09770517398537e-07
ETV1,0.000592980265130573,0.0110855839898602,0.88715448164061,5.0686698743468e-05,0.852832353235992,9.54623442747352e-05,5.00003569264432e-05,0.469901963465587,0.820221699329085,2.25755356016734e-11,0.000488988725811003
AGK,0.00310219863029131,0.695743996840899,0.218415256785191,8.60845639667025e-06,0.776895901472375,0.751512842700827,4.40221512061215e-09,0.00915274979471589,0.0393231935032677,0.916622579545628,4.12140688718883e-07
ALDH3B1,0.213506447157296,0.103465775356942,0.0899477962192789,2.04064388981216e-08,0.00486784410572916,0.0010670959400676,2.36857598891873e-21,1.81801768577865e-10,0.00358551093192227,0.370049291709505,0.0016850418332371
TTC22,0.0801489821385748,0.638293021082881,0.0226313834686516,0.0568222776894635,0.659080094880672,0.000650543013113999,1.96579723373252e-06,0.0192240728532373,0.0419493552089178,0.498735480271123,0.0262538486435529
PHTF2,0.00118261128194774,0.895147717397246,3.53376136830229e-11,0.0592033832835905,0.325389737486438,3.26079027160255e-09,0.52326982120713,0.571328181277088,0.885837333242962,0.385660451799366,2.73918046556614e-13
FARP2,3.80511411745819e-08,0.0126657027303929,0.0273986761301042,0.0184562748814182,0.00514438866955024,1.13942675724809e-09,0.936150417296356,0.389826976421188,0.000125798330300526,0.039853575315512,2.44190093204077e-08
GGCT,0.316531152200208,0.0534323158868773,0.470468661599747,0.00904362290473117,0.288638450734396,0.0356797426079178,0.0763885127089022,0.203188281403764,0.199077069900357,0.0584093097422646,1.43954499255763e-07
DBF4,0.100628139844328,0.355049370925747,0.461057071937247,0.00124452978772729,0.202392246206028,9.14673666275406e-06,4.07471165335734e-07,5.45554975322355e-05,0.63629120035815,0.823380393959485,2.36825248574227e-05
IFRD1,0.652437871169942,0.110705201248041,0.940370326329367,0.648906592334276,0.0008494733207462,0.83719290070652,0.369929872299736,0.0480811540583525,0.00283331703121564,0.0219861430332109,2.59507064190689e-12
COX10,0.099827206637894,0.885587083750259,0.0442293604853614,0.329714305987367,0.160658027026388,0.00980740974881971,0.159090894068216,0.929945646527561,0.985419936186877,0.329231378364089,3.17875715777678e-07
PAF1,0.864302471177542,0.394981926037522,0.00312730734940022,0.106354964251311,0.00295854094732003,0.115206369959717,0.00589052644595861,0.00557077945481782,0.974610963356179,0.231178954225764,4.13001009293233e-23
VPS41,0.18142714502879,0.295257289464827,0.0413363403039217,0.10154686062261,0.710503530910776,0.05458413614308,0.0129151506229622,0.0669652950104338,0.283667125651382,0.619411558260204,5.73519640477266e-09
ARHGAP44,0.00336339064232322,0.572115215507934,0.526770014029444,0.890815387839209,0.0407665638573864,0.515634378149446,0.669465406095517,0.391984691268474,0.775600144425427,0.0100712494397637,0.531954771525282
ELAC2,0.260823193788214,0.768211571623573,0.630730314101852,0.812188038818277,0.90217326139733,0.0533323024373111,0.353438712037374,0.0541824811943849,0.0843742417508162,0.272871447392866,9.1458056127833e-08
ARSD,0.615029520971691,0.286301505286732,0.268210028959567,0.00125692751253799,0.273469338434847,0.0200597170721035,3.96469277434907e-05,8.20993154087465e-05,0.352151241554616,0.741238975627002,0.018255768680646
PNPLA4,0.486261288779121,0.136258706175677,0.137196388941392,0.295928120460229,0.0246072942328438,0.383689971415359,0.0196671585636763,0.0125782013940683,0.401325356430265,0.454927592839492,2.53484535465018e-06
ADIPOR2,0.324977321794014,0.425500037355617,0.939573979231177,0.0666602602641149,0.417675628008547,0.119343355559505,0.000879238327835504,0.907782083972232,0.243793898618102,0.125214618415741,1.79321872278981e-08
CDKL3,0.541250793387963,0.587486915864131,0.0090390934613828,0.228040233352881,0.371116259845324,0.667080402707229,0.126457993483785,0.169775046120344,0.581520075856199,0.567194126515466,0.00134775876638628
PRSS21,0.548198363057708,0.308677254570939,0.219943208542147,0.779344723366558,0.275073924241745,0.482858611964662,0.0764774467982488,0.498330374564154,0.27713810610433,0.459267983315342,1.2270738413799e-05
MARK4,0.138566267813889,0.586108748213204,0.430238810565705,0.152679176994988,0.197986038175269,0.00799633774750506,0.801266786076211,0.996287766019508,0.141434393665224,0.413761184721469,0.0690817057262763
CCDC124,0.271890035580209,0.0580391561364411,0.225966073547838,0.0935628469747534,0.0394347622048529,0.311711593029918,0.261107751672283,0.264835869998003,0.756923389438213,0.896611461542328,6.36628730357559e-16
CEACAM21,0.157451519570547,0.185781473431716,0.0012797944260786,0.287873352682202,0.201822302827185,0.171329969318429,0.195252345579034,0.779990095153443,0.144765155966521,0.0826067991141809,0.000407650482810531
PAFAH1B1,0.701051771562498,0.817868053318194,0.730177968169023,0.589213744069583,0.210205121408052,0.00326702270643658,0.747673701523283,0.0816383917255962,0.00898860689371848,0.0215357633734243,2.10565518201364e-10
KIAA0100,0.874550148343842,0.91325525199697,0.987914865080138,0.353449713467271,0.529626829198443,0.00127286572739178,0.0246908743395597,0.0410361031245837,0.660399755179308,0.209917270821239,0.0289970575429129
GAS7,0.134835586280287,0.767892925000779,0.00204347916257823,0.0212259487411995,0.317739022033998,0.155230327918904,0.000611052738206111,0.0769475264055611,0.00021536226299118,0.000157383826466277,0.00275698556641811
TRAPPC6A,0.166042030840739,0.0530512079675552,0.0585992917641774,0.300933266657954,0.81598681423268,0.321964736995711,0.57773988275357,0.234610956201599,0.0260472083174186,0.873738646078412,6.27957494803326e-13
MATK,0.00220089221877445,0.363587512288015,3.63405837554762e-06,0.602147843091255,0.00227844837610803,0.000114294137415867,5.62778513213123e-07,0.00587741260404289,3.18187293966598e-18,0.628644703319882,1.51125738192864e-05
CD79B,8.24467346256112e-65,0.000111000572811248,0.00429605881138975,0.619444828827937,1.34533775583018e-15,5.05404610161563e-15,7.3738640772041e-09,0.00352238055520201,9.97300022257178e-06,0.909684498205468,2.4755462590685e-28
ST7L,0.460669917924031,0.0771188976315724,0.394224293255205,0.692107870150902,0.0573962911638855,0.00119065062453468,0.677839812773979,0.288048349123122,0.717909010839555,0.168007805133316,9.87733386170598e-08
PAX6,0.126361953973363,0.975320338875669,0.0390258596963698,0.317647606154856,0.0584713327739971,0.538098665959891,0.877498476366708,0.683607352486616,0.184618931595877,0.507091049562262,0.0522571657620169
RPUSD1,0.513845301015604,0.135291912628608,0.580818728964307,0.443359799658929,0.583561268348926,0.0535370946023577,0.0305708203987484,0.0127620959654579,0.25332409543412,0.574899195843179,0.00202105095878437
LUC7L,0.367724235467652,0.17098033958337,0.185087001178757,0.158231156696415,0.167690169904082,0.872483311175287,0.744847410118039,0.592455566153985,0.95500360185024,0.344753117386433,6.70890499356886e-11
BAIAP3,0.652137402504762,0.157209717003441,0.175750610106335,0.36917058480703,0.207428936458535,0.209877586311941,0.962446978809614,0.948960081198547,0.292980178134656,0.173722529235946,0.783779659895732
TSR3,0.0537207332853427,0.454854643467763,0.0531001021717538,0.162455634544755,0.615938824838514,0.0514943084887066,0.00657595901199852,0.423122276303892,0.180214508473851,0.704703136924596,0.00227364407459265
PIGQ,0.265091717274763,0.149152049780835,0.00236416002236479,0.701267772889122,0.885515937310594,0.058475142725164,0.0625363208536909,0.848485265253984,0.148203356042012,0.499897142340631,7.90749457537187e-05
CRAMP1L,0.531885339797657,0.524453118815083,0.100869026966473,0.616711825717259,0.190551128037514,0.130792605481555,0.965299692920881,0.363742269076164,0.515364639811826,0.393882038023942,0.00400068559974741
DNAJC11,0.353264101574447,0.221049536483165,0.658234888539222,0.304431658892702,0.347928412075262,0.0421042394234125,0.185928406394025,0.31798622879667,0.856821561452672,0.752771896299822,5.00893550272179e-14
