,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11
DPM1,0.0963671354599212,0.319028914916262,0.187444992196282,0.0358863781952186,0.518863401319904,0.998349524344928,0.0554197921814087,0.243629716229293,0.02710391171829,0.1270269524823,7.51498364208567e-14
SCYL3,0.849323997770465,0.921676807196348,0.740568159567482,0.832585813040802,0.00980901078719913,0.0104942074363019,0.0849514955697091,0.252667951473991,0.0899390095860844,0.0261622000992999,0.0566067357311985
C1orf112,0.49690930543194,0.452958840172669,0.00651155038007866,0.000232226674365879,0.0138075589467259,0.00112761404307338,2.18622554247927e-09,9.91892626511537e-07,0.21902656434834,0.0417592867330624,0.000633583810983388
FGR,2.52621775107759e-06,0.178275203191217,0.00011119881248245,5.91298067114248e-10,0.23567005787475,0.680678922958407,5.96456467407915e-26,2.34529047087593e-08,3.94066213888487e-09,0.424849169937404,8.60762662289676e-16
CFH,0.926571334988158,0.329528172386676,0.883602442734669,0.0110770650933047,0.234114064060555,0.177342607538936,9.02257853949627e-07,0.00420465316942265,0.357883927577605,0.818109056777278,0.0687276909156483
FUCA2,0.0208714586142764,0.645816865651574,0.00521805247933468,0.187328952180633,0.570136674300348,0.00169757156108317,2.486032339317e-14,6.51554392483623e-09,0.0349846901222584,0.142694343445966,9.59353985308038e-25
GCLC,0.329033382948966,0.595872162509003,0.401828262911291,0.077710447282919,0.134473392672606,0.259260054361397,0.219829800959445,0.199216410440287,0.0819593391031146,0.861503365113416,0.0340243541060712
NFYA,0.943267903172255,0.552795927835172,0.631426275115783,0.208457261616923,0.0429172330573241,0.114950126714796,0.901509981948667,0.936402167835409,0.993319963263301,0.0980972624943938,0.0143285582505657
STPG1,0.0582838416639671,0.535652163403581,0.72059197495602,0.703149889532623,0.0261785239558121,0.722857961937482,0.0455622230491596,0.00486477019557897,0.0255316108652263,0.304733520396368,0.0153805080791489
NIPAL3,0.0261525045380797,0.912189518142092,0.56148099193626,0.179983526703088,0.753878883407767,0.656028398872706,3.79464706761448e-05,0.00792377965858489,0.618960622469105,0.494849370129028,4.92202321535292e-07
